"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
41,"Херсонська","місцеве","Дуб черешчатий","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 2 Рибальчанського лісництво ДП Збур’ївське ЛМГ, 300 м від мисливської бази на схід, Рибальчанське лісництво, Голопристанський район"
42,"Херсонська","місцеве","Дуб черешчатий","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 2 Рибальчанського лісництво ДП Збур’ївське ЛМГ, з правої сторони шляху Виноградне-Геройське, 250 м на схід від місцевої бази, Голопристанський район"
43,"Херсонська","місцеве","Дуб черешчатий","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 13 Рибальчанського лісництво ДП Збур’ївське ЛМГ, з лівої сторони шляху Виноградне-Геройське, 200 м на схід від мисливської бази, Голопристанський район"
44,"Херсонська","місцеве","Дуб черешчатий","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 13 Рибальчанського лісництво ДП Збур’ївське ЛМГ, з лівої сторони шляху Виноградне-Геройське,100 м на захід від мисливської бази, Голопристанський район"
45,"Херсонська","місцеве","Дуб черешчатий","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 13 Рибальчанського лісництво ДП Збур’ївське ЛМГ, з правої сторони шляху Виноградне-Геройське, 350 м на захід від мисливської бази, Голо пристанський район"
46,"Херсонська","місцеве","Дуб черешчатий (подвійний)","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 8 Рибальчанського лісництво ДП Збур’ївське ЛМГ, з правої сторони шляху Виноградне-Геройське, 450 м на захід від мисливської бази, Голопристанський район"
47,"Херсонська","місцеве","Куртина дубів","пам’ятка природи","ботанічна",0.5,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","кв.5 вид 9 Рибальчанського лісництво ДП Збур’ївське ЛМГ, 500 м на захід від мисливської бази, Голопристанський р-н"
48,"Херсонська","місцеве","Тополі","пам’ятка природи","ботанічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Збур’ївське ЛМГ","парк с. Стара Збур’ївка"
49,"Херсонська","місцеве","Кринківське поселення бобрів","пам’ятка природи","зоологічна",5,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Херсонське ЛМГ","кв.12 вид. 24 Кринківського лісництва ДП Херсонське ЛМГ, Цюрупинський район"
50,"Херсонська","місцеве","Микільське поселення змій","пам’ятка природи","зоологічна",4,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Херсонське ЛМГ","кв.22 вид. 17Токарівського лісництва ДП Херсонське ЛМГ"
51,"Херсонська","місцеве","Понятівське поселення змій","пам’ятка природи","зоологічна",5,"Рішення облвиконкому від 19.08.83 р. №441/16","ДП Херсонське ЛМГ","кв. 23 вид. 15 (3 га), вид. 13.1 (2 га) Токарівського лісництва ДП Херсонське ЛМГ"
52,"Херсонська","місцеве","Білозерські джерела","пам’ятка природи","гідрологічна",,"Рішення облвиконкому від 19.08.83 р. №441/16","Переоформляється охоронне зобов’язання","на березі оз. Біле по вул. Кооперативній смт Білозерка"
53,"Херсонська","місцеве","оз. Гопри (частина)","пам’ятка природи","гідрологічна",5,"Рішення облвиконкому від 19.08.83 р. №441/16","Дочірне піприємство Санаторій Гопри","південно-східний берег озера Гопри м. Гола Пристань"
