"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
27,"Черкаська","місцеве","Чуїхський","заказник","ботанічний",1.5,"Ріш. ОВК від 22.01.82 р. № 12","КСП ім.Шевченка","Городищенський район, поруч з Мліївською садстанцією, ур. Чуїха"
28,"Черкаська","місцеве","Безбородьківський","заказник","ботанічний",8.8,"Ріш. Обл. ради від 21.12.07.р. № 14-19/V","Безбородьківська сільська рада","Драбівський район, с. Безбородьки"
29,"Черкаська","місцеве","Пехівський","заказник","ботанічний",1,"Ріш. ОВК від 12.01.82 р. № 12","ДП Звенигородський лісгосп","Звенигородський район, кв. 43. вид. 1 Пехівського л-ва"
30,"Черкаська","місцеве","Вільхівський","заказник","ботанічний",12,"Ріш. ОВК від 11.03.79 р.№ 136","ДП Золотоніське лісове господарство","Золотоніський район, кв. 10 вид. 15, кв. 11 вид. 8, кв. 39 вид. 8, кв. 40 вид. 9 Вільхівського л-ва"
31,"Черкаська","місцеве","Хлипнівський","заказник","ботанічний",1,"Ріш. ОВК від 12.01.82 р. № 12","ДП Звенигородський лісгосп","Звенигородський район, кв. 56 вид. 2 Хлипнівського л-ва"
32,"Черкаська","місцеве","Довгий","заказник","ботанічний",5,"Ріш. ОВК від 11.03.79 р.№ 136","ДП Золотоніське лісове господарство","Золотоніський район, кв. 3 вид. 5-15 Вільхівського л-ва"
33,"Черкаська","місцеве","Коробівський","заказник","ботанічний",10,"Ріш. ОВК від 14.04.83 р. № 205","Коробівська сільська рада","Акваторія Кременчуцького водосховища біля с.Коробівки Золотоніського району"
34,"Черкаська","місцеве","Мар’янівщина","заказник","ботанічний",26.4,"Ріш. ОВК від 25.05.90 р. № 95","ДП Золотоніське лісове господарство","Золотоніський район, кв. 65 вид. 5 Вільхівського л-ва"
35,"Черкаська","місцеве","Сушківський","заказник","ботанічний",18.3,"Ріш. ОВК від 08.01.86 р. № 7","Бубново-Слобідська сільська рада","Золотоніський район, схили по окраїні с.Бубнова Слобідка"
36,"Черкаська","місцеве","Тамарівський","заказник","ботанічний",2,"Ріш. ОВК від 11.03.79 р. № 136","ДП Золотоніське лісове господарство","Золотоніський район, кв. 19 вид. 4 Деньгівського л-ва"
37,"Черкаська","місцеве","Пташині острови","заказник","ботанічний",9654.36,"Ріш. Обл. ради від 28.08.09 р. № 28-8/V, Рішення Черкаської обласної ради від 21.08.2012 №17-5/VI","Золотоніська районна державнаадміністрація","В адмінмежах Дмитрівської, Домантівської, Коробівської сільських рад Золотоніського району"
38,"Черкаська","місцеве","Грушківський","заказник","ботанічний",1.6,"Ріш. ОВК від 12.01.82 р. № 12","ДП Кам’янський лісгосп","Кам’янський район, кв. 39 вид. 9 Грушківського л-ва"
39,"Черкаська","місцеве","Комсомольський","заказник","ботанічний",21,"Ріш. ОВК від 14.04.83 р. № 205","ДП Кам’янський лісгосп","Кам’янський район, кв. 3, 18, 57 Комсомольського л-ва"
40,"Черкаська","місцеве","Баранів Яр","заказник","ботанічний",2,"Ріш. ОВК від 11.03.79 р. № 136","Пшеничанська сільська рада","Канівський район,с. Пшеничники"
41,"Черкаська","місцеве","Ведмеже і Березове","заказник","ботанічний",1.5,"Ріш. Обл. ради від 08.04.00 р. № 15-4","Курилівська сільська рада","Канівський район,с. Курилівка"
42,"Черкаська","місцеве","Верболози","заказник","ботанічний",3.5,"ріш. обл. ради від 03.07.02 № 2-8","Пекарівська сільська рада","Канівський район,с. Пекарі"
43,"Черкаська","місцеве","Гайдарове","заказник","ботанічний",0.5,"ріш. обл. ради від 03.07.02 № 2-8","Ліплявська сільська рада","Канівський район, околиця с. Ліпляво"
44,"Черкаська","місцеве","Котлован","заказник","ботанічний",0.05,"Ріш. Обл. ради від 08.04.00 р. № 15-4","Курилівська сільська рада","Канівський район, с.Курилівка (залізничний тунель)"
45,"Черкаська","місцеве","Курилівський","заказник","ботанічний",1,"Ріш. Обл. ради від 08.04.00 р. № 15-4","Курилівська сільська рада","Канівський район, с.Курилівка"
46,"Черкаська","місцеве","Михайлівський","заказник","ботанічний",21,"Ріш. ОВК від 11.03.79 р. № 136","ДП Канівське ЛГ","Канівський район, кв. 43 Михайлівського л-ва"
47,"Черкаська","місцеве","Руди","заказник","ботанічний",3,"ріш. обл. ради від 03.07.02 № 2-8","Пшеничницька сільська рада","Канівський район,с. Пшеничники"
48,"Черкаська","місцеве","Кайтанівський","заказник","ботанічний",1,"Ріш. ОВК від 12.01.82 р. № 12","ДП Звенигородський лісгосп","Катеринопільський район, кв. 68 вид. 2 Катеринопільського л-ва"
49,"Черкаська","місцеве","Кучерява гора","заказник","ботанічний",2,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Квітчанська сільська рада","Корсунь-Шевченківський район, с.Квітки"
50,"Черкаська","місцеве","Насадження ялівця","заказник","ботанічний",2,"Ріш. Обл. ради від 08.04.00 р. № 15-4","ДП К-Шевченківське лісове господарство","Корсунь-Шевченківський район, кв. 59, вид. 3 Корсунь-Шевченківського л-ва"
51,"Черкаська","місцеве","Підсніжник","заказник","ботанічний",4.5,"Ріш. Обл. ради від 23.12.98 р. № 5-3","ДП К-Шевченківське лісове господарство","Корсунь-Шевченківський район, кв. 36, діл. 14 Квітчанського л-ва,"
52,"Черкаська","місцеве","Пісківський","заказник","ботанічний",0.5,"Ріш. ОВК від 12.01.82 р. № 12","ДП Лисянське лІсове господарство","Корсунь-Шевченківський район, Стеблівська виробнича дільниця ДП Лисянське ЛГ, кв. 12 вид. 1"
53,"Черкаська","місцеве","Крисякове","заказник","ботанічний",8.2,"Рішення ОР від 10.11.06 № 5-9/У","Дзендзелівська сільська рада","В адмінмежах Дзензелівської сільської ради Маньківського району"
54,"Черкаська","місцеве","Троянове","заказник","ботанічний",30.5,"Ріш. Обл. ради від 21.12.07.р. № 14-19/V","Маньківська селищна рада","смт. Маньківка"
55,"Черкаська","місцеве","Монькове","заказник","ботанічний",48,"Ріш. Обл. ради від 07.08.08.р. № 20-16/V","Маньківська селищна рада","В адмінмежах Маньківської селищної ради Маньківського району"
56,"Черкаська","місцеве","Трушове","заказник","ботанічний",27.2,"Ріш. Обл. ради від 07.08.08.р. № 20-16/V","Маньківська селищна рада","В адмінмежах Маньківської селищної ради Маньківського району"
57,"Черкаська","місцеве","Орхідеї","заказник","ботанічний",1,"Ріш. ОВК від 08.01.86 № 7","ДП Смілянське лісове господарство","Смілянський район, Сунківське лісництво, кв. 70, вид. 4"
58,"Черкаська","місцеве","Собківський","заказник","ботанічний",1.8,"Ріш. ОВК від 12.01.82 р. № 12","ДП Уманське лісове господарство","Уманський район, кв. 37 вид. 10 Собківського л-ва"
59,"Черкаська","місцеве","Степківський","заказник","ботанічний",4.5,"Ріш. Обл. ради від 28.04.93 р. № 14-21","Степківська сільська рада","Уманський район, правий схилр. Ятрань між с. Ятранівка і с. Степівка"
60,"Черкаська","місцеве","Журбинка","заказник","ботанічний",5,"Ріш. Обл. ради від 06.06.08 р. № 18-13/V","Фермерське господарство Гарт","В адмінмежах Ятранівської сільської ради Уманського району"
61,"Черкаська","місцеве","Юрківський","заказник","ботанічний",3.5,"Ріш. ОВК від 12.01.82 р. № 12","ДП Уманське лісове господарство","Уманський район, кв. 61 вид. 7 Юрківського л-ва"
62,"Черкаська","місцеве","Великосевастянівські Яри","заказник","ботанічний",91.4,"Ріш. Обл. ради від 28.12.2010 № 3 - 11/VI","Великосевастянівська сільська рада","В адмінмежах Великосевастянівської сільської ради Христинівського району"
63,"Черкаська","місцеве","Кам’яний яр","заказник","ботанічний",14.2,"Ріш. Обл. ради від 26.12.08 № 23-13/V","Ботвинівська сільська рада","В адмінмежах Ботвинівської сільської ради Христинівського району"
64,"Черкаська","місцеве","Красноставське","заказник","ботанічний",91.3,"Ріш. Обл. ради від 26.12.08 № 23-13/V","Ботвинівська сільська рада","В адмінмежах Ботвинівської сільської ради Христинівського району"
65,"Черкаська","місцеве","Дахнівський","заказник","ботанічний",16.3,"Ріш. ОВК від 12.01.82 р. № 12","ДП Черкаське ЛМГ","Черкаський район, кв. 37, вид. 10, 11, 14, 16 Дахнівського л-ва"
66,"Черкаська","місцеве","Прироські луки","заказник","ботанічний",25,"Ріш. ОВК від 28.11.79 р. № 597","СТОВ ім. Мічуріна","Черкаський район, околиця с.Тубільці, ур. Лузувате, Плашеня, Безева"
67,"Черкаська","місцеве","Сфагнове болото","заказник","ботанічний",0.5,"Ріш. ОВК від 08.01.86 р. № 7","ДП Черкаське ЛМГ","Черкаський район, кв. 292 Тясминського л-ва"
