"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
29,"Чернігівська","місцеве","Черемошне","заказник","ландшафтний",177,"рішення Чернігівської обласної ради від 21.03.1995 року","Городнянська райрада УТМР","Городнянський район, с. Хотівля, м. Городня"
30,"Чернігівська","місцеве","Волик","заказник","ландшафтний",425,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 64-74 Жадьківського лісництва"
31,"Чернігівська","місцеве","Туркенівка","заказник","ландшафтний",550,"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігвського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 5-13 Іваницького лісництва у"
32,"Чернігівська","місцеве","Урочище Кути","заказник","ландшафтний",450,"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 35-42, 44-46 Жадьківського лісництва"
33,"Чернігівська","місцеве","Сорокошицький лісовий масив","заказник","ландшафтний",931,"рішення Чернігівського облвиконому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159","Чернігівський військовий лісгосп, ДП Остерське лісове господарство","Козелецький район, кв. 33, 34, 36-39, 41-45, 47-49, 130, 131, 136 Сорокошицького лісництва ДП Остерське лісове господарство"
34,"Чернігівська","місцеве","Жорнівський бір","заказник","ландшафтний",232,"рішення Чернігівського облвиконкому від 29.07.1975 року № 319; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівської обласної ради від 14.05.1999 року ","ДП Борзнянське лісове господарство","Коропський район, кв. 14-17 Коропського лісництва"
35,"Чернігівська","місцеве","Жуків яр","заказник","ландшафтний",118,"рішення Чернігівської обласної ради від 11.04.2000 року","ДП Холминське лісове господарство","Коропський район, кв. 54, 55 Понорницького лісництва"
36,"Чернігівська","місцеве","Зміївщина","заказник","ландшафтний",247,"рішення Чернігівської обласної ради від 11.04.2000 року","ДП Холминське лісове господарство","Коропський район, кв. 67-71 Понорницького лісництва"
37,"Чернігівська","місцеве","Коропський","заказник","ландшафтний",114,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Холминське лісове господарство","Коропський район, кв. 87 Гутянського лісництва"
38,"Чернігівська","місцеве","Криничне","заказник","ландшафтний",36,"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігвського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159 ","ДП Холминське лісове господарство","Коропський район, кв. 72 Понорницького лісництва"
39,"Чернігівська","місцеве","Мезинська Швейцарія","заказник","ландшафтний",154,"рішення Чернігівського облвиконкому від 08.09.1958 року № 861; рішення Чернігівського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 28.08.1989 року № 164","ТОВ Авангард с. Свердловка Коропського району","Коропський район, с. Мезин, с. Свердловка"
40,"Чернігівська","місцеве","Свердловський","заказник","ландшафтний",159,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Холминське лісове господарство","Коропський район, кв. 73, 74 Понорницького лісництва"
41,"Чернігівська","місцеве","Урочище Обийма","заказник","ландшафтний",183,"рішення Чернігівської обласної ради від 11.04.2000 року","ДП Борзнянське лісове господарство","Коропський район, кв.30-32 Коропського лісництва"
42,"Чернігівська","місцеве","Урочище Загати","заказник","ландшафтний",146,"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігівського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівської обласної ради від 11.04.2000 року","ДП Борзнянське лісове господарство","Коропський район, кв. 21-23 Коропського лісництва Борзнянського району"
43,"Чернігівська","місцеве","Урочище Лутава","заказник","ландшафтний",358,"рішення Чернігівської обласної ради від 11.04.2000 року","ДП Борзнянське лісове господарство","Коропський район, кв. 1-6 Коропського лісництва"
44,"Чернігівська","місцеве","Урочище Чаща","заказник","ландшафтний",159,"рішення Чернігівської обласної ради від 11.04.2000 року","ДП Борзнянське лісове господарство","Коропський район, кв. 41-43 Коропського лісництва"
45,"Чернігівська","місцеве","Слобідська дача","заказник","ландшафтний",100,"рішення Чернігівської обласної ради від 11.04.2000 року","ДП Холминське лісове господарство","Корюківський район, кв. 90, 91 Перелюблюського лісництва"
46,"Чернігівська","місцеве","Демінка","заказник","ландшафтний",1431,"рішення Чернігівської обласної ради від 21.03.1995 року","Авдіївська сільська рада Куликівського району","Куликівський район, с. Авдіївка"
47,"Чернігівська","місцеве","Задеснянський","заказник","ландшафтний",940,"рішення Чернігівської обласної ради від 21.03.1995 року","СВК Деснянський (с. Салтикова Дівиця), Салтиково-Дівицька сільська рада Куликівського району","Куликівський район, с. Салтикова Дівиця"
48,"Чернігівська","місцеве","Ковчинський","заказник","ландшафтний",311,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Чернігівське лісове господарство","Куликівський район, кв. 50-60 Дроздівського лісництва"
49,"Чернігівська","місцеве","Горицький","заказник","ландшафтний",796,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Чернігівське лісове господарство","Менський район, кв. 103-106, 108-113, 115-120 Березнянського лісництва"
50,"Чернігівська","місцеве","Макошинський","заказник","ландшафтний",1533,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Холминське лісове господарство","Менський, Сосницький, Куликівський, Борзнянський райони, кв. 28, 42-47, 49-59 Сосницького лісництва"
51,"Чернігівська","місцеве","Чирвине","заказник","ландшафтний",4.3,"рішення Чернігівської обласної ради від 21.03.1995 року","Агрофірма Ніжинська м. Ніжин","Ніжинський район, м. Ніжин"
52,"Чернігівська","місцеве","Хомутівщина","заказник","ландшафтний",18.8,"рішення Чернігівського облвиконкму від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Семенівське лісове господарство","Семенівський район, кв. 21 вид. 6, 7, 11, 12 Машевського лісництва"
53,"Чернігівська","місцеве","Рогізне","заказник","ландшафтний",14,"рішення Чернігівського облвиконкму від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Семенівське лісове господарство","Семенівський район, кв. 24 вид. 2 Блешнянського лісництва"
54,"Чернігівська","місцеве","Спаський","заказник","ландшафтний",543,"рішення Чернігівськогго облвиконкому від 31.07.1991 року № 159","ДП Холминське лісове господарство","Сосницький район, кв. 130-137 Сосницького лісництва"
55,"Чернігівська","місцеве","Спаський - І","заказник","ландшафтний",214,"рішення Чернігівськогго облвиконкому від 31.07.1991 року № 159","ДП Холминське лісове господарство","Сосницький район, кв. 29-31, 34 Гутянського лісництва"
56,"Чернігівська","місцеве","Золотинка","заказник","ландшафтний",527,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Чернігівське лісове господарство","Чернігівський район, кв. 76-86 Красилівського лісництва"
57,"Чернігівська","місцеве","Коровель","заказник","ландшафтний",50,"рішення Чернігівського облвиконкому від 08.09.1958 року № 861; рішення Чернігівського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164","ДП Чернігівагролісгосп","Чернігівський район, с. Шетовиця"
58,"Чернігівська","місцеве","Шестовицький","заказник","ландшафтний",542,"рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Чернігівське лісове господарство","Чернігівський район, кв. 129-136 Чернігівського лісництва ДП Чернігівське лісове господарство"
59,"Чернігівська","місцеве","Дубина","заказник","лісовий",423,"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Борзнянське лісове господарство","Бахмацький район, кв. 42-49 Батуринського лісництва"
60,"Чернігівська","місцеве","Піски","заказник","лісовий",259,"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігвського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; ішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159","ДП Борзнянське лісове господарство","Бахмацький район, кв. 7-10 Бахмацького лісництва"
61,"Чернігівська","місцеве","Бойковщина","заказник","лісовий",74,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 18,19 Іваницького лісництва"
62,"Чернігівська","місцеве","Городище","заказник","лісовий",129,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 40-42 Іваницького лісництва"
63,"Чернігівська","місцеве","Діброва-ІІ","заказник","лісовий",154,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 1-3 Іваницького лісництва"
64,"Чернігівська","місцеве","Довгий яр","заказник","лісовий",50,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 41-43 Іваницького лісництва"
65,"Чернігівська","місцеве","Кути","заказник","лісовий",649,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 43, 47-52, 57-60, 75-77 Жадьківського лісництва"
66,"Чернігівська","місцеве","Луги","заказник","лісовий",237,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 11-20 Камінського лісництва"
67,"Чернігівська","місцеве","Софіївка-Романівщина","заказник","лісовий",603,"рішення Чернігівського облвиконкому від 23.09.1991 року № 215","ДП Прилуцьке лісове господарство","Ічнянський район, кв. 22-27, 29-34 Жадьківського лісництва"
