"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
26,"Хмельницька","загальнодержавне","Михельський","заказник","гідрологічний",109,"Указом ПрезидентаУкраїни від 20.08.1996 року№ 715 / 96","ДП Ізяславський лісгосп","Михельське л-во кв.6"
27,"Хмельницька","загальнодержавне","Луг і Круглик","заказник","гідрологічний",156,"Указом Президента України від 21.02.2002 р № 167/2002","ДП Летичівський лісгосп","Поблизу села Голенищево"
28,"Хмельницька","загальнодержавне","Китайгородське відслонення","пам’ятка природи","геологічна",60,"Постановою Ради Міністрів Української РСР від 21.03.1984 року№139","Китайгородська с/р Кам’янець-Подільського р-ну","Поблизу с. Китайгород Кам’янець-Подільського району"
29,"Хмельницька","загальнодержавне","Смотрицький каньйон","пам’ятка природи","геологічна",80,"Постановою Ради Міністрів Української РСР від 21.03.1984 року№139","Виконкому Кам’янець-Подільської міської ради-49,0 га, Устянська с/р-24,0 га. Цибулівська с/р -7 га.","Від с. Голосків до с. ЦибулівкаКам’янець-Подільського р-ну"
30,"Хмельницька","загальнодержавне","Печера Атлантида","пам’ятка природи","геологічна",10,"Розпорядженням Ради Міністрів УРСР від 14.10.1979 року № 780-р","Хмельницька обласна рада по туризму і екскурсій","Поблизу с. Завалля Кам’янець-Подільського р-ну"
31,"Хмельницька","загальнодержавне","Товтра Самовита","пам’ятка природи","ботанічна",15,"Розпорядженням Ради Міністрів УРСР від 14.10.1979 року № 780-р","Більська сільська рада Чемеровецького р-ну.","Поблизу с.Залуччя Чемеровецького р-ну"
32,"Хмельницька","загальнодержавне","Озеро Святе","пам’ятка природи","гідрологічна",8.2,"Указом Президента України від 20.08.1996 року № 715/96","ДП Ізяславський лісгосп","Михельське лісництвокв. 3, діл. 20, кв.8, діл.8."
33,"Хмельницька","загальнодержавне","Кам’янець-Подільський","ботанічний сад",,17.5,"Розпорядженням Ради Міністрів УРСР відроку№ 1180 р.","Подільська державна аграрно-технічна академія","м.Кам’янець-Подільськійвул. Лесі Українки, 64"
34,"Хмельницька","загальнодержавне","Новоселицький парк","парк-пам’ятка садово-паркового мистецтва",,44.4,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","СПТУ-41 с.Новоселиця Старокостянтинівського р-ну","с.Новоселиця"
35,"Хмельницька","загальнодержавне","Малієвецький","парк-пам’ятка садово-паркового мистецтва",,17.2,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Обласний тубдиспансер с.Малієвці Дунаєвецького р-ну","с.Малієвці"
36,"Хмельницька","загальнодержавне","Михайлівський","парк-пам’ятка садово-паркового мистецтва",,15,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Михайлівська сільська радаДунаєвецького р-ну","с.Михайлівка"
37,"Хмельницька","загальнодержавне","Голозубинецький","парк-пам’ятка садово-паркового мистецтва",,21,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Обласна протитуберкульозна лікарня с.ГолозубенціДунаєвецького р-ну","с.Голозубенці"
38,"Хмельницька","загальнодержавне","Антонінський","парк-пам’ятка садово-паркового мистецтва",,14.4,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Антонінська селищна рада смт. Антоніни Красилівського р-ну","смт. Антоніни"
39,"Хмельницька","загальнодержавне","Полонський","парк-пам’ятка садово-паркового мистецтва",,37,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","СПТУ-35, Церквам.Полонне Полонського р-ну","м. Полонне"
40,"Хмельницька","загальнодержавне","Великоновоселицький","парк-пам’ятка садово-паркового мистецтва",,10.1,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","ВСАТ Новоселиця с.Новоселиця Полонського р-ну","с.Новоселиця"
41,"Хмельницька","загальнодержавне","Самчиківський парк","парк-пам’ятка садово-паркового мистецтва",,16.6,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Хмельницька науково-дослідна сільськогосподарська станціяс.Самчики Старокостянтинівського р-ну","с.Самчики"
42,"Хмельницька","загальнодержавне","Сатанівська перлина","парк-пам’ятка садово-паркового мистецтва",,22,"Указом Президента Україи від 20.08.1996 р. № 715/96","НПП Подільські Товтри","с. Сатанів Городоцького району"
43,"Хмельницька","місцеве","Івахнівецький ліс","заказник","ландшафтний",81,"Рішенням обласної ради народних депутатів від 6.10.1991 року № 171","ДП Ярмолинецький лісгосп","Вишнівчицьке лісництво кв. 3 Чемеровецький р-н"
44,"Хмельницька","місцеве","Сорочинські Товтри","заказник","ландшафтний",6.8,"Рішенням обласної ради народних депутатів від 16.10.1991 року № 171","Більська сільська рада","В полі між селами Біле та Садове Чемеровецького р-ну"
45,"Хмельницька","місцеве","Зіньківський","заказник","ландшафтний",35,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","Віньковецьке РСЛП","лісове урочище Станіславів яр Віньковецького р-ну"
46,"Хмельницька","місцеве","Данилівський","заказник","ландшафтний",693,"Рішенням облвиконкому від 20.12. 1989 року № 203","ДП Новоушицький лісгосп","Долина р Данилова з прилеглими схилами від с.Песець Новоушицького р-ну"
47,"Хмельницька","місцеве","Дністровський","заказник","ландшафтний",480,"Рішенням облвиконкому від 20.12. 1989 року № 203","ДП Новоушицький лісгосп","Берег Дністровського водосховища від с. Пижівка до с. Рудківці"
48,"Хмельницька","місцеве","Калюський","заказник","ландшафтний",1832,"Рішенням облвиконкому від 16.10.1991 року № 171","ДП Новоушицький лісгосп","Браїлівське л-во кв 35,37 Новоушицьке л-во кв.18-23, 34-36, 38 вид. 9-11Новоушицький розсадник кв 3, 4 Струзьке л-во кв. 21-24, 31-35, 42, 43."
49,"Хмельницька","місцеве","Малі і Великі Луки","заказник","ландшафтний",82,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ЛКП Лісовик","Заплава р.Случ між с. Котюрженці і Черніївка Полонського р-ну"
50,"Хмельницька","місцеве","Йосиповецький","заказник","ландшафтний",240,"Розпорядженням Голови ОДАвід 28.09.1995 року № 67-р","Малоборовецька сільська рада с. Мала Боровиця","В межах с. Йосипівці і с. Мала Боровиця Білогірського р-ну"
51,"Хмельницька","місцеве","Йосиповецькі краєвиди","заказник","ландшафтний",100,"Рішенням обласної ради від 1.11.1996 року № 2","Малоборовецька сільська рада Білогірського р-ну","Між селами Йосипівні, Мала Боровиця та Загірці"
52,"Хмельницька","місцеве","Гора над Смотричем","заказник","ландшафтний",3.6,"Рішенням обласної ради від 1.11.1996 року № 2","Кузьминська сільська радас. Кузьмин Городоцького р-ну","На території с.Кузьмин Городоцького р-ну"
53,"Хмельницька","місцеве","Лазучинський","заказник","ландшафтний",55,"Розпорядженням Голови ОДА від 28.09.1995 року № 67-р","Великолазучинська сільська рада Теофіпольського р-ну","Каньйон безіменної притоки р. Полкви"
54,"Хмельницька","місцеве","Жердянські каньйони","заказник","ландшафтний",82,"Рішенням обласної ради від 1.11.1996 року № 2","Ільківська сільська рада","Північно-західна частина сіл Воронівці і Немиринці Теофіпольського р-ну"
55,"Хмельницька","місцеве","Мислятинський","заказник","ландшафтний",275.8,"Розпорядженням Голови ОДА від 28.09.1995 року № 67-р","Мислятинська сільська рада","В межах с. Мислятин Ізяславський р-н"
56,"Хмельницька","місцеве","Устилів","заказник","ландшафтний",195.7,"Рішенням 13 сесії обласної ради від 25.12.1997 року № 5","Манятинська сільська рада с.Манятин","Між селами Яблунівка та Манятин Славутського р-ну"
57,"Хмельницька","місцеве","Теліженецький","заказник","ландшафтний",115.2,"Рішенням 13 сесії обласної ради від 25.12.1997 року № 5","Старосинявська селищна рада смт.Стара Синява","Поблизу села Теліженці Старосинявського р-ну"
58,"Хмельницька","місцеве","Староушицький","заказник","ландшафтний",2715,"Рішенням сесії обласної ради народних депутатів від 17.12.1993 року №3","ДП Кам’янець-Подільський лісгосп","Староушицьке л-во кв. 6-11, 14, 15, 19-27, 30-40, 41-47"
59,"Хмельницька","місцеве","Гора Сокіл","заказник","ландшафтний",42.9,"Рішенням 9 сесії обласної ради від 11.07.2007 р № 23-9/2007","СГЛКП Лісовик","Лісовий масив СГЛКП Лісовик кв.25 вид. 1-13 Дунаєвецького р-ну"
60,"Хмельницька","місцеве","Мирутинський","заказник","ландшафтний",278.8,"Рішенням 24 сесії обласної ради від 18.11.2009 р. № 20-24/2009","Мирутинська сільська рада Славутського району","В 750 м. на північний захід від с. Мирутин"
61,"Хмельницька","місцеве","Буковий ліс","заказник","ботанічний",5.3,"Рішенням обласної ради народних депутатів від 16.10.1991 року № 171","Чемеровецьке СЛГО Агро лісс. Слобідка-Смотрицька Чемеровецького р-ну.","Лісове урочище Середня дубина кв.1 вид 7, кв.2 вид 4"
62,"Хмельницька","місцеве","Товтри Садова та Деренова","заказник","ботанічний",26.3,"Рішенням обласної ради народних депутатів від 16.10.1991 року № 171","ДП Кам’янець-Подільський лісгосп","Циківський розсадник кв.9 діл. 9, кв.10 діл. 5"
63,"Хмельницька","місцеве","Черчецька Товтра","заказник","ботанічний",4.5,"Рішенням Хмельницького облвиконкому від 19.10.1988 року № 153","Залучанська сільська рада","Біля с.Черче Чемеровецького р-ну."
64,"Хмельницька","місцеве","Вільховецькі товтри","заказник","ботанічний",47,"Рішенням сесії обласної ради від 1.11.1996 року № 2","Вільховецька сільська рада Чемеровецького р-ну","За 1 км. на захід від с. Вільхівці"
65,"Хмельницька","місцеве","Китайгородський ліс","заказник","ботанічний",84,"Рішенням облвиконкому від 19.10.1988 року № 153","КП Надра Кам’янеччиниКам’янець-Подільського р-ну","Схил р.Тернави поблизу с.Китайгород"
66,"Хмельницька","місцеве","Мукшанський","заказник","ботанічний",21,"Рішенням облвиконкому від 19.10.1988 року № 153","Слобідко-Кульчиєвецька сільська рада Кам’янець-Подільського р-ну","Поблизу с. Жовтневе"
67,"Хмельницька","місцеве","Устянський","заказник","ботанічний",12,"Рішенням облвиконкому від 19.10.1988 року № 153","Устянська сільська рада Кам’янець-Подільського р-ну","Поблизу с.Устя"
68,"Хмельницька","місцеве","Нігинська товтра","заказник","ботанічний",3.5,"Рішенням облвиконкому від 19.10.1988 року № 153","Нігинська сільська рада Кам’янець-Подільського р-ну","Поблизу с.Нігин"
69,"Хмельницька","місцеве","Три горби","заказник","ботанічний",283,"Рішенням облвиконкому від26.10.1990 року №194","ДП Кам’янець-Подільський лісгосп","Панівецьке лісництво кв. 5-9"
70,"Хмельницька","місцеве","Лазарево","заказник","ботанічний",160,"Рішенням облвиконкому від26.10.1990 року №194","ДП Кам’янець-Подільський лісгосп","Панівецьке лісництво кв. 1-4"
71,"Хмельницька","місцеве","Наддністрянський","заказник","ботанічний",1167,"Рішенням сесії обласної ради народних депутатів від 25.12.1992 року №7","ДП Кам’янець-Подільський лісгосп Радгосп Наддністрянськийс.Демшин Кам’янець-Подільського р-ну","Подільське лісництво кв.66-69 ліс р-пу Наддністрянський"
72,"Хмельницька","місцеве","На валу","заказник","ботанічний",215,"Рішенням облвиконкому від26.10.1990 року №194","ДП Кам’янець-Подільський лісгосп","Панівецьке лісництво кв. 30-33"
73,"Хмельницька","місцеве","Хутірський","заказник","ботанічний",46.8,"Рішенням 4 сесії обласної ради від 16.12.1998 року № 13","ДП Славутський лісгосп","Хутірське л-во кв. 31 вид. 21, кв. 40 вид. 4, кв 41 вид.2"
74,"Хмельницька","місцеве","Гайдучино","заказник","ботанічний",48,"Розпорядженням Голови ОДА від 28.09.1995 року № 67-р","ДП Старокостянтинівський лісгосп","Красилівське л-во кв. 83, 86"
75,"Хмельницька","місцеве","Шундерова дача","заказник","ботанічний",23.2,"Рішенням обласної ради від 1.11.1996 року № 2","Шепетівський військовий лісгосп","Шепетівський військовий лісгосп, кв. 3 вид. 5, 7, 8, 14-21, 33, 35"
76,"Хмельницька","місцеве","Глібівський","заказник","ботанічний",144,"Рішенням облвиконкому від 26.10.1990 року № 194","ДП Новоушицький лісгосп","Браїлівська л-во кв.6, 9, 10"
77,"Хмельницька","місцеве","Віньковецький","заказник","ботанічний",14.5,"Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7","ДП Ярмолинецький лісгосп","Віньковецьке л-во кв. 30,42"
78,"Хмельницька","місцеве","Залісецький","заказник","ботанічний",70,"Рішенням сесії обласної ради народних депутатів від 17.12.1993 року № 3","ДП Кам’янець-Подільський лісгосп","Маківське л-во, кв.80"
79,"Хмельницька","місцеве","Конвалія травнева","заказник","ботанічний",39.9,"Рішенням сесії обласної ради народних депутатів від 25.12.1992 року","ДП Ізяславський лісгосп","Плужнянське л-во, кв. 30, вид 12, 14, 23, 42 вид. 1, 2, 5, 6, 8"
