"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
24,"Вінницька","загальнодержавне","Урочище Стінка","пам’ятка природи","комплексна",90,"Розпорядження Ради Міністрів УРСР від 14.10.75 р. № 780-Р","Ямпільський ДЛГ","Ямпільський районПетрашівська с/рПетрашівське лісництво , кв.20"
25,"Вінницька","загальнодержавне","Терещуків яр","пам’ятка природи","ботанічна",3.8,"Постанова Ради Міністрів УРСР від 28.12.89 р. № 324","Чечельницька селищна рада","Чечельницький районЧечельницька селищна рада, смт. Чечельник, правий берег р. Савранки"
26,"Вінницька","загальнодержавне","Ромашково","пам’ятка природи","ботанічна",8.7,"Постанова Ради Міністрів УРСР від 28.12.89 р. № 324","Чечельницька селищна рада","Чечельницький районЧечельницька селищна рада"
27,"Вінницька","загальнодержавне","Урочище Дубина","пам’ятка природи","загальнозоологічна",29,"Розпорядження Ради Міністрів УРСР від 14.10.75 р.№ 780 - р.","Хмільницький ДЛГ","Літинський район,Громадська с/р,Соснівська с/рЛітинське лісництво, кв.23,д. 1"
28,"Вінницька","загальнодержавне","Урочище Рибчинецька дубина","пам’ятка природи","загальнозоологічна",40,"Розпорядження Ради Міністрів УРСР від 14.10.75 р. № 780 -р.","Віноблагроліс,Рибчинецька сільська рада","Хмільницький район,с. Рибчинці с. Маркуші"
29,"Вінницька","загальнодержавне","Відслонення Грушанської світи","пам’ятка природи","геологічна",0.5,"Постанова Ради Міністрів УРСР від 21.03.84 р. № 139","Грушанська сільська рада","Могилів - Подільський район,с . Грушка, правий берег р. Мурафи, на північний схід від села"
30,"Вінницька","загальнодержавне","Відслонення Могилівської світи","пам’ятка природи","геологічна",0.5,"Постанова Ради Міністрів УРСР від 21.03.84 р. № 139","Немійська сільська рада","Могилів - Подільський район,с.Немія, північно- західна околиця м. Могилева -Подільського"
31,"Вінницька","загальнодержавне","Березовий гай","пам’ятка природи","геологічна",0.5,"Постанова Ради Міністрів УРСР від 21.03.84 р. № 139","Бернашівська сільська рада","Могилів -Подільський район,північно - східна околиця с. Бернашівки"
32,"Вінницька","загальнодержавне","Урочище Гайдамацький яр","пам’ятка природи","геологічна",96,"Розпорядження Ради Міністрів УРСР від 14.10.75 р. № 780","ТОВ Чернівецьке районне спеціалізоване лісогосподарське підприємство Райкомунліс,Бушанська сільська рада","Чернівецький район,с.Бабчинці , вздовжр. БушанкиЯмпільський районс.Буша"
33,"Вінницька","загальнодержавне","Чернятинський парк","парк-пам’ятка садово-паркового мистецтва",,31,"Постанова Ради Міністрів УРСР від29.01.60 р. № 105","Чернятинський аграрний технікум","Жмеринський район,Чернятинська сільська рада"
34,"Вінницька","загальнодержавне","Немерчанський парк","парк-пам’ятка садово-паркового мистецтва",,20,"Постанова Ради Міністрів УРСР від29.01.60 р. № 105","Дослідне господарство Україна","Муровано -Куриловецький район,с. Немерче"
35,"Вінницька","загальнодержавне","Немирівський парк","парк-пам’ятка садово-паркового мистецтва",,85,"Постанова Ради Міністрів УРСР від29.01.60 р. № 105","Санаторій Авангард ","Немирівський район,м. Немирів,вул. Шевченка ,1"
36,"Вінницька","загальнодержавне","Антопільський парк","парк-пам’ятка садово-паркового мистецтва",,27,"Постанова Ради Міністрів УРСР від29.01.60 р. № 105","Антопільський будинок - інтернат для психічнохворих","Томашпільський район.Марківська сільська рада,с. Антопіль"
37,"Вінницька","загальнодержавне","Верхівський парк","парк-пам’ятка садово-паркового мистецтва",,25,"Постанова Ради Міністрів УРСР від 29.01.60 р. № 105","Верхівський сільсько-господарський технікум","Тростянецький район, Верхівська сільська рада"
38,"Вінницька","загальнодержавне","Ободівський парк","парк-пам’ятка садово-паркового мистецтва",,17,"Постанова Ради Міністрів УРСР від 29.01.60 р. № 105","Ободівська школа - інтернат","Тростянецький район,Ободівська сільська рада"
39,"Вінницька","загальнодержавне","Печерський парк","парк-пам’ятка садово-паркового мистецтва",,19,"Постанова колегії Держком-природи по охороні природи від 17.12.84 р. № 49","Печерська обласна лікарня відновлювального лікування","Тульчинський районс. Печера"
40,"Вінницька","загальнодержавне","Парк ім. 50-річчя Жовтня","парк-пам’ятка садово-паркового мистецтва",,20,"Постанова колегії Держком-природи по охороні природи від 27.07.87 р. № 25","Лікарня південно- західної залізниці","Хмільницький район,Хмільницька міська рада,вул. Шевченка,20"
41,"Вінницька","загальнодержавне","Парк ім. Леніна","парк-пам’ятка садово-паркового мистецтва",,55,"Постанова колегії Держком-природи по охороні природи від 10.06.82 р. № 14","Центральний військовий клінічний санаторій Хмільник","Хмільницький район,Хмільницька міська рада,вул. Першого Травня, 63"
42,"Вінницька","загальнодержавне","Ботанічний сад Поділля","парк-пам’ятка садово-паркового мистецтва",,72,"Постанова колегії Держком-природи від 27.07.77 р. № 25","Вінницький Державний аграрний університет, ботанічний сад Поділля","м. Вінниця, вул. Пирогова,155"
43,"Вінницька","загальнодержавне","Центральний парк культури і відпочинку ім. Горького","парк-пам’ятка садово-паркового мистецтва",,30,"Постанова колегії Держком-природи від 27.07.77 р. № 25","Центральний парк культури і відпочинку ім. Горького","м.Вінниця,вул. Хлібна,1"
44,"Вінницька","місцеве","Середнє Побужжя","регіональний ландшафтний парк",,2618.2,"Рішення 27 сесії Вінницької обласної ради 5 скликання № 903 від 10 грудня 2009 року","Сутиська селищна рада, Тиврівська селищна рада, Довгополівська с/р, Дзвониська с/р, Шендерівська с/р, Колюхівська с/р, Маловулизька с/р","Тиврівський район:Сутиська селищна рада, Тиврівська селищна рада, Довгополівська с/р, Дзвониська с/р, Шендерівська с/р, Колюхівська с/р, Маловулизька с/р"
45,"Вінницька","місцеве","Дністер","регіональний ландшафтний парк",,6719.48,"Рішення 27 сесії Вінницької обласної ради 5 скликання № 903 від 10 грудня 2009 рокуРішення 5сесії Вінницької обласної ради 6 скликання № 104 від 29 квітня 2011року","м..Могилів-Подільський,Бронницька, Ярузька, Суботівська с/рБушанська, Гальжбіївська, Михайлівська с/р","м..Могилів-Подільський, . – 1629,03гаМогилів-Подільський район;Бронницька, Ярузька, Суботівська с/р – 3420,0га.Ямпільський район – Бушанська, Гальжбіївська, Михайлівська с/р – 1670,45га."
46,"Вінницька","місцеве","Мурафа","регіональний ландшафтний парк",,3452.7,"Рішення 17 сесії Вінницької обласної ради 5 скликання № 573 від 29.05.08р","смт. Чернівціс.Гамулівка с. Коси, с. Лозовас. Вила Ярузькіс.Скалопільс.Скорячий Яр, с. Гонтівкас. Мазурівка","Чернівецька селищна рада – 78,8 ГАБабчинецька с/р-72,7 га, Вило-Ярузька с/р-1152,2 га, Гонтівська с/р- 53,0 га, Лозівська с/р-476,9 га, Мазурівська с/р- 537,2 га"
