"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
33,"Миколаївська","місцеве","Новоодеський","заказник","ландшафтний",20.7,"№8 від 02.02.2013","землі державної власності (запас)","Новоодеський р-н"
34,"Миколаївська","місцеве","Підгірний","заказник","ландшафтний",114.96,"№8 від 02.02.2013","землі державної власності (запас)","Первомайський р-н"
35,"Миколаївська","місцеве","Черталківський","заказник","ландшафтний",159.02,"№8 від 02.02.2013","землі державної власності, фізичні особи-землекористувачіна умовах оренди (Корецький М.М., Корецький О.М., Корецький С.М.)","Вознесенський р-н"
36,"Миколаївська","місцеве","Варюшино","заказник","лісовий",632,"№623 від 25.12.79","ДП Веселинівське лісове господарство","Веселинівський р-н"
37,"Миколаївська","місцеве","Дорошівка","заказник","лісовий",136,"№448 від 23.10.84","ДП Вознесенське лісове господарство","Вознесенський р-н"
38,"Миколаївська","місцеве","Балабанівка","заказник","лісовий",510,"№448 від 23.10.84","ДП Миколаївське лісове господарство","м. Миколаїв"
39,"Миколаївська","місцеве","Мішково-Погорілове","заказник","лісовий",180,"№448 від 23.10.84","ДП Миколаївське лісове господарство","Жовтневий р-н"
40,"Миколаївська","місцеве","Олександрівська дача","заказник","лісовий",465,"№448 від 23.10.84","ДП Врадіївське лісове господарство","Арбузинський р-н"
41,"Миколаївська","місцеве","Новоселівка","заказник","лісовий",112.7,"№448 від 23.10.84","ДП Вознесенське лісове господарство","Арбузинський р-н"
42,"Миколаївська","місцеве","Добра Криниця(БОТАНІЧНИЙ)","заказник","лісовий",20,"№448 від 23.10.84","ДП Баштанське лісове господарство","Баштанський р-н"
43,"Миколаївська","місцеве","Вільне","заказник","лісовий",10,"№448 від 23.10.84","ДП Єланецьке лісове господарство","Братський р-н"
44,"Миколаївська","місцеве","Володимирівська дача","заказник","лісовий",1298,"№448 від 23.10.84","ДП Володимирівське лісове господарство","Казанківський р-н"
45,"Миколаївська","місцеве","Байрак","заказник","лісовий",10,"№448 від 23.10.84",,"Первомайський р-н"
46,"Миколаївська","місцеве","Кам’яна Балка","заказник","лісовий",10,"№448 від 23.10.84","землі державної власності (запас), ДП Єланецьке лісове господарство","Первомайський р-н"
47,"Миколаївська","місцеве","Мартинівське","заказник","лісовий",145,"№ 448 від 23.10.84","землі державної власності (запас)","Вознесенський р-н"
48,"Миколаївська","місцеве","Івано-Кепіне","заказник","ботанічний",25.5,"№ 336 від 16.12.87","землі державної власності (запас)","Снігурівський р-н"
49,"Миколаївська","місцеве","Яковлівський","заказник","ботанічний",142.7,"№ 336 від 16.12.87 №336 від 16.12.87","землі державної власності (запас)","Березнегуватський р-н"
50,"Миколаївська","місцеве","Пелагеївський","заказник","ботанічний",123.5,"№ 11 від 12.03.93",,"Новобузький р-н"
51,"Миколаївська","місцеве","Скобелівська балка","заказник","ботанічний",10,"№ 24 від 02.02.95","землі державної власності (запас)","Казанківський р-н"
