"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
30,"Кіровоградська","місцеве","Булгаківська балка","заказник","ландшафтний",78,"Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.","Бобринецька районна державна адміністрація","Бобринецький р-н, поблизу с.Піщане"
31,"Кіровоградська","місцеве","Велика і мала скелі","заказник","ландшафтний",15,"Рішенням Кіровоградської обласної ради №47 від 19.05.1995р.","Олександрійська районна державна адміністрація","Олександрійський р-н, поблизу с.Протопопівка"
32,"Кіровоградська","місцеве","Витоки ріки Інгул","заказник","ландшафтний",1,"Розпорядженням представника президента №55 від 01.07.1992р.","Новомиргородське лісництво ДП Оникіївський лісгосп","Новомиргородський р-н, поблизу с.Бровкове"
33,"Кіровоградська","місцеве","Витоки р.Малої Висі","заказник","ландшафтний",2.5,"Рішенням Кіровоградської обласної ради №116 від 28.01.2000р.","Маловисківська районна державна адміністрація","Маловисківський р-н, поблизу с.Лутівка"
34,"Кіровоградська","місцеве","Гурівський","заказник","ландшафтний",18.6,"Рішенням Кіровоградської обласної ради №92 від 29.07.1997р.","ДП Долинське лісгосп","Долинський р-н, Гурівське мисливське лісництво кв.14, діл. 1,2,19,20. Кв.15, діл. 1-9"
35,"Кіровоградська","місцеве","Долинівсько-Покровський","заказник","ландшафтний",50,"Рішенням Кіровоградської обласної ради №47 від 19.05.1995р.","Компаніївська районна державна адміністрація","Компаніївський р-н, с.Долинівка, с.Покровка"
36,"Кіровоградська","місцеве","Золота балка","заказник","ландшафтний",30.6,"Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.","Долинська районна державна адміністрація","Долинський р-н, с.Зелений гай"
37,"Кіровоградська","місцеве","Інгульські крутосхили","заказник","ландшафтний",15,"Рішенням Кіровоградської обласної ради №64 від 25.03.1999р.","Устинівська районна державна адміністрація","Устинівський р-н, поблизу с.Олександрівка"
38,"Кіровоградська","місцеве","Карпенків край","заказник","ландшафтний",250,"Рішенням Кіровоградської обласної ради №31 від 13.01.1995р. та №92 від 29.07.97р. (розширення)","Новомиргородська районна державна адміністрація – 85,8 га, Маловисківська районна державна адміністрація - 164,2 га","Новомиргородський р-н, с.Арсенівка Маловисківський р-н с.Мар’янівка"
39,"Кіровоградська","місцеве","Кінські острови","заказник","ландшафтний",114,"Рішенням Кіровоградської обласної ради №31 від 13.01.1995р.","Світловодська районна державна адміністрація","Світловодський Кременчуцьке водосховище"
