№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;“Березинка”;дендрологічний парк;;34;Мукачівський р-н, ДП “Мукачівське ЛГ” л-во Березинка, урочище “Нодьлігет”, квартал 3, виділ 19 - 42;ДП “Мукачівське ЛГ”;Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253, Ріш. 9 сесії обл. ради від 26.12..2003 № 325
2;Учнівський дендрологічний парк;дендрологічний парк;;0.9;м. Мукачево;Міський еколого-натуралістичний центр учнівської молоді;Ріш. облради від 22.06.2005 р. № 541
;Всього дендрологічних парків місцевого значення:;2;;34.9;;;
1;"""Парк-арборетум""";парк-пам`ятка садово-паркового мистецтва;;3;смт. Великий Березний;В. Березнянська селищна рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 23.10.1984 р. № 253
2;"""Підзамковий""";парк-пам`ятка садово-паркового мистецтва;;4;м. Ужгород, вул. Підградська, 33;Ужгородський міськвиконком;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253, Ріш. облради від 26.05.2011 р. № 220
3;"""Боздоський""";парк-пам`ятка садово-паркового мистецтва;;50;м. Ужгород, вул. Боздошська дорога, 5;Дирекція парку;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253, Ріш. облради від 04.12.2008 р. № 708,  Ріш. облради від 26.05.2011 р. № 220
4;"""Парк культури і відпочинку""";парк-пам`ятка садово-паркового мистецтва;;4;Ужгородський р-н, с. В.Геївці;Великогеївська сільська рада;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш.ОВК від 23.10.1984 р. № 253
5;"""Парк культури і відпочинку""";парк-пам`ятка садово-паркового мистецтва;;1.5;Ужгородський р-н, с. Великі Лази;Великолазівська загальноосвітня школа;Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 23.10.1984 р. № 253
6;"""Палісадник обласної лікарні""";парк-пам`ятка садово-паркового мистецтва;;0.7;м.Ужгород, вул. Перемоги, 22;Обласна лікарня;Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
7;"""Парк культури і відпочинку""";парк-пам`ятка садово-паркового мистецтва;;6;Берегівський р-н, с. Велика Бакта;"Філія ""Берегівдержспецлісгосп""";Ріш. ОВК від 18.11.1969 р. № 414, Ріш. ОВК від 25.07.1972 р. № 243, Ріш. ОВК від 23.10.1984 р. № 253
