№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;
7;Мостівський;заказник;лісовий;189,5;"Здолбунівський район Мостівське л-во: кв. 59 вид.20; кв. 60 вид.3; кв. 71 вид.1, 3, 6; кв. 72 вид.1, 8";ДП „Острозький лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та зі змінами рішення облради № 584 від 27.05.2005р. та № 1331 від 25.09.09р.);
8;Базальтівський;заказник;лісовий;38;Костопільський район Базальтівське л-во: кв. 19 вид.5, 7;ДП „Костопільський лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
9;Новоставський;заказник;лісовий;40;Рівненський р-н Новоставське л-во: кв. 19 вид.9, 11, 12;ДП „Клеванський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
10;Урочище “Медин”;заказник;лісовий;20;Рокитнівський район Рокитнівське л-во: кв.6 вид.2, 3, 5, 6, 10, 14, 15;ДП „Рокитнівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
11;Немирівський ліс;заказник;лісовий;192;"Радивилівський район кв. 89 вид. 1-32; кв. 90 вид. 1-3; 10-24, 27-29";ДП СЛАП “Радивилівський держспецлісгосп”;Рішення облвиконкому № 98 від 18.06.91р.;
12;Карасинський;заказник;лісовий;267;"Сарненський район Карпилівське л-во:  кв. 17 вид. 1-42, 44-46; кв. 18 вид. 1-23, 25-37; кв. 27 вид.1, 2, 5-36; кв. 28 вид. 2-23";ДП „Сарненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1438 від 18.12.2009р.);
13;Костянтинівський;заказник;лісовий;0,8;Сарненський район Костянтинівське л-во: кв. 60 вид.24;ДП „Сарненський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
14;Чабельський;заказник;лісовий;51;Сарненський район Чабельське л-во: кв. 20 вид.23,  кв. 21 вид.27, кв. 27 вид.19 ;ДП „Клесівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
15;Урочище “Берці”;заказник;лісовий;288;Сарненський район Малинське л-во: кв. 18-20;ДП „Березнівський лісгосп”;Рішення облради № 33 від 28.02.95р.;
16;Урочище “Павлівщина”;заказник;лісовий;131;Рівненський район Решуцьке л-во: кв. 51;ДП “Клеванський лісгосп”;Рішення облради № 584 від 27.05.05р.;
;Разом заказників лісових;16;;2142,8;;;;
1;Болото Гало;заказник;ботанічний;6,5;Березнівський район Щекичинське л-во: кв. 43 вид.47,48, 49;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04р.;
2;Озерський;заказник;ботанічний;1840;Володимирецький район Озерецьке л-во: кв.1, 2, 5-7, 10-15, 17-20;ДП „Володимирецький лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
3;Мульчицький;заказник;ботанічний;3860;"Володимирецький район, Озерецьке л-во: кв. 24а-28а, 30а, 31а, 33а, 37а-39а; (Зарічненський р-н) Мульчицьке л-во: кв. 3, 5, 7, 8, 15-18, 23, 24, 27-32; Привітівське л-тво кв. 46, 47, 48, 49";"ДП „Володимирецький лісгосп”,     ДП СЛАП ""Зарічненський держспецлісгосп""";Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Партизанський;заказник;ботанічний;1942;Володимирецький район Партизанське л-во: кв. 12, 15, 16, 23, 24, 25, 32-40;ДП „Володимирецький лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Красносільський;заказник;ботанічний;934;Володимирецький район Красносільське л-во: кв.15, 24-26, 40-43;ДП „Володимирецький лісгосп”;Рішення облвикон­кому № 98 від 18.06.1991 р. (зі змінами рішення облради № 322 від 05.03.2004р. та № 584 від 27.05.2005р.;
6;Воронківський;заказник;ботанічний;123;Володимирецький район с.Воронки;Воронківська сільська рада;"Рішення облвикон­кому № 98 від 18.06.1991р. (зі змінами рішення облради № 58 від 29.10.2002р.; № 322 від 05.03.2004р. та №584 від 27.05.2005р.";
7;Урочище “Вижар”;заказник;ботанічний;36;Володимирецький район Центральне л-тво: кв.57 вид. 12, 16;"Довговільська сільська рада, ДП СЛАП ""Володимирецький держспецлісгосп""";Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
8;Урочище “Липне”;заказник;ботанічний;40;Володимирецький район Центральне л-тво: кв.32 вид. 4;"Красносільської сільська рада, ДП СЛАП ""Володимирецький держспецлісгосп""";Рішення облвикон-кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
9;Урочище “Озарінь”;заказник;ботанічний;90;Володимирецький район Центральне л-тво: кв.10;"Воронківська сільська рада, ДП СЛАП ""Володимирецький держспецлісгосп""";Рішення облвикон-кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
10;Урочище “Потки”;заказник;ботанічний;9;Володимирецький район Центральне л-тво: кв.13 виділ 44 (3,1 га);"Воронківська сільська рада, ДП СЛАП ""Володимирецький держспецлісгосп""";Рішення облвикон-кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
11;Урочище “Бережани”;заказник;ботанічний;400;Дубенський район с.Турковичі;Птицька сільська рада;Рішення облвикон­кому № 98 від 18.06.91р.;
12;Корнинський;заказник;ботанічний;77;Рівненський район Здолбунівське л-во: кв.1, 2;ДП „Рівненський лісгосп”;Рішення облвикон­ко­му № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
13;Кунинська дача;заказник;ботанічний;200;Здолбунівський район Здолбунівське л-во: кв. 34-38;ДП „Рівненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
14;Рокитнянська діброва;заказник;ботанічний;54;Костопільський район Костопільське л-во: кв. 42;ДП „Костопільський лісгосп”;Рішення облвикон­кому № 213 від 13.10.93 р.;
15;Урочище “Бір”;заказник;ботанічний;579,2;Острозький район Новомалинське л-во: кв. 1-3, 7, 8 (за винятком вид. 16, 30), 13, 14, 17 (за винятком вид. 22);ДП „Острозький лісгосп”;Рішення облвикон­ко­му № 213 від 13.10.93 р. (зі змінами рішення облради № 322 від 05.03.2004р. та № 584 від 27.05.2005 року);
16;Гориньград;заказник;ботанічний;8;Рівненський район Олександрійське л-во: кв. 47 вид.17, 18;ДП „Рівненський лісгосп”;Рішення облради № 322 від 5.03.04р.;
17;Єльнівський;заказник;ботанічний;3548;"Рокитнівський район Єльнівське л-во: кв. 1-10, 12-20, кв. 24 вид.1, 2, 4, 6-8, 12, 14-18, 20, 23, 24, 27, 28, 31-40, 42-48; кв. 27 вид. 1-11 , 13-19; кв. 28 вид. 1-10, 12-24, 26-30, 32-38; кв. 30 вид. 1-11, 13-34; кв. 31 вид. 1-8, 10-13, 15-27, 29-34, 36-48, 50-58;  кв. 39 вид. 1- 13, 15- 20, 22-29;  кв. 40 вид. 1, 2, 4, 5, 7 ,9-19, 21-37, 40-45; кв. 49 вид. 1-3, 5-13, 14-30, 32-35, 37-47; кв. 50 вид. 1-16, 18-20, 22-29;  кв. 51 вид. 1-9, 11-15, 17-40, 42-50; кв. 52 вид.1-39, 41-59.";ДП „Клесівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
18;Грабунський;заказник;ботанічний;769;Рокитнівський район Березівське л-во: кв. 31-34, 36-38;ДП „Рокитнівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
19;Глиннівський;заказник;ботанічний;2130;Рокитнівський район Глинівське л-во: кв. 12, 13, 21-23, 30-33, 42-45, 48-51, 56, 57;ДП „Рокитнівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
20;Більський;заказник;ботанічний;1865;Рокитнівський район Рокитнівське л-во: кв. 65-68, 70, 71, 73-77, 79-84;ДП „Рокитнівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
21;Залавський;заказник;ботанічний;3064,7;Рокитнівський район Залавське л-во: кв. 23-25, 29-31, 34-37, 41-52, 54-56, 59, 62;ДП „Рокитнівський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
22;Мушнянський;заказник;ботанічний;2018;Рокитнівський район Мушнянське л-во: кв. 2-4, 6-16, 19, 20, 23, 24, 27, 28, 35, 36;ДП „Остківський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
23;Карпилівський;заказник;ботанічний;700;Рокитнівський район Карпилівське л-во: кв.54 вид.1-10, кв.55 вид. 1, 3-36;"Карпилівська сільська рада, ДП ""СЛАП ""Рокитнівський держспецлісгосп""";Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
24;Плавський;заказник;ботанічний;600;Рокитнівський район Сновидовицьке л-во: кв. 5 вид. 1, 3, 4, 14-36, 39, 41;"Кам’янська сільська рада, ДП ""СЛАП ""Рокитнівський держспецлісгосп""";Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
25;Білинський;заказник;ботанічний;100;Рокитнівський район Біловізьке л-во: кв. 36-38, 40-42;ДП „Остківський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
26;Урочище “Солонівське”;заказник;ботанічний;103;Радивилівський район с.Солонів;Пляшевська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
27;Урочище “Ситенське”;заказник;ботанічний;67;Радивилівський район с.Ситне;Купецька сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
28;Михайлівський;заказник;ботанічний;199,8;Радивилівський район Радивилівське л-во: кв. 104, 105 кв. 106 (за винятком вид.27);ДП „Дубенський лісгосп”;Рішення облвикон­кому № 345 від 16.12.86 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та зі змінами рішення облради № 58 від 29.10.2002р.);
29;Лев’ятинське болото;заказник;ботанічний;23;Радивилівський район кв.54 вид.5-7, 9-16;ДП СЛАП “Радивилівський держспецлісгосп”;Рішення облвиконкому № 98 від 18.06.91р.;
30;Урочище “Кишка”;заказник;ботанічний;422;"Радивилівський район кв. 63 вид.7-29; кв.66 вид.1-9; кв.67 вид. 1-8";Крупецька сільська рада, ДП СЛАП “Радивилівський держспецлісгосп”;Рішення облради № 33 від 28.02.95р.;
31;Урочище “Савчуки”;заказник;ботанічний;65,6;Радивилівський район кв. 24 вид. 1-9;ДП СЛАП “Радивилівсь-кий держспецлісгосп”;Рішення облради № 33 від 28.02.95р.;
32;Бабинський ліс;заказник;ботанічний;137,8;"Гощанський район Гощанське л-во: квартали 13; квартал 14 (за винятком вид.2)";ДП “Острозький лісгосп”;Рішення облради № 584 від 27.05.05р. (зі змінами рішення облради № 1331 від 25.09.09р.);
33;Квітуча гора;заказник;ботанічний;50;Дубенський район кв. 23 вид.1-5, 18;Мильчанська сільська рада  ДП СЛАП “Дубенський держспецлісгосп”;Рішення облради № 584 від 27.05.05р.;
34;Заплава річки Збитенка;заказник;ботанічний;112,5;Здолбунівський район с.Мости;Будеразька сільська рада;Рішення облради № 584 від 27.05.05р.;
35;Болото Кругляк;заказник;ботанічний;32,6;Здолбунівський район с.Святе;Будеразька сільська рада;Рішення облради № 584 від 27.05.05р.;
36;Великоозерянський;заказник;ботанічний;6111;Дубровицький район Будимлянське л-тво: кв. 40-43 Великочеремельське л-тво: кв.13, 17, 22, 23, 27-30, 34-56 Великоозерянське л-тво: кв. 1-4, 48-52, 54-63, 65-66;ДП “Дубровицький лісгосп”;Рішення Рівненської обласної ради № 1195 від 27.03.2009р.;
37;Колобанки;заказник;ботанічний;50;Здолбунівський р-н.;Копитківська сільська рада;Рішення Рівненської обласної ради  від 16.11.2012р. № 787;
38;Грабовещина;заказник;ботанічний;4,3;Млинівський район кв. 19 вид. 29, 30, 34 ;ДП СЛАП “Млинівський держспецлісгосп”;Рішення Рівненської обласної ради№ 1195 від 27.03.2009р.;
;Разом заказників ботанічних;38;;32372;;;;
1;Урочище “Брище”;заказник;загально-зоологічний;850;"Березнівський район Князівське л-во: кв.5 вид.12-18, 20-21, 25; кв.6 вид.21; кв.8 вид.1-8, 22-23; кв.12 вид.18-26; кв.15 вид.1-19; кв. 16 вид.1-5; кв.17 вид.1-36; кв.19 вид. 2-7, 29, 32; кв.20 вид.21-26, 28;  Бобрівське л-во: кв.13 вид.1-37; кв.14 вид. 1-27; кв.20 вид.26-37; кв.26 вид.1-30; кв.34 вид.1-3; кв.35 вид.1-13; кв. 36 вид.11-33; кв.37 вид.31-43; кв.47 вид. 1-11; кв. 48 вид. 1-16; кв.49 вид. 1-2, 33-34";ДП „Березнівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.09р.);
2;Мутвицький;заказник;загально-зоологічний;3985;Зарічненський район Мутвицьке л-во: кв. 1-13, 19-43, 47;ДП „Зарічненський лісгосп”;Рішення облради № 33 від 28.02.95 р. (зі змінами рішення облради № 322 від 05.03.2004р. та № 584 від 27.05.2005р.);
3;Урочище “Поличне”;заказник;загально-зоологічний;219;Зарічненський район Річецьке л-во: кв. 28,29;ДП „Зарічненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Урочище “Глуша”;заказник;загально-зоологічний;183;Зарічненський район  ;Кутинська сільська рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 78 від 06.03.1997р.);
5;Масевицький, Урочище “Старики”;заказник;загально-зоологічний;1577;Рокитнівський район Масевицьке л-во: кв. 3, 5, 6, 10, 13, 14, 19, 23, 24, 29, 34, 35, 39, 47, 48;ДП „Рокитнівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
6;Осницький;заказник;загально-зоологічний;300;"Рокитнівський район Рокитнівське л-во: кв. 8, 12, 13; кв. 3 вид. 1";ДП „Рокитнівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
;Разом заказників загально-зоологічних;6;;7114;;;;
1;Урочище “Стирське”;заказник;орнітологічний;273;"Володимирецький район   Центральне л-тво: кв.1 вид.1, 2, 4; кв.3 вид.1; кв. 6 вид.17 (0,7 га)";"Біленська сільська рада, Великотелковицька сільська рада  ДП СЛАП ""Володимирецький держспецлісгосп""";Рішення облвиконкому № 343  від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Урочище “Романщина”;заказник;орнітологічний;90;Володимирецький район с.Каноничі;Каноницька сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
3;Урочище “Хрінники”;заказник;орнітологічний;1,3;Демидівський район Дублянське л-во: кв. 53 вид.10;ДП „Млинівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
4;Урочище “Вичавки”;заказник;орнітологічний;40;Демидівський район;Хрінницька сільська рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Нобельський;заказник;орнітологічний;510;Зарічненський район Морочнівське л-тво: кв.17 вид.3, 6, 36, 37;"Нобельська сільська рада, ДП СЛАП ""Зарічненський держспецлісгосп""";Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
6;Мар’янівський;заказник;орнітологічний;215;"Костопільський район Моквинське л-во:  кв. 25 вид.3, 4, 5, 7-12, 18-20, 21, 23-25, 29, 48-50; кв. 29 вид 5-7, 19-21; кв.30 вид. 1, 2, 5, 6, 25, 26; кв.31 вид. 1, 2, 10, 27, 28 Костопільське л-во: кв. 21  вид. 1-16, 25-28";ДП „Костопільський лісгосп”,       ДП СЛАП “Костопільський держспецлісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
7;Збитенський;заказник;орнітологічний;200;Острозький район кв.23 вид.32, 33, 37, 38, 41;ДП СЛАП “Остозький держспецлісгосп”, Підприємець Співак В.М.;Рішення облвиконкому № 213 від 13.10.93 р.;
8;Урочище “Чортове болото”;заказник;орнітологічний;163;Костопільський район Деражнинське л-во: кв. 26-28;ДП „Клеванський лісгосп”;Рішення облвикон­кому № 98 від 18.06.91р. (зі змінами рішення облради № 1331 від 25.09.2009р.);
9;Урочище “Вовча гора”;заказник;орнітологічний;64;Сарненський район;Костянтинівська сільська рада Красько В.І.;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом заказників орнітологічних;9;;1556,3;;;;
1;Рясниківський;заказник;ентомологічний;15;Гощанський район кв.10 вид. 1-5, 9, 11;"ДП СЛАП ""Гощанський держспецлісгосп""";Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;М’ятинський;заказник;ентомологічний;12;Гощанський район кв. 12;"Посягвівська сільська рада, ДП СЛАП ""Гощанський держспецлісгосп""";Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
3;Озерянський;заказник;ентомологічний;3;Дубенський район с.Озеряни;Озерянська сільська рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Клинцівський;заказник;ентомологічний;30;Дубенський район с.Клинці;Гірницька сільська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Ясинівський;заказник;ентомологічний;22;Дубенський район кв.45 вид. 1-5;ДП СЛАП „Дубенський держспецлісгосп”;Рішення облвикон­ко­му № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
6;Нараївський;заказник;ентомологічний;27;Дубенський район с.Нараїв;Княгининська сільська рада ;Рішення облвикон­ко­му № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
7;Ступнівський;заказник;ентомологічний;59;Здолбунівський район кв. 33 вид. 4-8 кв.35 вид.20-24 кв.37 вид 9;ДП СЛАП „Здолбунівський держспецлісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.) ;
8;Стеблівський;заказник;ентомологічний;7;Здолбунівський район кв. 11 вид. 15, 16;ДП СЛАП „Здолбунівський держспецлісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
9;Коршівський;заказник;ентомологічний;32;Здолбунівський район кв. 14 вид. 2-8;ДП СЛАП „Здолбунівський держспецлісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
10;Мощаницький;заказник;ентомологічний;44;Здолбунівський район кв. 47 вид. 24-34;ДП СЛАП „Здолбунівський держспецлісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
11;Будеразький;заказник;ентомологічний;46;Здолбунівський район кв. 43 вид. 24-27, 60-62 кв. 44 вид. 1-7;ДП СЛАП „Здолбунівський держспецлісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
12;Точевицький;заказник;ентомологічний;6;Острозький район кв. 21 вид.17-18;Білашівська сільська рада, ДП СЛАП „Острозький держспецлісгосп”;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991 р.);
13;Розвазький;заказник;ентомологічний;5;Острозький район с.Хорів;Хорівська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
14;Грушвицький;заказник;ентомологічний;10;Рівненський район Сморжівське л-тво: кв. 61;"ДП ""Клеванський лісгосп""";Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
15;Підгірцівський;заказник;ентомологічний;14;Рівненський район с.Підгірці;Малошпаківська сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
16;Колоденський;заказник;ентомологічний;12;Рівненський район с.Колоденка;Корнинська сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом заказників кетомологічних;16;;344;;;;
1;Прип’ятський;заказник;іхтіологічний;3155;"Зарічненський район Морочнівське л-тво: кв.12 вид.1, 2, 3, 4; кв.13 вид. 1, 2, 3, 25, 26; кв.16 вид. 1; кв.17 вид. 1, 2, 3, 4, 5";"Неньковицька сільська рада, Нобельська сільська рада, Сенчицька сільська рада, ДП СЛАП ""Зарічненський держспецлісгосп""";Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Деражненський;заказник;іхтіологічний;100;Костопільський район с.Деражне;Деражненська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом заказників іхтіологічних ;2;;3255;;;;
1;Полянський;заказник;гідрологічний;555;Березнівський район с.Поляни;ТзОВ „Березнериба”;Рішення облвиконкому № 98 від 18.06.91р. (зі змінами рішення облради № 69 від 19.03.99р.);
2;Урочище “Порода”;заказник;гідрологічний;36;Володимирецький район;Володимирецька селищна рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
3;Урочище “Верба”;заказник;гідрологічний;148;Дубенський район с.Верба;Стовпецька сільська рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Урочище “Студянка”;заказник;гідрологічний;64;Дубенський район с.Студянка;Шепетинська сільська рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
5;Урочище “Стрілки”;заказник;гідрологічний;35;Дубенський район с.Плоска;Плосківська сільська рада, ПП Лущан Р.В.;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
6;Дібрівський;заказник;гідрологічний;106;Зарічненський район Дібрівське л-во: кв. 10;ДП „Зарічненський лісгосп”;Рішення облради № 33 від 28.02.95р.;
7;Урочище “Добрятин”;заказник;гідрологічний;129;Млинівський район;Добрятинська сільська рада;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
8;Урочище “М’ятин”;заказник;гідрологічний;152;Млинівський район с.М’ятин ;Хорупанська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 345 від 16.12.86 р. та зі змінами рішення облради № 584 від 27.05.2005 року);
9;Збитенський;заказник;гідрологічний;483;"Острозький район Новомалинське л-во: кв. 15, 16, 38 кв.23 вид. 34; кв.31 вид.1-29, 35-45, 56-61 "; ДП „Острозький лісгосп”,  ДП СЛАП “Острозький держспецлісгосп”, підприємець Співак В.М.;Рішення облвиконкому № 10 від 23.01.90 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та зі змінами рішення облради № 584 від 27.05.2005 року);
10;Заплава річки Іква;заказник;гідрологічний;534;Дубенський район Любомирське л-во: кв.73-76, 94-98;ДП “Дубенський лісгосп”;Рішення облради № 584 від 27.05.05р.;
11;Заплава річки Стир;заказник;гідрологічний;200;Млинівський район;Ярославицька сільська рада;Рішення облради № 584 від 27.05.05р.;
;Разом заказників гідрологічних;11;;2442;;;;
1;Мізоцький кряж;заказник;геологічний;2255;"Дубенський район Любомирське л-во: кв. 20, 21, 30-35, 54-57, 132-134, 138-142 Мостівське л-во: кв. 25-31, 47; кв. 48 (за винятком вид. 12, 15), кв. 49 (вид. 9, 13), кв. 50  Новомалинське л-во: кв. 46, 47; кв. 48 (вид. 1-7, 9-17, 22-27), кв. 52,  кв. 53";ДП „Дубенський лісгосп”,    ДП „Острозький лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.та зі змінами рішення облради № 322 від 05.03.2004р.,  № 584 від 27.05.2005р. та № 1331 від 25.09.09р.);
2;Маренинсько-Устянські граніти;заказник;геологічний;170;Корецький район, Березнівський район кв.55 вид. 1, 3, 5  кв. 55 вид. 2, 4, 6-12 кв. 59 вид. 8, 9, 10;"Устянська сільська рада, Марининська сільська рада ДП СЛАП “Березнівський держспецлісгосп”, СВСК ""Агроліс""";Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
3;Корецькі граніти;заказник;геологічний;15;Корецький район;Корецька міська рада;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Яр “Каменярня”, урочище “Біла дебря” ;заказник;геологічний;20;Млинівський район Вовковиївське л-тво:  кв. 10 вид.1 (6,2 га), вид. 7, 8, 15-19;ДП “Млинівський лісгосп”;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1438 від 18.12.2009р.);
;Разом заказників геологічних ;4;;2460;;;;
;Всього заказників місцевого значення;112;;53887,3;;;;
1;Болото-блюдце;пам`ятка природи;комплексна;1,2;Березнівський район Жовтневе л-во: кв. 11 вид.11;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04 р.;
2;Старі дуби;пам`ятка природи;комплексна;1;Березнівський район Щекичинське л-во: кв. 25 вид.9, 16, 19;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04 р.;
3;Володимирецький парк;пам`ятка природи;комплексна;3;Володимирецький район смт.Володимирець ;Володимирецька ЗОШ І-ІІІ ст.№3;Рішення облвиконкому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
