№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;
86;Дівоча гора;заповідне урочище;;266,7;Здолбунівський район Здолбунівське л-во: кв. 16 вид. 1-11, кв. 17 вид. 1-17, 23, 24, кв. 18, кв. 19, кв. 20;ДП „Рівненський лісгосп”;Рішення облвикон­кому № 343 від 22.11.83р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення обласної ради від 22.04.2011 № 264);
87;Очеретяне;заповідне урочище;;1,3;Березнівський район Більчаківське л-во: кв.15 вид.26;ДП „Соснівський лісгосп”;Рішення облради № 322 від 5.03.04р.;
88;Озеро Воронки;заповідне урочище;;23;Володимирецький район с.Воронки;Воронківська  сільська рада;Рішення облвиконкому № 98 від 18.06.1991р.;
89;Урочище “Маївка”;заповідне урочище;;15;Демидівський район с.Вичавки;Хрінницька сільська рада;Рішення облвиконкому № 10 від 23.01.90 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
90;Вичівське;заповідне урочище;;95;Зарічненський район Вичівське л-во: кв.30 вид.1-4;ДП „Зарічненський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
91;Чернинське;заповідне урочище;;26;Зарічненський район с.Чернин ;Зарічненська селищна рада;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
92;Стидинська дача;заповідне урочище;;412;Костопільський район Стидинське л-во: кв. 18, 19, 20, 30;ДП „Костопільський лісгосп”;Рішення облвиконкому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 1331 від 25.09.2009р.);
93;Урочище “Війницьке”;заповідне урочище;;10;Млинівський район с.Війниця;Війницька сільська рада;Рішення облвиконкому № 10 від 23.01.90р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
94;Козацькі могили;заповідне урочище;;3,5;Радивилівський район с.Пляшева;Пляшевська сільська рада;Рішення облвикон­кому № 343 від 22.11.83 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
95;Урочище “Пустиця”;заповідне урочище;;4,3;Радивилівський район с.Кам’яна Верба;Пустоіваннівська  сільська рада;Рішення облвикон­кому № 98 від 18.06.91р.;
