№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
26;Парк культури і відпочинку ім. Б. Хмельницького;парк-пам`ятка садово-паркового мистецтва;;26;м. Львів;дирекція парку;1984*;;
27;Личаківський парк;парк-пам`ятка садово-паркового мистецтва;;8,8;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
28;Парк “Високий Замок”;парк-пам`ятка садово-паркового мистецтва;;35,5;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
29;Парк кінця ХІХ століття  “На Валах”;парк-пам`ятка садово-паркового мистецтва;;1,9;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
30;Пагорб Слави;парк-пам`ятка садово-паркового мистецтва;;12,36;м. Львів;Львівський міський виробничий трест зеленого господарства;1984*;;
31;Парк ім. Б.Хмельницького;парк-пам`ятка садово-паркового мистецтва;;150;м. Дрогобич;Дрогобицький міськкомунгосп;1984*;;
32;Парк ім. генерала Васильєва;парк-пам`ятка садово-паркового мистецтва;;1,94;м. Дрогобич;Дрогобицький міськкомунгосп;1984*;;
33;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;2,35;м. Дрогобич;Дрогобицький міськкомунгосп;1984*;;
34;Парк ім.  Т. Шевченка;парк-пам`ятка садово-паркового мистецтва;;20;м. Стрий;Стрийський міськкомунгосп, адміністрація парку;1984*;;
35;Парк Нижанківського;парк-пам`ятка садово-паркового мистецтва;;1,5;м. Стрий;Стрийський міськкомунгосп, адміністрація парку;1984*;;
36;Парк Злуки;парк-пам`ятка садово-паркового мистецтва;;5;м. Стрий;Стрийський міськкомунгосп, адміністрація парку;1984*;;
37;Новояричівський парк;парк-пам`ятка садово-паркового мистецтва;;6;Кам’янко-Бузький р-н, с.м.т. Новий Яричів;Новояричівська СШ, лікарня;1984*;;
38;Неслухівський парк;парк-пам`ятка садово-паркового мистецтва;;7;Кам’янко-Бузький р-н, с. Неслухів;Львівська дослідна станція садівництва;1984*;;
39;Тишковицький парк;парк-пам`ятка садово-паркового мистецтва;;14;Мостиський р-н, с. Тишковичі;селянська спілка с. Тишковичі;1984*;;
40;Курортний парк;парк-пам`ятка садово-паркового мистецтва;;78;Дрогобицький р-н, м. Трускавець;Трускавецька територіальна рада по управлінню курортами профспілок;1984*;;
41;Верхньобілківський парк;парк-пам`ятка садово-паркового мистецтва;;32;Пустомитівський р-н, с. Верхня Білка;Верхньобілківська сільрада;1984*;;
42;Басівський дендропарк;парк-пам`ятка садово-паркового мистецтва;;15,4;Пустомитівський р-н, Лапаївське л-во, кв. 35 (5,6);ДП «Львівський лісгосп»;1984*;;
43;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;6;Мостиський р-н, с. Судова Вишня;Судовишнянське СПТУ-66;1984*;;
44;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;11;Мостиський р-н, с. Тшенець;Тшенецька інфекційна лікарня;1984*;;
45;Замковий парк;парк-пам`ятка садово-паркового мистецтва;;13,9;Жовківський р-н м. Жовква;Жовківська міська рада;Рішення Львівської обласної ради від 24.05.2011 р. № 140;;
46;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;3,5;Жовківський р-н, с. Надичі;селянська спілка;1984*;;
47;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;1,5;Перемишлянський р-н, с. Бібрка;Бібрський ПМК;1984*;;
48;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;3,5;м. Пустомити;комбінат комунальних підприємств;1984*;;
49;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;1;Самбірський р-н, с. Корналовичі;Корналовицька с/р;1984*;;
50;Парк турстанції;парк-пам`ятка садово-паркового мистецтва;;4;Сколівський р-н, с. Дубина;Турбаза “Карпати”;1984*;;
51;Парк школи-інтернату;парк-пам`ятка садово-паркового мистецтва;;3;м. Сколе, вул. Князя Святослава;Сколівська школа-інтернат;1984*;;
52;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;5;Сокальський р-н, с. Тартаків;Тартаківська сільрада;1984*;;
53;Парк ХVIII ст.;парк-пам`ятка садово-паркового мистецтва;;3;Старосамбірський р-н, с. Ракове;Раківська СШ;1984*;;
54;Парк курортний;парк-пам`ятка садово-паркового мистецтва;;12;Стрийський р-н, м. Моршин;Моршинська територіальна рада по управлінню курортами профспілок;1984*;;
55;Парк комунальної 7-ої лікарні м. Львова;парк-пам`ятка садово-паркового мистецтва;;1,42;;;Рішення Львівської обласної ради від 18 березня 2014 року № 988;;
;Всього парків-пам’яток садо-паркового мистецтва місцевого значення;55;;776,24;;;;;
1;Геологічно-ботанічна ділянка під назвою “Триніг”;пам`ятка природи;комплексна;5,5;Бродівський р-н, Підкамінське л-во,  кв. 45 (9,13);ДП «Бродівський лісгосп»;1984*;;
2;“Жулицька Гора”, “Гора Сторожиха”, “Гора Висока”;пам`ятка природи;комплексна;261;Золочівський р-н, Білокамінське л-во,  кв. 51-54;ДП «Золочівський лісгосп»;1984*;;
3;Підлиська Гора (Гора Маркіяна Шашкевича);пам`ятка природи;комплексна;146,5;Золочівський  район, Білокамінське л-во  кв.19 (1,2);ДП «Золочівський лісгосп»;Рішення Львівського облвиконкому  №495 від 09.10.84. Розширення площі Рішенням сесії Львівської обл. ради  №56 від 15.10.2002р.;;
4;Свята Гора;пам`ятка природи;комплексна;186;Золочівський  район, Білокамінське л-во  кв.47-49;ДП «Золочівський лісгосп»;1984*;;
5;Комплекс мальовничих скель з лісонасадженнями на горі “Сигла” і “Широка Сигла;пам`ятка природи;комплексна;15,7;Сколівський р-н, Дубинське л-во,  кв.18 (1,2,9,10);ДП «Сколівський лісгосп»;1984*;;
6;Комплекс мальовничих скель з лісонасадженнями на горі “Соколовець”;пам`ятка природи;комплексна;12;Сколівський р-н, Сколівський ДЛГ, Підгородцівське л-во, кв.18 (1,2,7-9);ДП «Сколівський лісгосп»;1984*;;
7;“Пам_ятка Пеняцька”;пам`ятка природи;комплексна;35;Бродівський р-н, Пеняцьке л-во,  кв. 60;ДП «Золочівський лісгосп»;Рішення сесії Львівської обласної ради народних депутатів № 126 від 11.02.97 р.;;
8;"“Відслонення Вигородського пісковика з руїнами старовинного монастиря і печери О. Довбуша""";пам`ятка природи;комплексна;1;Стрийський р-н, с. Розгірче;Стрийський р-н,  с. Розгірче;1984*;;
9;“Стільська”;пам`ятка природи;комплексна;515;Миколаївський р-н, Стрийський ДЛГ, Роздольське л-во,  кв. 7-17;ДП «Стрийський лісгосп»;Рішення сесії Львівської обласної ради народних депутатів №225 від 08.12.99 р.;;
10;Скеля, де був збудований замок Данила Галицького;пам`ятка природи;комплексна;1;Старосамбірський р-н,  с. Спас;Селянська спілка с. Спас;1984*;;
11;Сквер ім. Марії Солодкої;пам`ятка природи;комплексна;1,3;Кам_янко-Бузький р-н,  с. Зубів Міст;Селянська спілка с.Зубів Міст;1984*;;
12;Тисова гора;пам`ятка природи;комплексна;1,9;Сколівський р-н,, Козівське л-во, кв.4, в.14;ДП «Сколівський лісгосп»;1984*;;
13;Стежка Івана Франка;пам`ятка природи;комплексна;15;Дрогобицький р-н, с. Івано-Франкове, Ів.Франківське л-во, кв.21 (в.23-32);ДП «Дрогобицький лісгосп»;1984*;;
14;Страдчанська;пам`ятка природи;комплексна;28,9;Яворівський р-н, с. Страдч,  Ів.Франківське л-во, кв.32,(в.11-17);Яворівський міжгосподарський лісгосп;Рішення Львівської обласної ради народних депутатів ві№126 від 11.02.97 р.;;
15;“Витік р. Дністер”;пам`ятка природи;комплексна;54;Турківський р-н, Вовчанське л-во,  кв.21 (16,17,19,21,22),  кв. 22 (1-7);ДП «Турківський лісгосп»;1984*;;
16;“Комплекс мальовничих скель серед лісонасаджень в околицях с. Лелехівка”;пам`ятка природи;комплексна;1;Яворівський р-н,  с.м.т. Івано-Франкове, Страдчівський НВК Укр ДЛТУ, Страдчівське л-во, кв. 14-22;Страдчівський навчально-виробничий лісокомбінат;1984*;;
;Разом пам`яток  природи комплексних;16;;1280,8;;;;;
1.    ;Група вікових лип і каштанів;пам`ятка природи;ботанічна;0,35;м.Городок СШ №2;СШ №2;1984*;;
2.    ;Алея вікових лип;пам`ятка природи;ботанічна;2;Буський р-н, с.Куткір;Селянська спілка с.Розгірче;1984*;;
3.    ;Вікова липа;пам`ятка природи;ботанічна;0,05;Городоцький р-н долина ріки Верещиці;Городоцький комбінат комунальних підприємств;1984*;;
4.    ;Віковий ясен;пам`ятка природи;ботанічна;0,05;м. Городок;Городоцький комбінат комунальних підприємств;1984*;;
5.    ;Віковий бук;пам`ятка природи;ботанічна;0,05;Городоцький р-н с.м.т. Великий Любінь;В.Любінська селищна рада народних депутатів;1984*;;
6.    ;Алея вікових лип;пам`ятка природи;ботанічна;0,5;Дрогобицький р-н, с. Смятинка;Рихтицька сільська рада Дрогобицького р-ну;1984*;;
7.    ;Група вікових лип;пам`ятка природи;ботанічна;3,5;Жидачівський р-н, с. Бортники;Бортниківська сільська рада Жидачівського р-ну;1984*;;
8.  ;Кипарис;пам`ятка природи;ботанічна;0,03;м. Жидачів, вул. Міцкевича, 29;Жидачівська контора банку “Україна”;1984*;;
9.    ;Алея вікових лип і дубів;пам`ятка природи;ботанічна;8;Жидачівський р-н, с. Лівчиці;Жидачівське районне шляхово-ремонтне управління;1984*;;
10.   ;Сасівська;пам`ятка природи;ботанічна;130;"Бродівський р-н,  Сасівське л-во,  кв. 41(1,4); кв. 42(1); кв. 44(4,5,7,8); кв. 45(1,2,4-6); кв. 46(1)";ДП «Золочівський лісгосп»;Рішення Львівської обласної ради народних депутатів № 34 від 07.02.91 р.;;
11. 11.;Алея вікових лип;пам`ятка природи;ботанічна;0,5;Жидачівський р-н, с. Тейсарів;селянська спілка с. Тейсарів;1984*;;
12.  ;Віковий дуб;пам`ятка природи;ботанічна;0,05;Золочівський р-н, с.м.т. Поморяни;Поморянська селищна рада;1984*;;
13.  ;Два вікових ясени;пам`ятка природи;ботанічна;0,05;Золочівський р-н, с.м.т. Глиняни;Глинянська селищна рада;1984*;;
14.  ;Липа Б. Хмельницького;пам`ятка природи;ботанічна;0,05;Золочівський р-н, с. Хмелева;Селянська спілка с. Хмелева;1984*;;
15.  ;Дендрарій “Радів”;пам`ятка природи;ботанічна;3,4;Миколаївський р-н, Роздільське л-во,  кв. 39(3,5);ДП «Стрийський лісгосп»;1984*;;
16.  ;Віковий дуб;пам`ятка природи;ботанічна;0,05;Миколаївськи1й р-н, с.Веринь;Розвадівська сільська рада;1984*;;
17.  ;Група вікових лип;пам`ятка природи;ботанічна;0,2;Жовківський р-н, с.м.т. Куликів;Куликівська селищна рада;1984*;;
18.  ;Група вікових дубів і лип;пам`ятка природи;ботанічна;0,05;Перемишлянський  р-н  с.Свірж;Львівська картинна галерея;1984*;;
19.  ;Три вікові дуби Б.Хмельницького;пам`ятка природи;ботанічна;0,07;Пустомитівський р-н, с.Підгірне;Миклашівська сільська рада;1984*;;
20.  ;Група вікових ясенів;пам`ятка природи;ботанічна;0,09;м. Радехів, райлікарня;Радехівська міська рада;1984*;;
21.  ;Віковий дуб;пам`ятка природи;ботанічна;0,05;Самбірський р-н, с. Чайковичі;селянська спілка с. Чайковичі;1984*;;
22.  ;Віковий дуб;пам`ятка природи;ботанічна;0,03;м. Сколе, вул. Князя Святослава, 13;Сколівська міська рада;1984*;;
23.  ;Віковий дуб;пам`ятка природи;ботанічна;0,03;м. Сколе (центр міста);Сколівська міська рада;1984*;;
24. 11.;Платан кленолистий;пам`ятка природи;ботанічна;0,03;м. Сколе, вул. Лісна;Сколівська міська рада;1984*;;
25.  ;Глід червонолистий;пам`ятка природи;ботанічна;0,06;м. Сколе;Сколівська міська рада;1984*;;
26.  ;Магнолія Суланжа;пам`ятка природи;ботанічна;0,05;м. Сколе;Сколівська міська рада;1984*;;
27.  ;Група вікових дубів;пам`ятка природи;ботанічна;0,15;м. Сколе;Сколівська міська рада;1984*;;
28.  ;Бузок угорський;пам`ятка природи;ботанічна;1,2;Сколівський р-н, Климецьке л-во,  кв.21(6);ДП «Славський лісгосп»;1984*;;
29.  ;Віковий ясен;пам`ятка природи;ботанічна;0,05;м. Сокаль, біля церкви;Районний комбінат комунальних підприємств;1984*;;
30.  ;Віковий ясен;пам`ятка природи;ботанічна;0,05;м. Сокаль, центр міста;Районний комбінат комунальних підприємств;1984*;;
31.  ;Декоративний бук червонолистої форми;пам`ятка природи;ботанічна;0,05;Старосамбірський р-н, м. Добромиль,  вул. Червоноармійська,28;Добромильська лікарня;1984*;;
32.  ;Група вікових ясенів та дубів;пам`ятка природи;ботанічна;0,07;Старосамбірський р-н, м. Добромиль, вул. Я. Галана. 3;Добромильська міська рада;1984*;;
33.  ;Вікова липа;пам`ятка природи;ботанічна;0,05;Старосамбірський р-н, м. Добромиль, вул. Я. Галана. 3;Добромильська міська рада;1984*;;
34.  ;Алея вікових лип;пам`ятка природи;ботанічна;0,23;Старосамбірський р-н, с. Муроване;Добромильська міська рада;1984*;;
35.  ;Дуб звичайний;пам`ятка природи;ботанічна;0,05;Стрийський р-н, Моршинське л-во,  кв. 68 (10);ДП «Стрийський лісгосп»;1984*;;
36.  ;Віковий клен;пам`ятка природи;ботанічна;0,05;Яворівський р-н, с. Дрогомишль;Нагачівська сільська рада;1984*;;
37.  ;Віковий платан;пам`ятка природи;ботанічна;0,05;Яворівський р-н, с. Дрогомишль;Нагачівська сільська рада;1984*;;
38.  ;Два вікових дуби;пам`ятка природи;ботанічна;0,05;Яворівський р-н, с. Дрогомишль;Нагачівська сільська рада;1984*;;
39.  ;Група вікових тополь;пам`ятка природи;ботанічна;1;Яворівський р-н, с. Дрогомишль;Нагачівська сільська рада;1984*;;
40.  ;Група вікових лип;пам`ятка природи;ботанічна;1;Яворівський р-н, с. Дрогомишль;Нагачівська сільська рада;1984*;;
41.  ;Дві тополі чорні;пам`ятка природи;ботанічна;0,05;Яворівський р-н, с. Дрогомишль;Нагачівська сільська рада;1984*;;
42.  ;Два вікових дуби;пам`ятка природи;ботанічна;0,05;Яворівський р-н, с. Старий Яричів;Залузька сільська рада;1984*;;
43.  ;Віковий дуб;пам`ятка природи;ботанічна;0,05;Яворівський р-н, с.м.т. Немирів;Адміністрація курорту “Немирів”;1984*;;
44.  ;Червонолистий бук;пам`ятка природи;ботанічна;0,05;м. Яворів, СШ №1;Яворівська СШ № 1;1984*;;
45.  ;Група вікових лип;пам`ятка природи;ботанічна;0,05;м. Яворів,  вул. Гребінки;Яворівська міськомунгосп;1984*;;
46.  ;Магнолія Кобус (3 екз);пам`ятка природи;ботанічна;0,08;м. Львів, вул. Рудницького,25;Міськжитлоуправління;1984*;;
47.  ;Магнолія Кобус;пам`ятка природи;ботанічна;0,05;м.Львів, вул.С.Бандери,12;Львівський національний політехнічний університет;1984*;;
48.  ;Магнолія Суланжа;пам`ятка природи;ботанічна;0,05;м.Львів, вул.Коновальця, 94;міський трест зеленого господарства;1984*;;
49.  ;Платан;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Копистинського, 9;міськжитлоуправління;1984*;;
50.  ;Магнолія Кобус;пам`ятка природи;ботанічна;0,05;м. Львів, с.м.т. Брюховичі, Завадівське л-во (контора);ДП «Львівський лісгосп»;1984*;;
51.  ;Парикове дерево;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Кибальчича, 11;міськжитлоуправління;1984*;;
52.  ;Тис ягідний (3 екз);пам`ятка природи;ботанічна;0,05;м. Львів, вул. Мушака, 54;4-та міська комунальна лікрня;1984*;;
53.  ;Магнолія Кобус;пам`ятка природи;ботанічна;0,05;м. Львів, вул. І. Франка, 133;Обласний дитячий еколого-натуралістичний центр;1984*;;
54.  ;Група вікових дубів, решток природних дубових лісів;пам`ятка природи;ботанічна;0,1;м. Львів, вул. Бойківська, 4;міський трест зеленого господарства;1984*;;
55.  ;Винники;пам`ятка природи;ботанічна;2,7;м. Львів,  м. Винники,  Винниківське л-во,  кв. 20 (6);ДП «Львівський лісгосп» ”;1984*;;
56.  ;Лісопарк “Погулянка”;пам`ятка природи;ботанічна;100,33;м. Львів;міський трест зеленого господарства;1984*;;
57.  ;Гінкго;пам`ятка природи;ботанічна;0,01;м. Дрогобич, вул. Словацького, 29;дитсадок;1984*;;
58.  ;Бук червонолистий;пам`ятка природи;ботанічна;0,01;м. Дрогобич вул. Стрийська, 443;нафтопереробний завод;1984*;;
59.  ;Група магнолій;пам`ятка природи;ботанічна;0,43;м. Дрогобич пл. Незалежності;комбінат комунальних підприємств;1984*;;
60.  ;Група сріблястих смерек;пам`ятка природи;ботанічна;0,02;м. Дрогобич вул. Стрийська, 443;комбінат комунальних підприємств;1984*;;
61.  ;Бук червонолистий (2 екз);пам`ятка природи;ботанічна;0,02;м. Дрогобич вул. Гоголя, 42;краєзнавчий музей “Дрогобиччина”;1984*;;
62.  ;Група тисів (4 екз);пам`ятка природи;ботанічна;0,05;м. Дрогобич вул. Міцкевича, 34;педінститут;1984*;;
63.  ;Група туй західних (7 екз);пам`ятка природи;ботанічна;0,08;м. Дрогобич вул. Міцкевича, 34;педінститут;1984*;;
64.  ;Магнолія китайська;пам`ятка природи;ботанічна;0,01;м. Дрогобич вул. Гоголя, 26;бальнеологічна лікарня;1984*;;
65.  ;Оцтове дерево;пам`ятка природи;ботанічна;0,01;м. Дрогобич вул. Гоголя,26;бальнеологічна лікарня;1984*;;
66.  ;Два вікові дуби;пам`ятка природи;ботанічна;0,02;М. Трускавець, ДП Дрогобицький ЛГ;ДП «Дрогобицький лісгосп»;1984*;;
67.  ;Дуб І. Франка;пам`ятка природи;ботанічна;0,05;м. Стрий, вул. Осипенка, 15;МПТУ-34;1984*;;
68.  ;Група тиса ягідного;пам`ятка природи;ботанічна;0,1;м. Стрий;дитсадок № 3;1984*;;
69.  ;Конвалія;пам`ятка природи;ботанічна;9,5;Бродівський р-н, Бродівське л-во,  кв. 17(6) ;ДП «Бродівський лісгосп»;Впорядковано рішенням Львівської обласної ради народних депутатів № 117 від 22.12.98 р;;
70.  ;Нестеровська;пам`ятка природи;ботанічна;1,2;Жовківський р-н, Вязівське л-во, кв. 45 (6);ДП «Жовківський лісгосп»;1984*;;
71.  ;Бук плакучої форми;пам`ятка природи;ботанічна;0,01;м. Трускавець;санаторій “Берізка”;1984*;;
72.  ;Тис ягідний;пам`ятка природи;ботанічна;0,01;м. Трускавець;санаторій “Кришталевий палац”;1984*;;
73.  ;Чотири дуби пірамідальної форми;пам`ятка природи;ботанічна;0,15;м. Самбір;міський комбінат комунальних підприємств;1984*;;
74.  ;Віковий ясен;пам`ятка природи;ботанічна;0,05;м. Самбір;міський комбінат комунальних підприємств;1984*;;
75.  ;Дві катальпи;пам`ятка природи;ботанічна;0,05;м. Яворів;міськкомунгосп;1984*;;
76.  ;Дугласія;пам`ятка природи;ботанічна;1,2;Сколівський р-н, Орівське л-во,  кв. 25(7), кв. 24(21);ДП «Сколівський лісгосп»;1984*;;
77.  ;Група дерев;пам`ятка природи;ботанічна;0,05;м. Стрий;Будинок дитячої творчості;1984*;;
78.  ;Магнолія;пам`ятка природи;ботанічна;0,05;м. Стрий;СШ № 2;1984*;;
79.  ;Віковий дуб;пам`ятка природи;ботанічна;0,05;м. Стрий, вул. Ломоносова,4;Стрийський міськкомунгосп;1984*;;
80.  ;Група дерев та кущів;пам`ятка природи;ботанічна;0,5;м. Стрий;Стрийський міськкомунгосп;1984*;;
81.  ;Кледрастис жовтий;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Рудницького, 12;міськжитлоуправління;1984*;;
82.  ;Магнолія верболиста;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Рудницького, 15;міськжитлоуправління;1984*;;
83.  ;Сосна румелійська;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Труша, 19;міськжитлоуправління;1984*;;
84.  ;Ялиця кавказька;пам`ятка природи;ботанічна;0,05;м. Львів, вул.Труша, 19;міськжитлоуправління;1984*;;
85.  ;Сосна кедрова європейська;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Труша, 24;міськжитлоуправління;1984*;;
86.  ;Дуб звичайний (пірамідальна форма);пам`ятка природи;ботанічна;0,05;м. Львів, вул. Труша, 23;міськжитлоуправління;1984*;;
87.  ;Гінкго дволопатеве;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Ів. Франка, 122;міськжитлоуправління;1984*;;
88.  ;Тсуга канадська;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Мушака, 54;4-та міська клінічна комунальна лікарня;1984*;;
89.  ;Кипарисовик горохоплідний;пам`ятка природи;ботанічна;0,05;м. Львів, вул.Мушака, 54;4-та міська клінічна комунальна лікарня;1984*;;
90.  ;Ялиця одноколірна;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Мушака, 54;4-та міська клінічна комунальна лікарня;1984*;;
91.  ;Липа американська;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Мушака, 54;4-та міська клінічна комунальна лікарня;1984*;;
92.  ;Гледичія;пам`ятка природи;ботанічна;0,05;м. Львів, вул. Котляревського, 15;міськжитлоуправління;1984*;;
93.  ;Коло Бадівського;пам`ятка природи;ботанічна;13,2;Кам_янко-Бузький р-н, с. Батятичі;Батятицька сільська Рада;Розпорядження голови облдержадміністрації № 1123 від 22.12.95 р.;;
94.  ;Дві магнолії;пам`ятка природи;ботанічна;0,05;м. Яворів;міськкомунгосп;1984*;;
95.  ;Тис;пам`ятка природи;ботанічна;0,05;м. Яворів;міськкомунгосп;1984*;;
96. ;Дендропарк імені Бенедикта Дибовського;пам`ятка природи;ботанічна;0,644;м. Львів;;Рішення Львівської обласної ради від  22.09.2010 р. № 1330;;
97. ;Дуб Длань Русі;пам`ятка природи;ботанічна;;"с. Велике Сокальського р-ну; Бендюзьке лісництво,  квартал 62, виділ 6";"ДП ""Радехівське ЛГ""  ";Рішення Львівської обласної ради від  14.07.2011 р. № 206;;
98. ;Ясен Яна Павліковського  ;пам`ятка природи;ботанічна;;м. Угнів Сокальського р-ну;Угнівська міська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
99. ;Дуб Куличків  ;пам`ятка природи;ботанічна;;с. Куличків Сокальського р-ну;Великомостівська міська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
100.    ;Дуб Виговського  ;пам`ятка природи;ботанічна;;с. Руда  Жидачівського р-ну;Рудянська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
101.    ;Дуб Вепрь  ;пам`ятка природи;ботанічна;;с. Піддністряни Жидачівського р-ну;Піддністрянська сільрада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
102.    ;Зубрів дуб  ;пам`ятка природи;ботанічна;;с. Нова Скварява Жовківського р-ну;Новоскварявська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
103.    ;Дуб перемоги під Грюнвальдом;пам`ятка природи;ботанічна;;с. Свірж Перемишлянського р-ну;Свірзька сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
104.    ;Ясен невідомого повстанця;пам`ятка природи;ботанічна;;с. Свірж Перемишлянського р-ну;Свірзька сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
105.    ;Явір Захара Беркута  ;пам`ятка природи;ботанічна;;с. Тухолька  Сколівського р-ну;Тухольківська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
106.    ;Тополя-патріарх;пам`ятка природи;ботанічна;;с. Репехів  Жидачівського р-ну;Баковецька сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
107.    ;Дуб Спасителя;пам`ятка природи;ботанічна;;с. Муроване  Сокальського р-ну;Мурованська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
108.    ;Липа родини Гошовських;пам`ятка природи;ботанічна;;с. Явора Турківського р-ну;Явірська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
109.    ;Липа Святого Михаїла  ;пам`ятка природи;ботанічна;;с. Бодячів  Сокальського р-ну;Смиківська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
110.    ;Липа Кравчуків  ;пам`ятка природи;ботанічна;;с. Коросне  Перемишлянського р-ну;Коросненська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
111.    ;Дуб Тараса Бульби-Боровця;пам`ятка природи;ботанічна;;с. Сприня  Самбірського р-ну;Монастирецька сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
112.    ;Дерева Маркіяна Шашкевича  ;пам`ятка природи;ботанічна;;с. Підлисся Золочівського р-ну;Білокамінська сільська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 206;;
113.;Франковий Дуб;пам`ятка природи;ботанічна;;м. Львів, вул. Воробкевича, 3;Громадянин Кметь Р. П.;Рішення Львівської обласної ради від 18 березня 2014 року № 989;;
;Разом пам`яток природи ботанічних ;113;;285,324;;;;;
1.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,05;Ст. Самбірський р-н, с. Стара Сіль;селянська спілка с. Стара Сіль;1984*;;
2.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,05;Ст. Самбірський р-н, с. Лавриків та с. Волошиново;селянська спілка с. Стара Сіль;1984*;;
3.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,05;Ст. Самбірський р-н, біля с. Грозьово;селянська спілка;1984*;;
4.;Свердловина № 6 (мін. води);пам`ятка природи;гідрологічна;0,3;Стрийський р-н, с. Баня Лисовецька;Прикарпатська територ. Рада профспілок;1984*;;
5.;Свердловина № 20 а;пам`ятка природи;гідрологічна;0,36;Стрийський р-н, курорт “Моршин”;Прикарпатська територ. Рада профспілок;1984*;;
6.;Свердловина № 17 а;пам`ятка природи;гідрологічна;0,36;Стрийський р-н, курорт “Моршин”;Прикарпатська територ. Рада профспілок;1984*;;
7.;Джерело мінеральної води “Олеська”;пам`ятка природи;гідрологічна;0,6;Буський р-н, с.м.т. Олесько;завод мінеральних вод;1984*;;
8.;Два джерела мінеральної води;пам`ятка природи;гідрологічна;0,2;Дрогобицький р-н, Східницьке л-во, кв. 7(13), кв. 5(7);ДП «Дрогобицький лісгосп»;1984*;;
9.;Витік ріки Куна;пам`ятка природи;гідрологічна;1;Жидачівський р-н, с. Вільховець;Вільховецька сільська рада;1984*;;
10.;Торфове болото;пам`ятка природи;гідрологічна;2;Самбірський р-н, с. Никловичі;селянська спілка с. Никловичі;1984*;;
11.;Водоспад “Гуркало;пам`ятка природи;гідрологічна;0,1;Сколівський р-н, с. Корчин;селянська спілка с. Корчин;1984*;;
12.;Криниця І.Франка;пам`ятка природи;гідрологічна;0,05;Сколівський р-н, с. Тухля;Тухлянська 8-мирічна школа;1984*;;
13.;Джерело мінеральної води;пам`ятка природи;гідрологічна;0,01;Сколівський р-н, с. Гребенів;Тухлянська сільська рада;1984*;;
14.;Джерело питтєвої води “Нафтуся”;пам`ятка природи;гідрологічна;0,1;Яворівський р-н, с.м.т. Шкло;адміністрація курорту;1984*;;
15.;Джерело № 1 курорту “Немирів”;пам`ятка природи;гідрологічна;0,2;Яворівський р-н, с.м.т. Немирів;адміністрація курорту;1984*;;
16.;Джерело № 2 курорту “Немирів”;пам`ятка природи;гідрологічна;0,2;Яворівський р-н, с.м.т. Немирів;адміністрація курорту;1984*;;
17.;Джерело № 3 курорту “Немирів”;пам`ятка природи;гідрологічна;0,2;Яворівський р-н, с.м.т. Немирів;адміністрація курорту;1984*;;
