№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
6;Підгорецький парк;парк-пам`ятка садово-паркового мистецтва;;17;Бродівський р-н, с. Підгірці;Львівська картинна галерея;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;6;;115,3;;;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення ;25;;64551,3;;;;;
Території та об'єкти ПЗФ місцевого значення;;;;;;;;;
1;Знесіння;регіональний ландшафтний парк;;312;м. Львів, вул. Новознесенська, 32;Львівська міська рада народних депутатів;Ухвала Львівської обласної ради народних депутатів від 02.12.93 р. № 327;;
2;Надсянський;регіональний ландшафтний парк;;19428;"Турківський район, Яблунське л-во:  кв. 1-24; Боринське л-во: кв. 23 (в т.ч. ДЛФ 4392 га)";ДП «Боринський лісгосп»;Рішення Львівської обласної ради народних депутатів №209 від 31.07.97 р.;;
3;Верхньодністровські Бескиди;регіональний ландшафтний парк;;8536;"Старосамбірський район, , Головецьке,  Мшанецьке та Старявське л-ва,  кв.37-58; 64-75,  Спаське л-во:  кв. 1-14;";ДП «Старосамбірський лісгосп»;Рішення Львівської обласної ради народних депутатів №234 від 08.10.97 р.;;
4;Равське Розточчя;регіональний ландшафтний парк;;19103;Жовківський р-н Яворівський р-н;Жовківського р-ну: Дев’ятирська с/р – 1557 га, Липницька с/р –  1128 га, Кам’яногірська с/р – 953 га, Кубинська с/р – 3552 га, Потелецька  с/р – 4962 га, Крехівська с/р – 2775 га, Магерівська с/р –  1862 га,  Яворівського р-ну: Середкевичівська с/р – 2350 га,;Рішення Львівської обласної ради від 13.06.1997 р. №341;;
5;Стільське Горбогір’я ;регіональний ландшафтний парк;;8909,9;Миколаївський р-н Пустомитівський р-н, Перемишлянський р-н;ДП «Львівське лісове господарство»  - 6137,0, ДП «Стрийське лісове господарство» - 1853,0, Миколаївське ДЛГП - 563,5, Пустомитівське ДЛГП – 255,0, Стільська с/р – 95,4, Бродківська с/р – 6,0;Рішення Львівської обласної ради від 1 квітня 2014 року № 1043;;
;Всього регіональних ландшафтних парків;5;;56288,9;;;;;
1;Липниківський;заказник;ландшафтний;2194;"Пустомитівський р-н, Липниківське л-во,  кв. 93-116,  Товщівське л-во,  кв. 39-41, 45-87, 89, 93;";ДП «Львівський лісгосп»;1984*;;
2;Дубрівський;заказник;ландшафтний;408,8;Жидачівський р-н, с.Зарічне;Зарічненська сільська рада, Селянська спілка “Свіча”;Розпорядження голови Львівської облдержадміністрації від 11.02.1995 № 126;;
3;Романівський;заказник;ландшафтний;482;Перемишлянський р-н, Романівське л-во,  кв.15 (в.1-23),16 (в.1-14),  20 (в.1-15), 25 (в.1-14),  26 (в.1-10), 27 (в.1-12).;ДП «Бібрський лісгосп»;1984*;;
4;Свіржський;заказник;ландшафтний;451;Перемишлянський р-н, Бібрський ДЛГ, Свіржське л-во, кв.31 (1-3,8-10,13-19), 33(1-16), 34 (1-11), 35(1-11), 36(1-15), 37(1-15), 38(1-12), 39(1-28);ДП «Бібрський лісгосп»;1984*;;
5;Кошів;заказник;ландшафтний;110;Миколаївський р-н, , Комарнівське л-во, кв.39 (1-44);ДП «Самбірський лісгосп»;1984*;;
6;Зелемінь;заказник;ландшафтний;1496;"Сколівський р-н, Гребенівське л-во,  кв.14-22, 40, 45, 49, 51; Дубинське л-во,  кв. 19-21, 23-25;";ДП «Сколівський лісгосп»;1984*;;
7;Федорівка;заказник;ландшафтний;1409;Сокальський р-н, Сокальське л-во, кв. 72-88;ДП «Радехівський лісгосп»;1984*;;
8;Моршинський;заказник;ландшафтний;3084,6;Стрийський р-н, Моршинське л-во, кв.7-48,50-69;ДП «Стрийський лісгосп»;1984*;;
9;Розлуч;заказник;ландшафтний;152;Турківський р-н,  Розлуцьке л-во,  кв.12,13;ДП «Турківський лісгосп»;1984*;;
10;Верхобузький;заказник;ландшафтний;324;Золочівський р-н, с.Колтів;Колтівська сільська рада;Розпорядження голови Львівської облдержадміністрації від 22.12.1995 № 1123;;
11;Климова дебра;заказник;ландшафтний;296;"Жовківський район, В’язівське лісництво,  Кв. 61, 62, 69, 70;";ДП «Жовківський лісгосп»;Рішення Львівської обласної ради від 30.06.2009 р. № 933;;
12;Бориславський;заказник;ландшафтний;2049,3;Дрогобицький р-н, Бориславське л-во, кв. 38-43, 45-50, 52-58, 60-64, 66, 68, 75-78, 80, 81, 83-89.;ДП «Дрогобицький лісгосп»;1984*;;
13;Базиївка;заказник;ландшафтний;20;Жидачівський р-н,  м. Жидачів;Жидачівська міська рада;Рішення Львівської обласної ради від 14.07.2011 р. № 207;;
;Разом заказників ландшафтних ;13;;12476,7;;; ;;
1;Макітра;заказник;ботанічний;15,5;Бродівський р-н, с. Гаї;Гаївська сільрада;1984*;;
2;Кемпа;заказник;ботанічний;10;Бродівський р-н,  с. Лагодів;Бродівська міськрада;1984*;;
3;Надітичі;заказник;ботанічний;5,1;Миколаївський р-н, с. Надітичі;Пісочнянська сільрада;1984*;;
4;Рацина;заказник;ботанічний;12;Турківський р-н,  с. Верхнє Висоцьке,  с. Матків;Верхнєвисоцька сільрада;Рішення Львівської обласної ради народних депутатів № 34 від 07.02.91 р.;;
;Разом заказників ботанічних;4;;42,6;;;;;
1;Чортова скеля;заказник;лісовий;353;м. Львів,  Личаківський р-н,  Винниківське л-во,  кв. 6-10, 14-19;ДП «Львівський лісгосп»;1984*;;
2;Гряда;заказник;лісовий;1149;Жовківський р-н,  Брюховицьке л-во,  кв.1-38;ДП «Львівський лісгосп»;1984*;;
3;Любінський;заказник;лісовий;2078;Городоцький та Пустомитівськийр-ни, Лапаївське л-во,  кв. 52-92, 95-107;ДП «Львівський лісгосп»;Створено 1984*. Зменшення площі затверджено рішенням Львівської обласної ради народних депутатів № 71 від 01.10.98 р.;;
4;Винниківський;заказник;лісовий;848;Пустомитівськийр-ни, Винниківське л-во,  кв. 49-71, 84-86;ДП «Львівський лісгосп»;1984*;;
5;Львівський;заказник;лісовий;523;м. Львів,  Личаківський р-н,  Винниківське л-во,  кв. 22, 28-30, 33-35, 38-44;ДП «Львівський лісгосп»;1984*;;
6;Завадівський;заказник;лісовий;3561;Жовківський та Яворівський р-ни, Завадівське л-во,  кв.1-66;ДП «Львівський лісгосп»;1984*;;
7;Великий ліс;заказник;лісовий;1649;Сокальський р-н, Радехівський р-н, Сокальське л-во,  кв. 44-55, 57-71;ДП «Радехівський лісгосп»;1984*;;
8;Підкамінь;заказник;лісовий;60,5;Бродівський р-н, Підкамінське л-во,  кв. 48, вид.1;ДП «Бродівський лісгосп»;Рішення Львівської обласної ради народних депутатів №118 від 22.12.98 р.;;
9;Гаївський;заказник;лісовий;50,6;Буський р-н,  урочище «Гаївське» кв. 13 ;Буське ДЛГП “Галсільліс”;Рішення Львівської обласної ради від 07.10.2008 р. № 693;;
10;Добромильський;заказник;лісовий;90;Старосамбірський р-н, Добромильське л-во, кв. 5  ;ДП «Старосамбірський лісгосп»;Рішення  Львівської  обласної  ради  від  22.09.2010  р. № 1329;;
11;Корналовичі;заказник;лісовий;88;Самбірський р-н, Дублянськел-во,  кв. 4, вид. 1;ДП «Самбірський лісгосп»;Рішення  Львівської  обласної  ради  від  11.10.2005 р. № 426;;
;Разом заказників лісових;11;;10450,1;;;;;
1;За гора ;заказник;ентомологічний;0,5;Жовківський р-н, с. Стара Скварява та Мокротин;селянські спілки с. Стара Скварява та с. Мокротин;1984*;;
;Разом заказників ентомологічних ;1;;0,5;;;;;
1;Либохорівський;заказник;загальнозоологічний;2075;"Турківський р-н, Либохорівське л-во, кв.15-29, 31-35;";ДП «Боринський лісгосп»;1984*;;
2;Пукачів;заказник;загальнозоологічний;1649;Радехівський р-н, Радехівське л-во, кв. 28-44,46-58;ДП «Радехівський лісгосп»;1984*;;
;Разом заказників загальнозоологічних;2;;3724;;;;;
1;Чолгинський;заказник;орнітологічний;820;Яворівський район, с. Тернавиця;Новояричівське ДП «Екотрансенерго»;Рішення сесії Львівської обласної ради народних депутатів № 126 від 11.02.97 р.;;
2;Янівські чаплі;заказник;орнітологічний;16;Яворівський р-н,  смт. Івано-Франкове, Страдчівський НВК, Страдчівське л-во,  кв. 49 (1-6, 9);Страдчівський навчально-виробничий лісокомбінат;Розпорядження голови Львівської обл-держадміністрації від 22.12.95 р. № 1123;;
;Разом заказників орнітологічних;2;;836;;;;;
;Пониківський;заказник;гідрологічний;53,7;Бродівський район, між с. Пониква і с. Черниця;Пониківська і Черницька сільради;Рішення Львівської обласної ради народних депутатів від 01.10.98 р. №71;;
1;Разом заказників гідрологічних ;1;;53,7;;;;;
;Всього заказників місцевого значення;34;;27583,6;;;;;
1;Сосновий ліс;заповідне урочище;;11;Буський р-н,  Ожидівське л-во,  кв. 26 (1);ДП «Буський лісгосп»;1984*;;
2;Соколя;заповідне урочище;;53,9;Буський р-н,  Соколянське л-во, кв. 45 (3,5,9,10);ДП «Буський лісгосп»;1984*;;
3;Сторонибаби;заповідне урочище;;30;Буський р-н,  Верблянське л-во,  кв. 55 (1);ДП «Буський лісгосп»;1984*;;
4;Тадані;заповідне урочище;;27;Кам_янко-Бузький р-н,  Таданівське л-во,  кв. 27 (1);ДП «Буський лісгосп»;1984*;;
