№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
14;«Дуб біля с.Мокиївка»;пам’ятка природи;ботанічна;0,01;"Роменський р-н:  Ріпчанська с/р; в лісовому масиві на схід від с. Ріпки. ДП ""Роменський лісгосп"": Роменське л-во, кв. 23 (діл. 3)";ДП «Роменське лісове господарство»;Рішення облвиконкому від 27.09.1973 р.№ 504, рішення облради від 19.10.2000 р.
15;«Екзотичні дерева Глухівського педуніверситету»;пам’ятка природи;ботанічна;0,7;"м. Глухів; на розі вулиць Радянська та Карла Маркса";Глухівський державний університетім. С.М. Сергеєва-Ценського;Рішення облради від 04.03.1999 р.
16;«Гайок»;пам’ятка природи;ботанічна;0,5;"Сумський р-н:  Садівська с/р; на схилі балки поряд з селом";Садівська сільська рада;Рішення облради від 30.08.2005 р. та від 01.12.2006 р.
17;«Гай Цеймерна»;пам’ятка природи;ботанічна;2,8;"Л.-Долинський р-н:  Колядинецька с/р; лісовий масив в околиці с. Великий Ліс. ДП ""Л.-Долинський агролісгосп"": кв. 26 (вид. 29)";ДП «Л.-Долинський агролісгосп»;Рішення облради від 04.08.2006 р.
18;«Кедр сибірський»;пам’ятка природи;ботанічна;0,01;Глухівський р-н:  Полошківська с/р, с. Полошки;Полошківська сільська рада;Рішення облвиконкому від 23.12.1981 р.№ 609
19;«Тростянецькі липи»;пам’ятка природи;ботанічна;0,5;Тростянецький р-н:  м. Тростянець, вул. Комарова;Підприємство «Тростянецькомунсервіс»;Рішення облвиконкому від 27.07.1977 р.№ 429, рішення облради від 19.10.2000 р.
20;«Дуби на вул.Миру»;пам’ятка природи;ботанічна;0,02;Тростянецький р-н: м. Тростянець, вул. Миру, 2;Підприємство «Тростянецькомунсервіс»;Рішення облвиконкому від 31.12.1980 р.№ 704, рішення облради від 19.10.2000 р.
21;«Дуб в с.Будилка»;пам’ятка природи;ботанічна;0,01;Лебединський р-н:  Будильська с/р, с. Будилка;Будильська сільська рада;Рішення облвиконкому від 23.12.1981 р.№ 609
22;«Дуб в с.Ширяєве»;пам’ятка природи;ботанічна;0,01;"Путивльський р-н:  Князівська с/р; в с.Ширяєве на старому кладовищі";Князівська сільська рада;Рішення облвиконкому від 23.12.1981 р. № 609, рішення облради від 26.05.2004 р.
23;«Дуб на вул.Антонова»;пам’ятка природи;ботанічна;0,01;"м. Суми; вул. Антонова, буд. 3/1 (у дворі біля будинку)";КП «Зеленбуд»;Рішення облвиконкому від 21.11.1984 р.№ 334, рішення облради від 27.06.2008 р.
24;«Репівські дуби»;пам’ятка природи;ботанічна;2;"м. Лебедин; біля заповідного урочища ""Липова алея"". ДП ""Лебединський лісгосп"": Радянське л-во, кв. 32 (діл. 26), біля контори лісництва";ДП «Лебединське лісове господарство»;Рішення облвиконкому від 18.12.1985 р.№ 355, рішення облради від 19.10.2000 р.
25;«Дуби біля с.Рогинці»;пам’ятка природи;ботанічна;0,06;"Роменський р-н:  Рогинська с/р; окремо розташовані дерева дуба в лісовому масиві на північ та схід від села Рогинці. ДП ""Роменський агролісгоп"": Роменське л-во, кв. 37 (вид. 7), 39 (вид. 1), 43 (вид. 19)";ДП «Роменський агролісгосп»;Рішення облвиконкому від 10.12.1990 р.№ 227, рішення облради від 19.10.2000 р.
26;«Дуб на вул.Кірова»;пам’ятка природи;ботанічна;0,0057;м. Суми, вул. Кірова, 127, поряд з будинком;КП «Зеленбуд»;Рішення облвиконкому від 10.12.1990 р. № 227, рішення облради від 27.06.2008 р.
27;«Дуб біля школи»;пам’ятка природи;ботанічна;0,04;м. Охтирка, на території середньої школи № 5;Охтирська середня школа;Рішення облвиконкому від 10.12.1990 р. № 227, рішення облради від 19.10.2000 р.
28;«Дуб заводу медичних меблів»;пам’ятка природи;ботанічна;0,04;м. Охтирка, на території бувшого заводу медмеблів;ТОВ Інженерно-технічний центр «Нові технології»;Рішення облвиконкому від 10.12.1990 р. № 227, рішення облради від 19.10.2000 р.
29;«Цар-дуб»;пам’ятка природи;ботанічна;0,01;"Л.-Долинський р-н:  Підставська с/р; в лісовому урочищі між селами Підставки - Мельникове. ДП ""Роменський лісгосп"": Л.-Долинське л-во, кв. 30 (діл. 35)";ДП «Роменське лісове господарство»;Розпорядження Представника Президента України по  області від 28.12.1992 р.№ 347, рішення облради від 26.05.2004 р.
30;«Дуб в с.Підставки»;пам’ятка природи;ботанічна;0,01;"Л.-Долинський р-н:  Підставська с/р; в с. Підставки";Підставська сільська рада;Розпорядження Представника Президента України по області від 28.12.1992 р.№ 347, рішення облради від 19.10.2000 р.
31;«Дуб біля с.Миргородцеве»;пам’ятка природи;ботанічна;0,01;"Л.-Долинський р-н:  Яснопільщанська с/р; на південь від колишнього с. Миргородцеві (нині Яснопільшина), у підніжжі схилу глибокої балки";Яснопільська сільська рада;Розпорядження Представника Президента України по області від 28.12.1992 р.№ 347, рішення облради від 19.10.2000 р.
32;«Гетьманський дуб»;пам’ятка природи;ботанічна;0,0145;м. Глухів, на розі вулиць ім. Леніна та Артема;Глухівська міська рада;Рішення облради від 19.10.2000 р. та від 27.06.2008 р.
33;«Доброславівські дерева»;пам’ятка природи;ботанічна;0,03;Охтирський р-н:  Чернеччинська с/р, с. Доброславівка;Чернеччинська сільська рада;Рішення облради від 22.04.2003 р.
34;«Алеї Трудового братства»;пам’ятка природи;ботанічна;3,3;"Ямпільський р-н:  Воздвиженська с/р; на північ від с. Воздвиженське. ДП ""Ямпільський агролісгосп"": кв. 102 (вид. 47-48, 51-53, 56-58)";ДП «Ямпільський агролісгосп»;Рішення облради від 22.04.2003 р.
35;«Віковий дуб»;пам’ятка природи;ботанічна;0,01;Ямпільський р-н:  центральна частина смт. Ямпіль, вул. Боженка;Ямпільська селищна рад;Рішення облради від 26.05.2004 р.
36;«Віковий дуб в м.Буринь»;пам’ятка природи;ботанічна;0,01;Буринський р-н:  м. Буринь, вул. Першотравнева;Буринська міська рада;Рішення облради від 16.09.2004 р.
37;«Дівоча гора»;пам’ятка природи;ботанічна;3;"Глухівський р-н:  Студеноцька с/р; на відстані 1,3 км на північний захід від с. Студенок.ДП ""Глухівський агролісгосп"": кв. 117 (вид. 12)";1. ДП «Глухівський агролісгосп»2. Студеноцька сільська рада;Рішення облради від 16.09.2004 р.
38;«Модрина князів Щербатових»;пам’ятка природи;ботанічна;0,02;Недригайлівський р-н:  Тернівська селищ./р, смт. Терни;Тернівська селищна рада;Рішення облради від 01.12.2006 р.
39;«Дуб С.П.Супруна»;пам’ятка природи;ботанічна;0,03;Білопільський р-н:  Річківська с/р, с. Річки;Річківська сільська рада;Рішення облради від 04.08.2006 р.
40;«Дуб-орел»;пам’ятка природи;ботанічна;1;"Кролевецький р-н:  Реутинська с/р; ДП ""Кролевецьке лісо-мисливське господарство"": Хрещатинське л-во, кв. 46 (діл. 33)";ДП «Кролевецьке лісомисливське господарство»;Рішення облради від 01.12.2006 р.
41;«Синівська»;пам’ятка природи;ботанічна;3,5;"Л.-Долинський р-н:  Синівська с/р; в північній околиці с. Синівка";Синівська сільська рада;Рішення облради від 04.08.2006 р.
42;«Дуб В.Ф.Кайдаша»;пам’ятка природи;ботанічна;0,03;Білопільський р-н:  Куянівська с/р, с. Куянівка;Куянівська сільська рада;Рішення облради від 01.12.2006 р.
43;«Русанівський гай»;пам’ятка природи;ботанічна;1,4;"Л.-Долинський р-н:  Русанівська с/р; на території лікарні с. Русанівка";Русанівська сільська амбулаторна лікарня;Рішення облради від 01.12.2006 р.
44;«Русанівські дерева»;пам’ятка природи;ботанічна;0,03;Л.-Долинський р-н:  Русанівська с/р, с. Русанівка;Русанівська загальноосвітня школаІ-ІІІ ступенів;Рішення облради від 01.12.2006 р.
45;«Петрівські дуби»;пам’ятка природи;ботанічна;1;"Лебединський р-н:  Михайлівська с/р; біля с. Михайловка. ДП ""Лебединський лісгосп"": Лебединське л-во, кв. 83 (діл. 6)";ДП «Лебединське лісове господарство»;Рішення облради від 27.07.2007 р.
