№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;«Болото  «Ширковець»;пам`ятка природи;гідрологічна;12;Долинський район   Мізунське лісництво, кв.13, вид.18;ДП «Вигодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
; «Болото  «Лисак»;пам`ятка природи;гідрологічна;14,4;"Долинський район  Свічівське лісництво, кв. 12, вид.20; кв. 15, вид. 2, 3 ,6, 8, 10, 11";ДП «Вигодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
; «Болото  «Мшана»;пам`ятка природи;гідрологічна;6;Рожнятівський район,  Мшанське лісництво, кв.33, вид. 101,102;ДП «Осмолодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;Разом пам`яток природи гідрологічних;4;;32,9;;;
;«Старуня»;пам`ятка природи;геологічна;60;Богородчанський район,  село Старуня;Старунська сільська рада;Постанова РМ  УРСР від 21.03.1984 р. № 139
;Разом пам`яток природи геологічних;1;;60;;;
;Всього пам`яток природи загальнодержавного значення;13;;439,4;;;
;«Високогір-ний»;дендрологічний парк;;124;Надвірнянський район,  Бистрицьке лісництво, кв.62;ДП «Надвірнянський держлісгосп»;Постанова РМ УРСР від 22.07.1983 р. № 311
;«Діброва»;дендрологічний парк;;8;Богородчанський район,  Богородчанське   лісництво, кв.27;ДП «Солотвинський держлісгосп»;Постанова РМ УРСР від 22.07.1983 р. № 311
;«Дружба»;дендрологічний парк;;10;Тисменицький район,  с. Угринів  Івано-Франківська міська рада;Прикарпатський держуніверситет ім. В. Стефаника;Постанова РМ УРСР від 22.07.1983 р. № 311
;Всього дендрологічних парків загальнодержавного значення;3;;142;;;
;«Парк партизанської слави»;парк-пам’ятка садово-паркового мистецтва;;7;Надвірнянський район,  Зарічанське лісництво, кв.24;ДП «Делятинський держлісгосп»;Постанова Держкомітету УРСР з охорони природи від 17.08.1983 р. № 37
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення ;1;;7;;;
;Всього територій та об`єктів ПЗФ загальнодержавного  значення   ;33;;131696,1;;;
Території та об`єкти місцевого значення;;;;;;;
;Дністровський;регіональний ландшафтний парк;;19656;Городенківський  район,  Тлумацький  район  вздовж ріки Дністер;Городенківська, Тлумацька районні ради;Рішення сесії обласної ради від 15.07.93 р.
;«Гуцульщина»;регіональний ландшафтний парк;;17729;Косівський район;Косівська районна рада, Кутський держлісгосп, Косівський МГЛ;Розпорядження облдержадміністрації від 23.06.97 р. № 443
;Поляницький;регіональний ландшафтний парк;;1032;Долинський район,  Поляницьке лісництво  вк.9,10,14-16,22-26;ДП «Болехівський держлісгосп»;Розпорядження облдержадміністрації від 15.07.96 р.  № 451
;Всього регіональних ландшафтних парків;3;;38417;;;
;«Чивчино-Гринявський»;заказник;ландшафтний;7243;Верховинський район, Чивчинське лісництво, кв. 11, 13-16, 24, 26-42  Буркутське лісництво, кв.14-19,23-25, 32-35    Паркалабське лісництво, кв.8,9,14,16-20  .  Полонини: «алузька», «Прелуки», «Ретундул», «Лустун», «Мале Пір’є», «Попадя»,»Гнітеса», «Чивчин», «Штевйора»  ;ДП «Верховинський держлісгосп», ДП «Гринявський держлісгосп», Верховинська районна рада;Розпорядження облдержадміністрації від 23.06.97 р. № 443
;«Ріка Свіча з притокою Мізунькою»;заказник;ландшафтний;5940;Долинський район;Долинська районна рада, сільські ради;Рішення обласної ради від 15.07.93 р.
;«Саджавський»;заказник;ландшафтний;328,6;Долинський район, межиріччя рр. Свічі та Саджави;Княжелуцька сільська рада;Рішення обласної ради від 15.07.93 р.
;«Цапове»;заказник;ландшафтний;6;Долинський район, Церківнянське лісництво, кв.8, вид 38;Болехівський держлісгосп;Розпорядження облдержадміністрації від 15.07.93 р. № 451
;«Яськів потік»;заказник;ландшафтний;20;Калуський район, Войнилівське лісництво, кв.1,вид.1,3,5,6,16,17;Калуський держлісгосп;Рішення обласної ради від 15.07.93 р.
;«Ріка Лімниця з водоохоронною смугою вздовж берегів шириною 100 м»;заказник;ландшафтний;2064;Калуський район  Рожнятівський  район;Калуська, Рожнятівська районні ради;Рішення облвиконкому від 15.01.79 р. № 13
;«Негрова»;заказник;ландшафтний;47;Надвірнянський район, Бистрицьке лісництво, кв. 1, вид 1;ДП «Надвірнянське лісове господарство»;Рішення обласної ради від 17.01.08 № 490-18/2008
;«Фарфанянка»;заказник;ландшафтний;58;"Надвірнянський район, Довбушанське лісництво,  кв. 20, вид. 4; кв. 21, вид. 10";ДП «Надвірнянське лісове господарство»;Рішення обласної ради від 17.01.08 № 490-18/2008
;«Бовкоти»;заказник;ландшафтний;2,2;Долинський район  с. Станківці;Долинський район  с. Станківці;Рішення обласної ради від 17.01.08 № 490-18/2008
;«Грегіт»;заказник;ландшафтний;310;Косівський район,  Космацьке лісництво,  кв.27,29  ;ДП «Кутське лісове господарство»;Розпорядження облдержадміністрації від 15.07.96 р. № 451
;«Кам’янистий хребет»;заказник;ландшафтний;30;"Косівський район,  Косівське лісництво,  кв.18, вид. 1,14,16,25,36; кв. 19, вид. 3,4,8,11,16,20  ";ДП «Кутське лісове господарство»;Розпорядженням облдержадміністрації від 15.07.96 р. № 451
;Разом заказників ландшафтних;11;;16048,8;;;
;«Урочище «Погорілець»;заказник;лісовий;220,5;"Богородчанський район, Гутянське лісництво, кв. 45, вид. 1-18; кв. 46, вид. 1-6, 11, 14, 17, 19-24; кв. 47, вид. 13, 15, 16; кв. 48, вид. 1, 2, 9";ДП «Солотвинський держлісгосп»;Рішення обласної ради від 12.03.04 р.   № 350-10/2004
;«Урочище «Комарники»;заказник;лісовий;175;"Богородчанський район, Манявське лісництво, кв. 9, вид. 41-44; кв. 10, вид. 25-29; кв. 11, вид. 26, 27, 29-31; кв. 12, вид. 11-15; кв. 13, вид. 19-30; кв. 14, вид. 13-20; кв. 15, вид. 17, кв. 19, вид. 13, кв. 20, вид. 1-8";ДП «Солотвинський держлісгосп»;Рішення обласної ради від 12.03.04 р.   № 350-10/2004
;«Урочище «Шиворіс»;заказник;лісовий;50;"Богородчанський район, Яблунське лісництво, кв. кв. 36, вид. 16,17; кв. 37, вид. 11,13; кв. 38, вид. 12-15; кв. 39, вид. 12-18";ДП «Солотвинський держлісгосп»;Рішення обласної ради від 12.03.04 р.   № 350-10/2004
