№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об’єкти ПЗФ місцевого значення;;;;;;;
1;Чернівецький;регіональний ландшафтний парк;;21487,5;Сторожинецький район: (5775 га)   ДП «Сторожинецький лісгосп»: Сторожинецьке лісництво кв.1-35- 3026,0 гаСторожинецький держспецлісгосп АПК:Сторожинецьке лісництвокв.1-18,кв.19 вид.1-12,20,кв.28 вид.1, 4, 12, 14, 32-46 – 1608,0 гаДП «Чернівецький лісгосп»:Кучурівське л-во кв. 1-17- 1141,0 га.Глибоцький район:(3539га)ДП «Чернівецький лісгосп»:Кузьминське лісництвокв. 1-42, 44-54 крім кв.35 л.д.1 і кв.48 л.д.3- 2599,0га.Кучурівське л-во кв. 18-36- 940,0 га.Кіцманський район: (3487га)ДП «Чернівецький лісгосп»:Ревнянське лісництво кв.1-20,26,27- 2123,0гаДП «Кіцманський ліс АПК»Кіцманське лісництвокв.9-11 – 222,0 гаДрачинецьке лісництво кв.12-24 – 1142,0 гаЗаставнівський район: (5989га)ДП «Чернівецький лісгосп»:Чорнівське лісництво кв. 1-89,90 -   4917,0 га                                                      Садгірське лісництвокв.1-20.- 1072,0 гаНовоселицький район:         (242га)Садгірське лісництвокв.61-64.- 242,0 гаЧернівецька міська рада:(2505 га)  2455,5Ревнянське лісництво  кв.21-25- 430,0га(Чорнівське лісництво кв. 90 -   149,0 га)Садгірське лісництвокв.21-60.- 1926,0 га                               ;ДП «Сторожинець-кий лісгосп»,Сторожинецький держспецлісгосп АПК,ДП «Чернівецький лісгосп»,ДП «Кіцманський ліс АПК»;"Розпоряд-ження облдержадміністрації від 08.02.96 № 87-р; рішення 20-ї сесії обласної ради ІV скликання від 28.04.05.№ 66-20/05; рішення 14-ї сесії обласної ради ХХІV скликання від 10.06.04 № 65-14/04та рішення 7-ї сесії обласної ради V скликання від 16.10.06 № 105-7/06"
2; „Березовий гай”;регіональний ландшафтний парк;;14985,8;Путильський район:ДП «Путильський лісгосп»,Перкалабське  лісницт-во  пл. 4699,0 га,Усть-Путильське лісництво пл. 690,0 га,Путильське лісництво пл. 1305,0 га,Сергіївське лісництво пл. 1054,0 га,Плосківське лісництво пл. 2174,0 га,Селятинське лісництво пл. 1557,0 га,Шепітське лісництво пл. 2943,0 га,Черемоське лісництвопл. 2776,0 га, Яблуницьке лісництво пл. 1487,0 га..Карпатський  держспецлісгосп АПК:Ялівецьке лісництво,Шурдинське лісництво,Путильське лісництво,Карпатське лісництво,Конятинське лісництво, пл.. 3445, 3 га.;ДП «Путильський лісгосп», Карпатський держспецлісгосп АПК;"Розпоряд-ження облдержадміністрації від 04.03.97№ 124-р;рішення 15-ї сесії обласної ради ІV скликаннявід 12.08.04№ 103-15/04"
2;Всього регіональних ландшафтних парків;2;;36473,3;;;
1;Шебутинський яр;заказник;ландшафтний;794;Сокирянський район: ДП «Сокирянський лісгосп» Романківське лісництво кв. 10-17,19, 21-22, 26-28,66, 68;ДП «Сокирянський лісгосп»;Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94
2;Галицька стінка;заказник;ландшафтний;119,4;Сокирянський район: ДП «Сокирянський лісгосп» Ломачинське лісництво кв. 1 вид.1-7кв.2 вид.1-2 кв.3 вид.1-3кв. 4 вид.1-2, 4, 6-10 кв.5 вид.11-13 кв.6 вид.9-10 кв.8 вид.3-6;ДП «Сокирянський лісгосп»;Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94
3;Василівський яр;заказник;ландшафтний;497;Сокирянський район: ДП «Сокирянський лісгосп» Сокирянське лісництво кв. 6, 7, 14-19, 72;ДП «Сокирянський лісгосп»;Рішення 2-ї сесії обласної ради XXII скликання  від 16.12.94
4;Бабинська стінка;заказник;ландшафтний;1405;Кельменецький район:ДП «Сокирянський лісгосп»Кельменецьке лісництво кв. 1-28, 31, 55, 56;ДП «Сокирянський лісгосп»;Рішення облвиконкому  від 16.01.91 № 22, рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01. № 171-17/01 
5;Молодівський яр;заказник;ландшафтний;267,3;"Кельменецький,Сокирянський райони:  ДП «Сокирянський лісгосп»Іванівецьке лісництво кв.55-56 кв.8 вид.2, 3; кв.6";ДП «Сокирянський лісгосп»;Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94
6;Поливанів яр;заказник;ландшафтний;411;Кельменецький район:ДП «Сокирянський лісгосп» Іванівецьке лісництвокв.1-5, 58;ДП «Сокирянський лісгосп»;Рішення 2-ї сесії обласної ради XXII скликання  від 16.12.94
7;Гриняцька стінка -1;заказник;ландшафтний;25,1;Хотинський районс.ГринячкаХотинське держспецлісництво  АПКкв.6 вид.1-4;Хотинське держспецлісництво  АПК;Рішення 2-ї сесії обласної ради XXII скликання  від 16.12.94
