№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;
3. ;«Фрасино» ;заказник;ландшафтний;421;В-Михайловський р-н,  Стоянівська і Комарівська сільські ради, на відстані 20 км від смт. Великомихайлівка, Великомихайлівське лісництво, кв. 1-7, ур. «Фрасино» ;ДП «Великомихайлівське лісове господарство»;Рішення облвиконкому від 30.12.80 р. №795, від 02.10.84 р. № 493 ;;;;;
4. ;«Діброва болотного дуба»;заказник;ландшафтний;21,4;Біляївський р-н, Троїцька сільська рада, Біляївське лісництво, кв.9, д.35, 38, 38а, 38б, 38в ;ДП «Одеське лісове господарство»;Рішення облвиконкому від 28.03.73 р. №125, від 02.10.84 р. № 493 ;;;;;
5. ;«Шептереди» ;заказник;ландшафтний;1016;Фрунзівський р-н, Йосипівська сільська рада, Павлівське лісництво, кв. 23-42,                       ур. «Шептереди» ;ДП «Великомихайлівське  лісове господарство»;Рішення облвиконкому від 29.12.78 р.  №742, від 02.10.84 р. № 493, від 01.10.93 р. №496-ХХІ;;;;;
6. ;«Діброва Могилевська»;заказник;ландшафтний;45;Тарутинський р-н, Лісненська сільська рада, Бородинське лісництво, кв. З, ур. «Могилевське» ;ДП «Саратське лісове господарство»;Рішення облвиконкому від 18.05.72 р.             № 234, від 02. 10.84 р. № 493 ;;;;;
7. ; „Березовий гай”;заказник;ландшафтний;531;Ширяївський р-н,  Осинівська сільська рада, Ширяївське лісництво, кв. 13-20;ДП «Ширяївське лісове господарство» ;Рішення облвиконкому від 30.12.80 р. №795, від 02.10.84  р. № 493 ;;;;;
8. ;«Діброва Манзирська» ;заказник;ландшафтний;101;Тарутинський р-н, Лісненська сільська рада, Бородинське лісництво, кв. 4,        ур. «Манзирське»;ДП «Саратське лісове господарство»;Рішення облвиконкому від 18.05.72 р. №234, від 02.10.84 р. № 493 ;;;;;
9. ;«Лиманський» ;заказник;ландшафтний;65;Білгород-Дністровський р-н, Семенівська сільська рада, Старокозацьке лісництво, кв.7-8 ;ДП «Саратське лісове господарство»;Рішення облвиконкому від 30.12.82 р. №795, від 02.10.84 р.  № 493 ;;;;;
10. ;«Березівський» ;заказник;ландшафтний;1534;Кодимський р-н, Будейське лісництво,кв. 76-106, ур. «Березівка» ;ДП «Кодимськелісове господарство»;Рішення облвиконкому від 30.12.80 р. №795, від  02.10.84 р. № 493, рішення облради від 24.02.2010 р. № 1040-У;;;;;
11. ;«Бендзарський ліс» ;заказник;ландшафтний;30;Балтський р-н, Бендзарівська сільська рада, ур. «Бендзарський ліс»;ДП «Балтське лісове господарство»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
12. ;«Даничево» ;заказник;ландшафтний;354;Балтський р-н, Піщанська сільська рада, Піщанське лісництво, кв.47-51 ;ДП «Балтське лісове господарство»;Рішення облради від 01.10.93 р. № 496-ХХІ ;;;;;
13. ;«Новомиколаївський;заказник;ландшафтний;315;Комінтернівський р-н, Новомиколаївська сільська рада;ДП «Одеське лісове господарство»;Рішення облради від 01.10.93 № 496-ХХІ ;;;;;
14. ;«Каїрівський» ;заказник;ландшафтний;150;Комінтернівський р-н, Каїрівська сільська рада, Красносільське л-во;ДП «Одеське лісове господарство» ;Рішення облради від 01.10.93 № 496-ХХІ ;;;;;
15. ;«Тополине» ;заказник;ландшафтний;68;Болградський р-н, Болградське лісництво, кв.28 ;ДП «Ізмаїльське лісове господарство» ;Рішення облради від 09.02.01 р. № 263-ХШ ;;;;;
 16.;«Виноградівка» ;заказник;ландшафтний;297;Болградський р-н, Болградське лісництво, кв. 25-27 ;ДП «Ізмаїльське лісове господарство» ;Рішення облради від 09.02.01 р. № 263-ХШ ;;;;;
