№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;
6. ;Дендропарк «Перемоги»;парк – пам’ятка садово-паркового мистецтва;;47,7073;м. Одеса, пр-т Шевченка, 14 ;Комунальне підприємство «Міськзелентрест», Комунальне підприємство«Сервісний центр»;Рішення облвиконкому від 18.05.72 р.               № 234, від 02.10.84 р. № 493,                            від 20.03.2009  р.  № 800-V ;;;;;
7. ;Дендропарк «Студентський» ;парк – пам’ятка садово-паркового мистецтва;;7,6;м. Одеса, вул. Левітана, 46б ;Технікум нафто-газової промисловості ;Рішення облвиконкому від 03.12.84р. №682 ;;;;;
8. ;Парк санаторію ім. Чкалова  ;парк – пам’ятка садово-паркового мистецтва;;18;м. Одеса, Французький бульвар, 85 ;Санаторій ім. Чкалова ;Рішення облвиконкому від 18.05.72 р.               № 234,  ;;;;;
9. ;Парк інституту ім. В.П. Філатова ;парк – пам’ятка садово-паркового мистецтва;;6,0945;м. Одеса, Французький бульвар, 49/51;Інститут ім. В.П.Філатова;Рішення облради від 14. 11. 08 р. № 667-V ;;;;;
10.;Парк  «Аркадія» ;парк – пам’ятка садово-паркового мистецтва;;15;м. Одеса, Французький бульвар, 40 ;Санаторій «Аркадія»;Рішення облвиконкому від 18.05.72 р.               № 234, від 02.10.84 р. № 493 ;;;;;
11;Парк санаторію ім. Горького ;парк – пам’ятка садово-паркового мистецтва;;8,28;м. Одеса, вул. Фонтанська дорога,165;ДП «Клінічний санаторій                    ім. Горького»;Рішення облради від 20.03.2009 р. № 798-V;;;;;
12. ;Парк «Дністер» ;парк – пам’ятка садово-паркового мистецтва;;10;м. Біляївка, водопровідна станція ст. Дністер ;Біляївська міська рада ;Рішення облвиконкому від 28.03.73 р.               № 125, від 02.10.84 р. № 493 ;;;;;
13. ;Парк дитячого санаторію «Хаджібей» ;парк – пам’ятка садово-паркового мистецтва;;32,6;"Біляївський район, с. Холодна балка, дитячий санаторій ""Хаджибей"", к. 2 ";Дитячий санаторій «Хаджибей»;Рішення облвиконкому від 28.03.73 р.                 № 125, від 02.10.84 р. № 493, рішення облради від 20.03.2009 № 800-V;;;;;
14. ;Парк ім. Пушкіна  ;парк – пам’ятка садово-паркового мистецтва;;19,1;м. Болград, узбережжя озера Ялпуг ;Болградська міська рада, комунальний відділ ;Рішення облвиконкому від 18.05.72 р.                      № 234, від 02. 10. 84 р. № 493 ;;;;;
15. ;«Міський сад»  ;парк – пам’ятка садово-паркового мистецтва;;1,5;м. Ізмаїл, проспект Суворова ;Управління житлово-комуналь­ного господарства Ізмаїльської міської ради;Рішення облвиконкому від 18.05.72 р. №234, від 02. 10.84 р. № 493, рішення облради від 20.03.2009 № 802-V;;;;;
16. ;«Червоноармійський дендропарк» ;парк – пам’ятка садово-паркового мистецтва;;55;Болградський р-н,                        с. Червоноармійське ;Червоноармійська сільська рада ;Рішення облвиконкому від 29.12.79 р.               № 764, від 02.10.84  р. № 493 ;;;;;
17. ;«Валекруч-Негай» ;парк – пам’ятка садово-паркового мистецтва;;936;м. Котовськ, Котовське лісництво, кв.37-53, ур. «Велекруч-Негай»;ДП «Котовське лісове господарство»;Рішення облвиконкому від 30.12.80 р.               № 234, від 02.10.84 р. №493 ;;;;;
18. ;«Сергієвський»  ;парк – пам’ятка садово-паркового мистецтва;;18;Б- Дністровський р-н, с. Сергіївка, Сергіївська сельрада;Сергіївська сільська рада;Рішення облради від 01.10.93 р. №496-ХХІ ;;;;;
19.;«Коханівка» ;парк – пам’ятка садово-паркового мистецтва;;260;"Ананьївський р-н, біляс. Коханівка, Долинівське лісництво,кв. 10-16, ур. ""Коханівка"" ";ДП «Ананьївське лісове господарство»;Рішення облвиконкому від 28.03.73 р.              № 125, від 02.10.84  р. № 493 ;;;;;
20;«Ракуловський парк»;парк – пам’ятка садово-паркового мистецтва;;4,1;Балтський р-н, Шляхівська сільська рада, Піщанське лісництво, кв.62., д.14,               ур. «Ракулянський парк»;ДП «Балтське лісове господарство»;Рішення облвиконкому від 28.03.73р. №125, від 02.10.84 р. № 493;;;;;
21;«Мар'їн гай»;парк – пам’ятка садово-паркового мистецтва;;48;Миколаївський район, А-Іванівське лісництво, кв. 16,18 ;ДП «Березівське лісове господарство»;Рішення облвиконкому від 08.05.72 р.                 № 234, від 02. 10.84 р. № 493 ;;;;;
22;«Гетьманівський дендропарк»;парк – пам’ятка садово-паркового мистецтва;;2,4;Савранський р-н, Савранська сільська рада, с. Гетьманівка;Савранська селищна рада ;Рішення облвиконкому від 18.05.72 р.                     № 234, від 02. 10.84 р. №493 ;;;;;
23;«Юннатський»;парк – пам’ятка садово-паркового мистецтва;;1,2;м. Одеса, вул. Тіниста, 2, Обласний гуманітарний центр позашкільної освіти та виховання ;Одеський обласний гуманітарний центр позашкільної освіти та виховання ;Розпорядження облради від 02.06.97 р. № 18/Р-97 ;;;;;
 ;Всього парків-пам`яток садово-паркового мистецтва місцевого значення;23;;1606,9668; ;; ;;;;;
1. ;«Чабанка»;заповідне урочище;;1662;Кодимський р-н, Будейське лісництво, кв.1-36 ;ДП «Кодимське лісове господарство»;Рішення облвиконкому від 30.12.80 р. №795, від 02.10.84 р. № 493, внесені зміни до площі рішенням облради від 24.02.2010 р. № 1041-У. ;;;;;
2. ;«Байтали»;заповідне урочище;;1753;Ананьївський р-н, біля с. Жеребково Жеребківське лісництво, кв. 7-31, ур. «Байтали»;ДП «Ананьївське лісове господарство»;Рішення облвиконкому від 30.12.80 р.      № 795, від 02.10.84 р. № 493 ;;;;;
3. ;«Кішево» ;заповідне урочище;;2844;Балтський р-н, Гербінська сільська рада, Піщанське лісництво, кв. 1-46, ур. «Кішево» ;ДП «Балтське лісове господарство»; Рішення облвиконкому від 30.12.80 р.                 № 795, від 02.10.84 р. № 493 ;;;;;
4. ;«Дністровські плавні» ;заповідне урочище;;7620;Біляївський, Б- Дністровський р-ни, Біляївське лісництво, кв. 20, 23-24,26-31, ;ДП «Одеське лісове господарство»;Рішення облради від 01.10.93 р. №496-ХІІ;;;;;
;Всього заповідних урочищ;4;;13879;;;;;;;;
;Всього  територій та об`єктів ПЗФ місцевого значення        ;107;;47257,5;;;;;;;;
;Всього територій та об`єктів ПЗФ                                                       ;123;;159976,17;;;;;;;;
