№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Курган;пам’ятка природи;комплексна;0,1;Березанський р-н;землі державної власності (запас);№448 від 23.10.84
2;Громоклійська круча;пам’ятка природи;комплексна;58;Баштанський р-н;землі державної власності (запас), ;№13 від 30.12.10
;Разом пам`яток природи комплексних;2;;58,1;;;
1;Ленінське;пам’ятка природи;ботанічна;11;Казанківський р-н;ДП “Володимирівське лісове господарство”;№448 від 23.10.84
2;Луканівка;пам’ятка природи;ботанічна;11;Кривоозерський р-н;ДП „Врадіївське лісове господарство”;№448 від 23.10.84
3;Дуб черешчатий;пам’ятка природи;ботанічна;0,01;м. Миколаїв, вул. Адм. Макарова, 1;;№448 від 23.10.84
4;Дуб черешчатий по вул. Адміральська, 22;пам’ятка природи;ботанічна;0,01;м. Миколаїв вул. Адміральська, 22;;№ 7 від 23.04.09
5;Дуб;пам’ятка природи;ботанічна;0,01;м. Миколаїв, вул. Адм. Макарова, 14;;№448 від 23.10.84
6;Дуб;пам’ятка природи;ботанічна;0,01;м. Миколаїв, вул.В.Морська, 38;;№448 від 23.10.84
7;Ювілейне;пам’ятка природи;ботанічна;11;Казанківський р-н;ДП “Володимирівське лісове господарство”;№448 від 23.10.84
8;Волошка білоперлинна;пам’ятка природи;ботанічна;0,3;м. Миколаїв, жилмасив “Ліски”;;№ 283 від 05.12.89 
9;Сквер “Пам’ять”;пам’ятка природи;ботанічна;0,5;м. Миколаїв, Будинок Природи;;№ 281 від 11.12.90 
10;Себінська;пам’ятка природи;ботанічна;11;Новоодеський р-н, с.Себіно;;№ 11 від 12.03.93
11;Зеленгорова балка;пам’ятка природи;ботанічна;5;Єланецький р-н;землі державної власності (запас);№ 7 від 13.05.93
12;Балка Широка;пам’ятка природи;ботанічна;5;Єланецький р-н;ДП „Єланецьке лісове господарство”;№ 7 від 13.05.93
13;Камениста балка;пам’ятка природи;ботанічна;5;Єланецький р-н;;№ 7 від 13.05.93
14;Балка;пам’ятка природи;ботанічна;5;Березнегуватський р-н;;№ 20 від 18.03.94
15;Пришиб;пам’ятка природи;ботанічна;5;Березнігуватський р-н;;№ 20 від 18.03.94
16;Мокра Балка;пам’ятка природи;ботанічна;30;Казанківський р-н;землі державної власності (запас);№ 24 від 02.02.95
17;Каширове;пам’ятка природи;ботанічна;5;Казанківський р-н;землі державної власності (запас);№ 7 від 28.04.95
18;Балка Пенківська;пам’ятка природи;ботанічна;35;Казанківський р-н;землі державної власності (запас);№ 7 від 28.04.95
19;Рубанівський ставок;пам’ятка природи;ботанічна;15;Казанківський р-н;землі державної власності (запас);№ 7 від 28.04.95
20;Гирло р. Бакшала;пам’ятка природи;ботанічна;5;Доманівський р-н;;№ 20 від 18.03.94
21;Старогаліцинівська;пам’ятка природи;ботанічна;8;Жовтневий р-н;землі державної власності (запас);№ 11 від 12.03.93
;Разом пам`яток природи ботанічних;21;;167,84;;; 
1;Джерело;пам’ятка природи;гідрологічна;0,01;смт. Березнегувате;;№448 від 23.10.84
2;Джерело;пам’ятка природи;гідрологічна;0,01;Вознесенський р-н, с.Александрівка;Алексанрівська селищна рада;№448 від 23.10.84
3;Джерело;пам’ятка природи;гідрологічна;0,01;Вознесенський р-н, с.Ракове;Новогригорівська сільська рада;№448 від 23.10.84
4;Джерело;пам’ятка природи;гідрологічна;0,01;Новоодеський р-н, с.Новопетрівка;;№448 від 23.10.84
5;Джерело;пам’ятка природи;гідрологічна;0,01;м.Вознесенськ;Вознесенське ЖКГ;№ 391 від 21.07.72
6;Джерело;пам’ятка природи;гідрологічна;0,5;Березанський р-н, с.Рибаковка;;№ 281 від 11.12.90
7;Джерело;пам’ятка природи;гідрологічна;0,5;Вознесенський р-н;Прибужанська сільська рада;№ 281 від 11.12.90 
8;Джерело;пам’ятка природи;гідрологічна;0,5;Первомайський р-н, с.Чаусово;Чаусівська сільська рада;№ 281 від 11.12.90
9;Джерело;пам’ятка природи;гідрологічна;0,5;Новоодеський р-н, с.Зайве;;№ 281 від 11.12.90
10;Джерело;пам’ятка природи;гідрологічна;0,01;Новоодеський р-н, с.Кандибіне;Кандибінська сільська рада;№448 від 23.10.84
11;Джерело мінеральної води;пам’ятка природи;гідрологічна;0,01;Снігурівський р-н, м.Снігурівка;;№448 від 23.10.84
12;Турецький фонтан;пам’ятка природи;гідрологічна;0,01;м. Миколаїв, яхт-клуб;;№448 від 23.10.84
13;Зоряний;пам’ятка природи;гідрологічна;25;Веселинівський р-н;;№ 16 від 12.03.93
;Разом пам`яток природи гідрологічних;13;;27,08;;;
1;Виступи граніту біля с.Кам’яно-Костувате;пам’ятка природи;геологічна;5;Братський р-н;землі державної власності (запас);№448 від 23.10.84
2;Магматити;пам’ятка природи;геологічна;5;Єланецький р-н;;№ 448 від 23.10.84 
3;Виступи граніту біля с.Ясногородка;пам’ятка природи;геологічна;5;Єланецький  р-н;землі державної власності (запас);№ 448 від 23.10.84
4;Турецький стіл;пам’ятка природи;геологічна;0,01;Первомайський р-н, с.Мигія;ДП “Врадіївське лісове господарство”;№448 від 23.10.84
5;Протичанська скеля;пам’ятка природи;геологічна;0,03;Первомайський р-н, с.Мигія;ДП “Врадіївське лісове господарство”;№ 448 від 23.10.84
6;Виступи гранітів біля с.Таборівка;пам’ятка природи;геологічна;5;Вознесенський р-н;землі державної власності (запас);№448 від 23.10.84 (5 га)
7;Крива пустош;пам’ятка природи;геологічна;12,9;Братський р-н;землі державної власності (запас);
;Разом пам`яток природи геологічних;7;;32,94;;;
;Всього пам’яток природи місцевого значення;43;;285,96;;;
1;Парк;парк-памятка садово-паркового мистецтва;;32;Братський р-н ;ДП «Вознесенське лісове господарство»;№448 від 23.10.84
2;Парк ім. Островського;парк-памятка садово-паркового мистецтва;;5;м. Вознесенськ;Вознесенська міська рада;№448 від 23.10.84
3;Парк ім. Шевченка ;парк-памятка садово-паркового мистецтва;;0,5;м. Вознесенськ;;№448 від 23.10.84
4;Парк ім.1-го Травня;парк-памятка садово-паркового мистецтва;;3;м. Вознесенськ;Вознесенська міська рада;№448 від 23.10.84
5;Парк Вознесенської школи;парк-памятка садово-паркового мистецтва;;1;Вознесенський р-н;Відділ освіти Вознесенської райдержадміністрації;№448 від 23.10.84
6;Старий парк;парк-памятка садово-паркового мистецтва;;4;Жовтневий р-н, с.Мішково-Погорілове;;№448 від 23.10.84
7;Володимирівський парк;парк-памятка садово-паркового мистецтва;;7;Казанківський р-н, Володимирівське лісництво;ДП „Володимирівське лісове господарство”;№448 від 23.10.84
8;Парк ім. Леніна;парк-памятка садово-паркового мистецтва;;6;Миколаївський р-н, с.Тернувате;Обласна спілка мисливців та  рибалок;№448 від 23.10.84
9;Парк Перемоги;парк-памятка садово-паркового мистецтва;;42;м. Миколаїв,  мкр. Соляні;ТОВ «Цунамі Юг»;№448 від 23.10.84
10;Флотський бульвар;парк-памятка садово-паркового мистецтва;;3,7;м. Миколаїв;;№448 від 23.10.84 
11;Парк ім. Петровського;парк-памятка садово-паркового мистецтва;;10;м. Миколаїв;ТОВ «Інтер фірма»;№448 від 23.10.84
12;Парк “Ліски”;парк-памятка садово-паркового мистецтва;;34,5;м. Миколаїв, мкр. Ліски;КП «Миколаївські парки»;№448 від 23.10.84 
13;Сиваський сквер;парк-памятка садово-паркового мистецтва;;1;м. Миколаїв, вул. Пушкінська;;№448 від 23.10.84
14;Піонерський;парк-памятка садово-паркового мистецтва;;4,7;м. Миколаїв, вул. адм. Макарова;;№448 від 23.10.84
15;Парк ім.68 моряків-десантників;парк-памятка садово-паркового мистецтва;;1,4;м. Миколаїв, площа ім. В.І.Леніна;;№448 від 23.10.84
16;Парк ім. Ленінського комсомолу;парк-памятка садово-паркового мистецтва;;19,6;м. Миколаїв, вул. Космонавтів;ТОВ «Бізнес Реал»;№448 від 23.10.84
17;Комсомольський парк;парк-памятка садово-паркового мистецтва;;4,9;м. Первомайськ;;№ 448 від 23.10.84 
18;Парк ім. Петровського ;парк-памятка садово-паркового мистецтва;;6;м. Первомайськ;;№448 від 23.10.84
;Всього парків-пам`яток садово-паркового мистецтва місцевого  значення;18;;186,3;;;
1;Мар’ївське;заповідне урочище;;388;Баштанський р-н;ДП “Баштанське лісове господарство”;№ 448 від 23.10.84
2;Хомутець;заповідне урочище;;68;Братський р-н;ДП «Єланецьке лісове господарство»;№ 448 від 23.10.84
3;Лісове;заповідне урочище;;48;Братський р-н;ДП «Єланецьке лісове господарство»;№448 від 23.10.84
4;Мар’їна роща;заповідне урочище;;60;Вознесенський р-н;ДП “Вознесенське лісове господарство”;№448 від 23.10.84
5;Василева пасіка;заповідне урочище;;252;Вознесенський р-н;ДП “Вознесенське лісове господарство”;№448 від 23.10.84
6;Молдова;заповідне урочище;;103;Доманівський р-н;ДП “Веселинівське лісове господарство”;№448 від 23.10.84
7;Лабіринт;заповідне урочище;;247;Вознесенський р-н;ДП “Вознесенське лісове господарство”;№448 від 23.10.84
8;Курячі лози;заповідне урочище;;302;Кривоозерський р-н;ДП «Врадіївське лісове господарство»;№448 від 23.10.84
9;Чабанка;заповідне урочище;;457;Новобузький;ДП «Баштанське лісове господарство»;№ 448 від 23.10.84
10;Лівобережжя;заповідне урочище;;226;Первомайський р-н;ДП “Врадіївське лісове господарство”;№448 від 23.10.84
11;Дубки;заповідне урочище;;106;м. Миколаїв, Старий Водопій;;№448 від 23.10.84
12;Андріївське ;заповідне урочище;;1294;Миколаївський р-н;ДП «Миколаївське лісове господарство»;№448 від 23.10.84 
13;Літній хутір Скаржинського;заповідне урочище;;105,7;Первомайський р-н;ДП “Врадіївське лісове господарство”;№ 24 від 02.02.95 
;Всього заповідних урочищ;13;;3656,7;;;
;Всього територій та об`єктів ПЗФ місцевого значення;133;;54132,08;;; 
;Всього територій та об’єктів ПЗФ;140;;101749,54;;;
