№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
13.;Каморетський;заказник;загально-зоологічних ;515;Менський район,                                кв. 94-102 Березнянського лісництва ;"ДП ""Чернігівське лісове господарство""";Постанова Ради Міністрів УРСР № 500 від 28.10.1974 року
;Разом заказників загальнозоологічних;1;;515;;;
;Всього заказників загальнодержавного значення;11;;9326;;;
14.;"Урочище ""Гуліне""";пам`ятка природи;комплексна;100;Корюківський район,                          кв. 1-6 Перелюбського лісництва ;"ДП ""Холминське лісове господарство""";Постанова Ради Міністрів УРСР № 780-р від 14.10.1975 року
;Разом пам`яток природи комплекних ;1;;100;;;
15.;Вадень;пам'ятка природи;гідрологічна;20;Новгород-Сіверський район,           с.с. Кудлаївка, Дігтярівка;Кудлаївська сільська рада Новгород-Сіверського району;Указ Президента України № 715/96 від 20.08.1996 року
16.;Гальський мох;пам'ятка природи;гідрологічна;25;Щорський район,                                        кв. 78, 79 Новоборовицького лісництва ;"ДП ""Корюківське лісове господарство""";Постанова Ради Міністрів УРСР № 780-р від 14.10.1975 року
17.;Козероги;пам'ятка природи;гідрологічна;2;Чернігівський район,                           с. Козероги;Смолинська сільська рада Чернігівського району;Указ Президента України № 715/96 від 20.08.1996 року
18.;Мурав'ївська;пам'ятка природи;гідрологічна;40;Новгород-Сіверський район,                              с. Мурав'ї;Грем'ячська сільська рада Новгород-Сіверського району;Указ Президента України № 715/96 від 20.08.1996 року
19.;"Озеро ""Святе""";пам'ятка природи;гідрологічна;70;Козелецький район,                                             с. Короп'є;Короп'ївська сільська рада Козелецького району;Постанова Ради містрів УРСР № 165 від 30.03.1981 року
20.;"Озеро ""Трубин""";пам'ятка природи;гідрологічна;40;Борзнянський район,                                    с. Ядути;Ядутинська сільська рада Борзнянського району;Указ Президента України № 715/96 від 20.08.1996 року
;Разом пам`яток природи гідрологічних ;6;;197;;;
;Всього пам`яток природи загальнодержавного значення;7;;297;;;
21.;Тростянець;дендрологічний парк ;;204,7;Ічнянський район,                                             с. Тростянець;Національна Академія Наук України;Постанова Ради міністрів УРСР № 105 від 29.05.1960 року
;Всього дендрологічних парків загальнодержавного значення;1;;204,7;;;
22.;Менський;зоологічний парк ;;9;Менський район,                                           м. Мена;Управління культури і туризму Чернігівської облдержадміністрації;Постанова Ради міністрів УРСР № 311 від 22.07.1983 року
;Всього зоологічних парків загальнодержавного значення;1;;9;;;
23.;Сокиринський парк;парк-пам'ятка садово-паркового мистецтва ;;40;Срібнянський район,                                  с. Сокиринці;Сокиринське СПТУ-36;Постанова Ради міністрів УРСР № 105 від 29.05.1960 року
;Всього парків-пам'яток садово-паркового мистецтва загальнодержавного значення;1;;40;;;
;Всього територій та  об'єктів загальнодержавного значення;23;;51865,2;;;
Території та об'єкти природно-заповідного фонду місцевого значення;;;;;;;
24.;Міжрічинський;регіональний ландшафтний парк;;78753,95;міжріччя Дніпра та Десна на території Козелецького та Чернігівського районів;Питання не вирішено;Рішення Чернігівської облради від 20.06.2002 року,                                      Рішення Чернігівської облради від 27.11.2003 року,                                      Рішення Чернігівської облради від 28.12.2004 року,
25.;Ялівщина;регіональний ландшафтний парк;;168,7;лісопарк м.Чернігів;Питання не вирішено;Рішення Чернігівської облради від 28.03.2014 року,         
;Всього регіональних ландшафтних парків;2;;78922,65;;;
26; „Березовий гай” Нечай;заказник;ландшафтний;312;Бахмацький район,                              с. Гайворон;Гайворонська сільська рада Бахмацького району;рішення Чернігівської обласної ради від 14.05.1999 року
27;Кобижчанська дача - ІІ;заказник;ландшафтний;610;Бобровицький район,                            кв. 24-40 Кобижчанського лісництва ;"ДП ""Ніжинське лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
28;Черемошне;заказник;ландшафтний;177;Городнянський район,                        с. Хотівля, м. Городня;Городнянська райрада УТМР;рішення Чернігівської обласної ради від 21.03.1995 року
29;Волик;заказник;ландшафтний;425;Ічнянський район,                               кв. 64-74 Жадьківського лісництва ;"ДП ""Прилуцьке лісове господарство""";рішення Чернігівського облвиконкому від 23.09.1991 року № 215                           
30;Туркенівка;заказник;ландшафтний;550;Ічнянський район,                                        кв. 5-13 Іваницького лісництва у;"ДП ""Прилуцьке лісове господарство""";"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігвського облвиконкому  від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
31;"Урочище ""Кути""";заказник;ландшафтний;450; Ічнянський район,                            кв. 35-42, 44-46 Жадьківського лісництва ;"ДП ""Прилуцьке лісове господарство""";"рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
32;Сорокошицький лісовий масив;заказник;ландшафтний;931;"Козелецький район,                            кв. 33, 34, 36-39, 41-45, 47-49, 130, 131, 136 Сорокошицького лісництва ДП ""Остерське лісове господарство""";"Чернігівський військовий лісгосп,                                                          ДП ""Остерське лісове господарство""";"рішення Чернігівського облвиконому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159"
33;Жорнівський бір;заказник;ландшафтний;232;Коропський район,                            кв. 14-17 Коропського лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 29.07.1975 року № 319; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівської обласної ради від 14.05.1999 року "
34;Жуків яр;заказник;ландшафтний;118;Коропський район,                                        кв. 54, 55 Понорницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
35;Зміївщина;заказник;ландшафтний;247;Коропський район,                                     кв. 67-71 Понорницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
36;Коропський;заказник;ландшафтний;114;Коропський район,                             кв. 87 Гутянського лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
37;Криничне;заказник;ландшафтний;36;Коропський район,                                 кв. 72 Понорницького лісництва ;"ДП ""Холминське лісове господарство""";"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігвського облвиконкому  від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159             "
38;Мезинська Швейцарія;заказник;ландшафтний;154;Коропський район,                                  с. Мезин, с. Свердловка ;"ТОВ ""Авангард"" с. Свердловка Коропського району";"рішення Чернігівського облвиконкому від 08.09.1958 року № 861; рішення Чернігівського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
39;Свердловський;заказник;ландшафтний;159;Коропський район,                                        кв. 73, 74 Понорницького лісництва;"ДП ""Холминське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
40;"Урочище ""Обийма""";заказник;ландшафтний;183;Коропський район,                                           кв.30-32 Коропського лісництва ;"ДП ""Борзнянське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
41;"Урочище ""Загати""";заказник;ландшафтний;146;Коропський район,                                кв. 21-23 Коропського лісництва Борзнянського району;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігівського облвиконкому від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівської обласної ради від 11.04.2000 року"
42;"Урочище ""Лутава""";заказник;ландшафтний;358;Коропський район,                                        кв. 1-6 Коропського лісництва ;"ДП ""Борзнянське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
43;"Урочище ""Чаща""";заказник;ландшафтний;159;Коропський район,                                        кв. 41-43 Коропського лісництва ;"ДП ""Борзнянське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
44;Слобідська дача;заказник;ландшафтний;100;Корюківський район,                                 кв. 90, 91 Перелюблюського лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівської обласної ради від 11.04.2000 року
45;Демінка;заказник;ландшафтний;1431;Куликівський район,                                   с. Авдіївка              ;Авдіївська сільська рада Куликівського району;рішення Чернігівської обласної ради від 21.03.1995 року
46;Задеснянський;заказник;ландшафтний;940;Куликівський район,                                      с. Салтикова Дівиця;"СВК ""Деснянський"" (с. Салтикова Дівиця), Салтиково-Дівицька сільська рада Куликівського району";рішення Чернігівської обласної ради від 21.03.1995 року
47;Ковчинський;заказник;ландшафтний;311;Куликівський район,                                       кв. 50-60 Дроздівського лісництва             ;"ДП ""Чернігівське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
48;Горицький;заказник;ландшафтний;796;Менський район,                                      кв. 103-106, 108-113, 115-120 Березнянського лісництва ;"ДП ""Чернігівське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
49;Макошинський;заказник;ландшафтний;1533;Менський, Сосницький, Куликівський, Борзнянський райони,                                                кв. 28, 42-47, 49-59 Сосницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
50;Чирвине;заказник;ландшафтний;4,3;Ніжинський район,                              м. Ніжин;"Агрофірма ""Ніжинська""                                    м. Ніжин";рішення Чернігівської обласної ради від 21.03.1995 року
51;Хомутівщина;заказник;ландшафтний;18,8;Семенівський район,                         кв. 21 вид. 6, 7, 11, 12 Машевського лісництва ;"ДП ""Семенівське лісове господарство""";"рішення Чернігівського облвиконкму від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159"
52;Рогізне;заказник;ландшафтний;14;Семенівський район,                  кв. 24 вид. 2 Блешнянського лісництва;"ДП ""Семенівське лісове господарство""";"рішення Чернігівського облвиконкму від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159"
53;Спаський;заказник;ландшафтний;543;Сосницький район,                                кв. 130-137 Сосницького лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівськогго облвиконкому від 31.07.1991 року № 159
54;Спаський - І;заказник;ландшафтний;214;Сосницький район,                                 кв. 29-31, 34 Гутянського лісництва ;"ДП ""Холминське лісове господарство""";рішення Чернігівськогго облвиконкому від 31.07.1991 року № 159
55;Золотинка;заказник;ландшафтний;527;Чернігівський район,                          кв. 76-86 Красилівського лісництва ;"ДП ""Чернігівське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
56;Коровель;заказник;ландшафтний;50;Чернігівський район,                             с. Шетовиця;"ДП ""Чернігівагролісгосп""";"рішення Чернігівського облвиконкому від 08.09.1958 року № 861; рішення Чернігівського облвиконкому від 10.06.1972 року № 303;  рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
57;Шестовицький;заказник;ландшафтний;542;"Чернігівський район,                               кв. 129-136 Чернігівського лісництва ДП ""Чернігівське лісове господарство""";"ДП ""Чернігівське лісове господарство""";рішення Чернігівського облвиконкому від 31.07.1991 року № 159
;Разом заказників ландшафтних;32;;12385,1;;;
58;Дубина;заказник;лісовий;423;Бахмацький район,                              кв. 42-49 Батуринського лісництва;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159"
59;Піски;заказник;лісовий;259;Бахмацький район,                                   кв. 7-10 Бахмацького лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.04.1964 року № 236; рішення Чернігвського облвиконкому  від 10.06.1972 року № 303; рішення Чернігівського облвиконкому від 04.12.1978 року № 529; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; ішення Чернігівського облвиконкому від 28.08.1989 року № 164; рішення Чернігівського облвиконкому від 31.07.1991 року № 159"
60;Бойковщина;заказник;лісовий;74;Ічнянський район,                                     кв. 18,19 Іваницького лісництва ;"ДП ""Прилуцьке лісове господарство""";рішення Чернігівського облвиконкому від 23.09.1991 року № 215                  
61;Городище;заказник;лісовий;129;Ічнянський район,                                  кв. 40-42 Іваницького лісництва ;"ДП ""Прилуцьке лісове господарство""";рішення Чернігівського облвиконкому від 23.09.1991 року № 215                  
