№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;«Парк ім. Горького»;парк-пам`ятка садово-паркового мистецтва;;31;м.Мелітополь, вул.Богдана Хмельницького;Дирекція парку;Постанова Ради Міністрів УРСР від 29.01.1960р. №105
;Всього  парків-пам'яток садово-паркового мистецтва;1;;31;;;
;Всього територій та об`єктів загальнодержавного значення;22;;134424,02;;;
Території та об`єкти місцевого значення;;;;;;;
1;«Панай»;регіональний ландшафтний парк;;1025;Василівський р-н;Дирекція НПП «Великий Луг»;Рішення Запорізької обласної ради від 27.11.1998р. №10
;Всього регіональних ландшафтних парків;1;;1025;;;повністю увійшов до складу НПП «Великий Луг»
1;«Золотий берег»;дендрологічний парк;;7,5;Якимівський р-н, Федотова коса, територія б/в «Золотий берег»;ТОВ «Селенга»;Організовано за рішенням №19 від 18.01.2006 року Запорізької обласної  ради
1;Всього дендрологічних парків;1;;7,5;;;
1;«Таврія»;;;290;Новомиколаївський район, в 2 км від с.Тернуватого;ЗАТ «ЗАЗ»;Розпорядження голови обласної державної адміністрації від 09.07.1997р. № 338
1;Всього зоологічних парків ;1;;290;;;
1.       ;«Цілинна ділянка»;заказник;ботанічний;0,5;Токмакський р-н, с.Заможне;Жовтнева сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
2.       ;«Балка Пушинська»;заказник;ботанічний;1;Запорізький р-н, с.Біленьке;Біленьківська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
3.       ;«Цілинна балка»;заказник;ботанічний;1;Токмакський р-н, біля с.Жовтневе;Жовтнева сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
4.       ;«Цілинна ділянка»;заказник;ботанічний;1;Чернігівський р-н, східна сторона с.м.т.Чернігівка;Чернігівська селищна рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
5.       ;«Троїцька балка»;заказник;ботанічний;1;Мелітопольський район, с.Терпіння, Старобердянське лісництво, кв.№ 83;ДП «Мелітопольске лісомисливське господарство»;Рішення Запорізького облвиконкому від 28.05.1980р. №253
6.       ;«Балка Вовча»;заказник;ботанічний;1,5;Запорізький р-н, с.Біленьке;Біленьківська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
7.       ;«Цілинна ділянка»;заказник;ботанічний;1,5;Запорізький р-н, околиця с.Смоляне, Крутоярівське лісництво, кв.28;Запорізьке обласне управління лісного та мисливського гоподарства;Рішення Запорізького облвиконкому від 28.05.1980р. №253
8.       ;«Балка «Голубовка» (охоронна зона 30 м);заказник;ботанічний;2;Новомиколаївський район, біля поля №8 сівообігу №1;Зеленівська сільська рада;Розпорядження Представника Президента від 2.10.1992р. №321
