№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
36;“Гутянський”;заказник;ботанічний;134;Гутянське лісництво, кв. кв. 47, 53, 57, 64, Богодухівський район;ДП “Гутянське лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
37;“Шарівський”;заказник;ботанічний;146;Шарівське лісництво, кв. кв. 17-19, Богодухівський район;ДП “Гутянське лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
38;“Борівський”;заказник;ботанічний;18;Борівське лісництво, кв. 85, 137, Борівський район;ДП “Куп’янське лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
39;“Артільнецький”;заказник;ботанічний;167,8;околиці с. Артільне, Великобурлуцький район;Рубленська сільська рада;Рішення облради від 24.09.2002
40;“Міловський”;заказник;ботанічний;38,7;околиці с. Мілове,Великобурлуцький район;ПСП “Восход”;Рішення облради від 24.09.2002
41;“Зелений гай”;заказник;ботанічний;20;с. Зелений гайВеликобурлуцький район;ДП ДГ «Червона хвиля»;Рішення обласної ради від 26.03.2009 №1165- V
42;“Крейдяний”;заказник;ботанічний;36,9;біля селища Дворічна, Дворічанський район;Дворічанська селищна рада;Рішення облвиконкому від 03.12.1984 № 562
43;“Червоний”;заказник;ботанічний;49,8;с. Нижнє Червоне,Дворічанський район;Дворічанська райдержадміністрація;Рішення облвиконкому від 03.12.1984 № 562
44;“Коробочкине”;заказник;ботанічний;29,1;біля селища Дворічне, Дворічанський район;Дворічанська селищна рада;Рішення облвиконкому від 03.12.1984 № 562
45;“Колодязнянський”;заказник;ботанічний;94,5;біля с. Колодязне,Дворічанський район;Колодязненська сільська рада;Рішення облради від 24.09.2002
46;“Коновалове”;заказник;ботанічний;25;Дворічанське лісництво, кв. 5,Дворічанський район;ДП “Куп’янське лісове господарство”;Рішення облвиконкому від 03.12.1984 №562
47;“Озерний”;заказник;ботанічний;44;Кам’янське лісництво, кв.кв.16 (вид.5-10,16,17,19,24,25), 17 (вид.5-10,13,18), Дворічанський район;ДП “Куп’янське лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
48;“Дворубчине”;заказник;ботанічний;68;Кам’янське лісництво, кв. 34 (вид.17,18,29-35), Дворічанський район;ДП “Куп’янське лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
49;“Конопляне”;заказник;ботанічний;315,9;с.с. Кам’янка, ТополіДворічанський район;Дворічанська райдержадміністрація;Рішення облради від 17.11.1998
50;“Личане”;заказник;ботанічний;36;с. Личане,Дергачівський район;Дергачівська райдержадміністрація;Розпорядження облдержадміністрації від 29.05.1996 № 581
51;“Слатінський”;заказник;ботанічний;18,9;с. Слатино,Дергачівський район;Дергачівська райдержадміністрація;Рішення облради від 20.03.2001
52;„Кудіївський”;заказник;ботанічний;16,4;с. КудіївкаДергачівський район;Токарівська сільська рада;Рішення обласної ради від 17.04.2008 №699-V
53;“Цикалове”;заказник;ботанічний;10;с. Скрипаї, Зміївський район;Скрипаївська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
54;“Озеро Борове”;заказник;ботанічний;35,39;Задонецьке лісництво,кв. 168 (вид. 7-17) Зміївський район;ДП “Зміївське лісове господарство”;Рішення облради від 23.12.2003, від 29.11.09 № 1422-V
55;“Бугаївський”;заказник;ботанічний;47;с. Бугаївка, Ізюмський район;Бугаївська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
56;“Караван”;заказник;ботанічний;308;Придонецьке лісництво, кв.кв. 594-599, Ізюмський район;ДП “Ізюмське лісове господарство”;Рішення облвиконкому від 28.01.1991 № 18
57;“Мурафський”;заказник;ботанічний;223;Володимирівське лісництво, кв.3, 9, 19, 20, Краснокутський район;ДП “Гутянське лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
58;“Гришкове”;заказник;ботанічний;30;с. Різуненкове,Коломацький район;СТОВ “Нива”;Рішення облради від 21.03.1995
59;“Ковиловий”;заказник;ботанічний;136,4;с.с. Власівське, Петрівське,Кегичівський район;Власівська сільська рада;Рішення облради від 17.12.1993
60;“Олександрівський”;заказник;ботанічний;170;с.с. Олександрівка, Андріївка,Кегичівський район;ПСП “Андріївське”;Рішення облради від 30.10.2001.
61;“Капранський”;заказник;ботанічний;74,9;с.КапранськеКраснокутський район;Краснокутська районна державна адміністрація;Рішення облради від 25.06.2009 №1274-V
62;“Куп’янський”;заказник;ботанічний;57;с. Затишня,Куп’янський район;ТОВ “Сільськогосподарське об’єднання “Ягідне”;Рішення облвиконкому від 03.12.1984 № 562
63;“Миколаївський”;заказник;ботанічний;17,6;с. Миколаївка Перша, Куп’янський район;ЗАТ Агрофірма “8 березня”;Рішення облради від 24.09.2002
64;“Цибівський”;заказник;ботанічний;68;с. Цибівка,Куп’янський район;ЗАТ Агрофірма “8 березня”;Рішення облради від 24.09.2002
65;“Мальцівський”;заказник;ботанічний;8,3;с. Мальцівка,Лозівський район;Мальдівська сільська рада;Рішення облради від 17.12.1993
66;“Балка Михайлівська”;заказник;ботанічний;42;с. Михайлівка,Лозівський район;Катеринівська сільська рада;Рішення облради від 21.03.1995
67;“Гора Городовище”;заказник;ботанічний;7;с. Смирнівка,Лозівський район;Смирнівська сільська рада;Рішення облради від 21.03.1995
68;“Верхньобишкин-ський”;заказник;ботанічний;138,8;с. Верхній Бишкин,Первомайський район;Первомайська районна державна адміністрація;Рішення облради від 17.11.1998
69;“Берецький”;заказник;ботанічний;74,7;с. Берека,Первомайський район;Первомайська районна державна адміністрація;Рішення облради від 17.11.1998
70;“Кицівський”;заказник;ботанічний;65;с. Кицівка, Печенізький район;Печенізька селищна рада;Рішення облради від 17.11.1998
71;“Родничок”;заказник;ботанічний;15,3;с.Чернолозка,Сахновщинський район;Сахновщинське каналізаційне дочірнє водопровідно-каналізаційне підприємство – 11,3 га, Сахновщанська селищна рада – 4,0га;Рішення облради від 30.10.2001
72;“Савичів яр”;заказник;ботанічний;31,5;смт. Буди,Харківський район;Будянська селищна рада;Рішення облради від 17.11.1998
73;“Дроб’янське”;заказник;ботанічний;12,6;Люботинське лісництво, кв. 6: вид. 2, 3, Харківський район;ДП “Жовтневе лісове господарство”;Рішення облвиконкому від 03.12.1984 № 562
74;“Рязанова балка”;заказник;ботанічний;10;с. Рогань,Харківський район;ДП НДГ “Докучаєвське” Харківського національного аграрного університету ім. В.В. Докучаєва;Рішення облвиконкому від 03.12.1984 № 562
75;“Альошкина балка”;заказник;ботанічний;6;с.Бобрівка, Харківський район;ДГ “Кутузівка” УкрНДІ тваринництва ААНУ;Рішення облвиконкому від 20.05.1991 № 144
76;“Ковиловий степ”;заказник;ботанічний;78;"с. Тернова, Чугуївський район;с. Зелений Колодязь, Харківський район";ДП НДГ “Докучаєвське” Харківського національного аграрного університету ім. В.В. Докучаєва – 21,6га СТОВ “Колос”  56,4га;Рішення облради від 20.05.1993
77;“Новомиколаївський”;заказник;ботанічний;47,7;"с. НовомиколаївкаШевченківський район;м. Куп’янськ";Новомиколаївська сільська рада-23,0га, Смородківська сільська рада – 24,7га;Рішення облради від 21.03.1995
78;“Аркадівський”;заказник;ботанічний;22,9;с. АркадівкаШевченківський район;ТОВ “Харківагро-2000”;Рішення облради від 08.02.2007 № 172-V
;Разом заказників ботанічних;51;;3169,99;;;
79;“Лиман”;заказник;загально-зоологічний;131,2;с. Морозівка,Балаклійський район;Морозівська сільська рада;Рішення облради від 17.12.1993
80;“Джерельне”;заказник;загально-зоологічний;21;с. Ульянівка,Богодухівський район;ВАТ “Ульянівське”;Рішення облради від 17.11.1998
81;“Російський Орчик”;заказник;загально-зоологічний;1006;Зачепилівське лісництво, кв.кв. 47-53, с. Заріччя, Зачепилівський район;"ДП “Красноградське лісове господарство”-413,0га; Малоорчицька сільська рада-593,0га";Рішення облвиконкому від 03.12.1984 № 562
82;“Оберіг”;заказник;загально-зоологічний;84,2;с. Чернеччина,Краснокутський район;"Краснокутська дослідна станція садівництва – 18,4га;СВК “Краснокутський” – 16,3га; Фермерські господарства: “Овен” – 3,0га, “Ромашка” – 5,0га, “Росинка”– ,0га, “Дунай”– 14,1га, “Марія” – 8,8га, “Мрія” – 12,6га";Рішення облради від 25.09.2001
83;“Лозівський”;заказник;загально-зоологічний;50;с. Кінне,Лозівський район;Лозівський кінний завод № 124;Рішення облради від 21.05.1993
;Разом заказників загально-зоологічних;5;;1292,4;;;
84;“Бойневе”;заказник;ентомологічний;17,3;с. Залиман,Балаклійський район;Залиманська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
85;“Рибчине”;заказник;ентомологічний;9,4;с. Чепіль,Балаклійський район;Чепільська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
86;“Красногірський”;заказник;ентомологічний;2,5;с. II Іванівка,Барвінківський район;Барвінківська районна державна адміністрація;Рішення облвиконкому від 03.12.1984 № 562
87;“Чабанне”;заказник;ентомологічний;5;с. Ново-ДмитрівкаБарвінківський район;Барвінківська районна державна адміністрація;Рішення облвиконкому від 03.12.1984 № 562
88;“Варварівський”;заказник;ентомологічний;3;с. ВарварівкаБлизнюківський район;Верхньосамарська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
89;“Добровільський”;заказник;ентомологічний;5;с. Новоукраїнка,Близнюківський район;Новоукраїнська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
90;“Острівщанський”;заказник;ентомологічний;5;смт. Близнюки,Близнюківський район;Острівщанська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
91;«Тернівський»;заказник;ентомологічний;62,8;с. КриштопівкаБлизнюківський район;Близнюківська районна державна адміністрація;Рішення облради від 16.06.2011 №184-VІ
92;“Шейчина балка”;заказник;ентомологічний;4;с. Сінне,Богодухівський район;Сіннянська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
93;“Степовий”;заказник;ентомологічний;5;с. Степне,Богодухівський район;Степнянська сільська рада;Рішення облвиконкому від 03.12.1984 №562
94;“Нижнє-Журавський”;заказник;ентомологічний;3;с. Нижня Журавка,Борівський район;Підлиманська сільська рада;Рішення облвиконкому від 03.12.1984 № 562
95;“Ново-Плато-нівський” ;заказник;ентомологічний;4;с. Нова Платонівка,Борівський район;Борівська селищна рада;Рішення облвиконкому від 03.12.1984 № 562
96;“Ханделіївський”;заказник;ентомологічний;5;с. Миколаївка,Валківський район;СТОВ “Сніжків”;Рішення облвиконкому від 03.12.1984 № 562
97;“Савранський”;заказник;ентомологічний;5;с. Благодатне,Валківський район;СВК “Дружба”;Рішення облвиконкому від 03.12.1984 № 562
98;“Каніцевський”;заказник;ентомологічний;5;с. Сидоренкове,Валківський район;СВК “Надія”;Рішення облвиконкому від 03.12.1984 № 562
99;“Вовчий яр”;заказник;ентомологічний;5;с. Шипувате,Великобурлуцький район;ТОВ СВФ “Шипувате”;Рішення облвиконкому від 03.12.1984 № 562
