№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Пирятинський;національний природний парк;;12028,42;Пирятинський р-н: в околицях міста Пирятин та сіл Грабарівка, Давидівка, Березова Рудка, Сасинівка, Гурбинці, Леляки, Усівка, Кейбалівка, Каплинці, Харківці, Дейманівка, Високе, Велика Круча, Повстин, Олександрівка  ;Міністерство екології та природних ресурсів  України         (НПП – 5555,14 га, Пирятинська РДА – 4196,7 га (Березоворудська с/р – 263,6 га, Великокручанська с/р – 369 га, Давидіввська с/р – 370 га, Дейманівська с/р – 340 га, Сасинівська с/р – 1854,1 га, Харківецька с/р – 100 га, Олександрівська с/р – 100 га, Пирятинська м/р – 800 га),  ВАТ “Каплинцівське” – 149 га, Березоворудський технікум ПДАА – 90,92 га, ДП “Пирятинський лісгосп” – 1625,0 га,  ДП “С/г підприємство “Березівське” – 411,66 га);Указ Президента України від 11.12.2009 № 1046/2009
2;Нижньосульський;національний природний парк;;10764,2;Оржицький р-н: околиці сіл Великоселецьке, Малоселецьке, Плехів, Онішки, Чутівка. Сулинська затока Кременчуцького водосховища, Глобинський р-н: в околицях с. Липове.  Семенівський р-н: в околицях сіл Горошине, Погребняки, Дем’янівка;Міністерство екології та природних ресурсів України (Глобинський р-н: Святилівська с/р – 1282,2 га, ДП “Золотоніське ЛГ” – 534 га.  Оржицький р-н: Селецька с/р – 1000 га, Чутівська с/р – 745 га, Онишківська с/р – 655 га, Плехівська с/р – 500 га. Семенівський р-н: Горошинська с/р – 1824,4 га, Погребняківська с/р – 2429,6 га, Наріжанська с/р – 600,0 га, Худоліївська с/р – 1000 га,  ДП “Лубенський лісгосп” – 194,0 га);Указ Президента України від 10.02.2010 № 155/2010
;Всього національних природних парків;2;;22792,62;;;
1;Сулинський;заказник;ландшафтний;23290;Сулинська затока Кременчуцького водосховища. Глобинський р-н, в околицях сіл Липове, Святилівка, Мозоліївка, кв. 1,2,5-9 Градизького л-ва Семенівський р-н, в околицях сіл Горошине, Погребняки, Дем’янівка, кв. 12,13 Семенівського л-ва;Глобинський р-н: Святилівська с/р – 9566,9 га  (в т.ч. 9498,8 га – акваторія затоки), Бугаївська с/р – 8987,2 га (в т.ч. 8823,2 га – акваторія затоки),  ДП ”Кременчуцький лісгосп” – 657 га  Семенівський р-н: Погребняківська с/р – 2060,5 га (в т.ч.  1963 га – акваторія затоки), Горошинська с/р – 1836,4 га (в т.ч. 1592,0 га – акваторія затоки),  ДП “Лубенський лісгосп” – 182 га;Указ Президента України від 09.12.98 № 1341/98
2;Лучківський;заказник;ландшафтний;1620;Кобеляцький р-н, с. Лучки, Кишеньківське л-во, кв. 6-14;ДП “Кременчуцький лісгосп”  – 614 га, Лучківська с/р – 1006 га;Указ Президента України від 20.08.96 № 715/96
3;Білецьківські плавні;заказник;ландшафтний;2980;Кременчуцький р-н, о. Зелений, Диньки, Фантазія, Градизьке л-во, кв. 33-43, Краківське л-во, кв. 1-8. Плавні біля   с. Білецьківка;Білецьківська с/р – 1910 га, Кременчуцька м/р – 75 га,  ДП ”Кременчуцький лісгосп” – 995 га;Указ Президента України від 10.12.94 № 750/94
4;Нижньопсільський;заказник;ландшафтний;504;Кременчуцький р-н, по р. Псьол від  с. Гуньки до с. Крамаренки, Комсомольське л-во, кв. 3-12;ДП “Кременчуцький лісгосп”;Указ Президента України від 10.12.94 № 750/94
5;Червонобережжя;заказник;ландшафтний;805;Лубенський р-н – 148 га, Чорнухинський р-н – 657 га, с. Гінці, Калайденцівське  л-во, кв. 1-21;ДП “Лубенський лісгосп”;Постанова РМ УРСР № 123 від 02.06.90
6;Дейманівський;заказник;ландшафтний;622,7;Пирятинський р-н, заплава р. Удай між с.с. Дейманівка і Шкурати;Дейманівська с/р;Постанова РМ УРСР № 53 від 13.02.89
7;Вільхівщинський;заказник;ландшафтний;1030;Полтавський р-н, с. Вільхівщина, с. Василівка;"Черкасівська с/р  – 618,9 га; Куликівська с/р – 283,2 га; Василівська с/р – 127,9 га";Постанова РМ УРСР від 25.02.80 № 132
8;Короленкова дача;заказник;ландшафтний;79,1;Шишацький  р-н, с. Малий  Перевіз;Куйбишевська с/р – 60,2 га Полтавське державне лісогосподарське підприємство „Полтаваоблагроліс” – 18,9 га;Указ Президента України від 20.08.96 № 715/96
9;Христанівський;заказник;ландшафтний;1705,2;Лохвицький р-н, околиці сіл Христанівка та Бодаква, заплава р. Сула, Лохвицьке л-во, кв. 71 вид. 1-21;Полтавське державне лісогосподарське підприємство „Полтаваоблагроліс” – 392 га, ДП “Пирятинський лісгосп” – 80 га, Васильківська с/р – 413,6 га, Бодаквянська с/р – 819,6 га;Указ Президента України від 11.12.09 № 042/2009
;Разом заказників ландшафтних;9;;32636;;;
1;Малоперещепинський;заказник;ботанічний;640;Новосанжарський р-н, між селами Мала Перещепина та Маньківка;Малоперещепинська с/р;Постанова РМ УРСР № 132 від 25.02.80
;Разом заказників ботанічних;1;;640;;;
1;Руський Орчик;заказник;загально-зоологічний;785;Машівський р-н, с. Ряське, Карлівське л-во, кв. 70, 71, 73-80;Ряськівська с/р – 336,5 га, ДП “Новосанжарський лісгосп”– 448,5 га;Указ Президента України від 10.12.94 № 750/94
;Разом заказників загально-зоологічних;1;;785;;;
1;Святилівський;заказник;орнітологічний;139,2;Глобинський р-н, с. Святилівка, Градизьке л-во, кв. 3,4;ДП ”Кременчуцький лісгосп” – 107 га, Святилівська с/р – 32,2 га;Указ Президента України від 20.08.96  № 715/96
2;Михнівський;заказник;орнітологічний;450;Решетилівський  р-н, заплава р. Говтви  між селами  Михнівка і Фрунзівка;М’якенківська с/р – 270 га, Шевченківська с/р – 180 га;Постанова РМ УРСР  від 25.02.80 № 132
;Разом заказників орнітологічних;2;;589,2;;;
1;Середньосульський;заказник;гідрологічний;2243;Лохвицький р-н, заплава р. Сули поблизу с. Гиряві Ісківці, с. Лука,  с. Млини;Гирявоїсковецька с/р – 959,3 га, Лучанська с/р – 122,3 га, Свиридівська с/р – 392,4 га, Харківецька с/р – 400,8 га, Полтавське державне лісогосподарське підприємство „Полтавалблагроліс” – 368,2 га;Указ Президента України від 20.08.96 № 715/96
2;Великоселецький;заказник;гідрологічний;1000;Оржицький р-н, с. Великоселецьке, с. Малоселецьке;Великоселецька с/р;Постанова РМ УРСР № 132 від 25.02.80
3;Плехівський;заказник;гідрологічний;500;Оржицький р-н, с. Плехів;Плехівська с/р;Постанова РМ УРСР № 132 від 25.02.80
4;Куквинський;заказник;гідрологічний;300;Пирятинський р-н, поблизу с. Повстин, заплава р. Удай;Великокручанська с/р;Постанова РМ УРСР від 25.02.80 № 132
5;Солоне;заказник;гідрологічний;400;Семенівський  р-н, с. Наталенки;Погребняківська с/р;Постанова РМ УРСР від 16.12.82 № 617
6;Гракове;заказник;гідрологічний;500;Семенівський  р-н, с. Оболонь, с. Новоселиця;Оболонська с/р – 339 га, Товстівська с/р – 161 га;Постанова РМ УРСР від 12.12.83 № 495
7;Рогозів  куток;заказник;гідрологічний;1600;Семенівський  р-н, с. Худоліївка, с. Новий Калкаїв;Худоліївська с/р – 1000 га, Наріжанська с/р – 600 га;Указ Президента України від 20.08.96 № 715/96
;Разом заказників гідрологічних;7;;6543;;;
;Всього  заказників загальнодержавного значення ;20;;41193,2;;;
1;Парасоцький  ліс;пам`ятка природи;ботанічна;145;Диканський  р-н, Диканське л-во, кв. 63, 64, 69, 70, 75;ДП “Диканське досвідне лісомисливське господарство”;Розпорядження РМ УРСР № 1180 від 07.08.63
;Разом пам’яток природи ботанічних;1;;145;;;
;Всього пам`яток природи загальнодержавного значення;1;;145;;;
1;Хорольський ботанічний сад;ботанічний сад;;18;м. Хорол, вул. Кременчуцька, 5-а;Міністерство екології та природних ресурсів України;Указ Президента України від 11.12.09 № 1041/2009
;Всього ботанічних садів загальнодержавного значення;1;;18;;;
1;Устимівський;дендрологічний парк;;8,9;Глобинський  р-н, с. Устимівка;Устимівська дослідна станція  рослинництва;Постанова РМ УРСР № 311 від 22.07.83
;Всього дендрологічних парків загальнодержавного значення;1;;8,9;;;
1;Ковпаківський;парк-пам’ятка садово-паркового мистецтва;;196;Котелевський  р-н, західна околиця смт. Котельва, Котелевське л-во, кв. 40, 42, 47, 48, 53, 54 (у визначених виділах);ДП “Полтавський лісгосп”;Постанова Держкомприроди  УРСР  № 15 від 30.07.75
2;Хомутецький;парк-пам’ятка садово-паркового мистецтва;;77;Миргородський  р-н, с. Хомутець;Хомутецький  ветеринарно-зоотехнічний технікум;Постанова РМ УРСР № 311 від 22.07.83
3;Березоворудський;парк-пам’ятка садово-паркового мистецтва;;45;Пирятинський  р-н, с. Березова Рудка;Березоворудський державний аграрний технікум;Постанова РМ УРСР № 311 від 22.07.83
4;Полтавський міський;парк-пам’ятка садово-паркового мистецтва;;124,5;м. Полтава, с. Яківці;КП “Декоративні культури” Полтавської міської ради;Постанова Держкомприроди  УРСР  № 25 від 27.07.77
;Всього парків-пам`яток садово-паркового митецтва загальнодержавного значення;4;;442,5;;;
;Всього територій та об’єктів ПЗФ загальнодержавного значення;29;;64600,22;;;
Території та об’єкти природно-заповідного фонду  місцевого значення;;;;;;;
1;Диканський;регіональний ландшафтний парк;;11945;Між смт. Диканька та селами Олефірщина, Кардашівка, Михайлівка,  р. Ворскла, Диканське л-во, кв. 8, 11-16, 19, 20, 38-116, 118, 123, 126-130, 132-143, 161, 169;ДП “Диканське досвідне лісомисливське господарство” – 3344,0 га, СФГ “Фрегат” – 75,05 га, Водянобалківська с/р – 216,72 га,  Стасівська с/ р – 200,0 га, Великобудищанська с/р –  3268,59 га, Диканська сел/р – 1255,48 га, ПТУ № 23 ім. Героя Радянського Союзу Бірюзова С.С. – 429,2 га, ТОВ “Інтерагросервіс” – 192,0 га, ТОВ “Колос” – 247,0 га, ПАП “Диканське” - 1514,13 га, ТОВ “Дружба” – 766,23 га, СФГ “Вілар” - 21,4 га, СФГ “Лан” – 36,26 га, СФГ “Степ” – 44,4 га, СФГ “Лиман” – 44,86 га, Диканське ЛВУМГ – 19,0 га, СФГ “Смарагд” – 29,2 га, ДП “Полтавське лісове господарство” – 118,0 га, Служба автомобільних доріг у Полтавській області – 123,48 га;Рішення облради від 27.10.94
2;Нижньоворсклянський;регіональний ландшафтний парк;;23200;Долина р. Ворскла з острівною системою в Дніпродзержинському водосховищі (між селами Правобережна та Лівобережна Сокілки, Вільхуватка, Орлик, Радянське, Лучки, Світлогірське), ДП “Кременчуцький лісгосп”: Кишенське л-во кв. 6-18, 32-65, Новоорлицьке л-во, кв.1, 3-10, 12-16, 19-34, 44, 35 (вид. 15-21,23);ДП ”Кременчуцький лісгосп” – 4473 га, Лучківська с/р – 841,4 га, Світлогірська с/р – 315,7 га, Вільхуватська с/р – 417,5 га, Орлицька с/р – 215,2 га, ПНПУ – 5,2 га (навчальна база), Дніпродзержинське регіональне управління водних ресурсів -16932 га;Рішення облради від 24.12.02
3;Кременчуцькі плавні;регіональний ландшафтний парк;;5080;Долина р. Дніпро, в основному в межах заплави, біля міста Кременчука ДП “Кременчуцький лісгосп”: Градизьке л-во, кв. 33-43, Кременчуцьке л-во,  кв. 70-76, Крюківське л-во, кв. 1-11;ДП “Кременчуцький лісгосп” – 1768 га, Кременчуцька м/р – 602 га, Потоківська с/р – 800 га, Білецьківська с/р – 1910 га;Рішення облради від 12.07.01
4;Гадяцький;регіональний ландшафтний парк;;12803,3;Північна межа Парку проходить по лінії сіл Гречанівка – Максимівка – Сватки – Бірки – Великі Будища – Плішивець. Західна: по правих берегах річок Груні (Римарівка – Красна Лука – Хитці) та Псла (м. Гадяч – Малі Будища – Сари – Саранчина Долина – Рашівка – Лисівка – Перевіз – Мала Обухівка – Перевіз). Східна: по лівому березі р. Псел (Бобрик – Веприк – Вельбівка – Соснівка – Млини – Лютенька). Південною межею є заповідне урочище „Безвіднянське”;Бобрицька с/р – 366,0 га, Вельбівська с/р – 926,0 га, Гадяцька м/р – 120,0 га, Гречанівська с/р – 110,0 га, Книшівська с/р – 814,4 га, Краснолуцька с/р – 401,0 га, Лисівська с/р – 680,0 га, Лютенська с/р – 692,0 га, Плішивецька с/р – 379,0 га, Рашівська с/р – 863,2 га, Римарівська с/р – 272,0 га, Сарівська с/р – 1506,0 га, Сватківська с/р – 101,8 га, Соснівська с/р – 450,0 га, ДП „Гадяцьке лісове господарство” – 3766,0 га (у межах визначених і погоджених кварталів та виділів), Полтавське ДЛГП „Полтаваоблагроліс” – 1355,9 га (у межах визначених і погоджених кварталів та виділів);Рішення облради від 07.12.2011
5;Кагамлицький;регіональний ландшафтний парк;;28,15;м. Кременчук;Автозаводська рада м. Кременчука - 9,4044 га, Кременчуцька міська рада - 18,7456 га;Рішення Полтавської обласної ради від 28.02.2013
;Всього регіональних ландшафтних парків;5;;53056,45;;;
1;Байраківський;заказник;ландшафтний;770;Великобагачанський р-н. Лівий берег  р. Псел між селищем Велика Багачка та селами Затін і Байрак;Великобагачанська сел/р – 642,5 га, ТОВ “Багачанське” - 127,5 га;Рішення обласної ради від 28.08.09
2;Географічний центр Полтавщини;заказник;ландшафтний;1274,7;Великобагачанський  р-н, південніше автодороги Київ-Харків по р. Псел та між селами Красногорівка, Бірки, Стінки, Балаклія та Герусівка, Псільське л-во, кв. 9  вид. 11-22;Білоцерківська с/р – 192,3 га, Бірківська с/р – 377,4 га, Балакліївська с/р – 345,9 га, ВАТ “Балакліївське” – 285,5 га, ДП “Миргородське лісове господарство” – 31,7 га, ТОВ “Білагро” – 41,9 га;Рішення облради від 23.06.2010
3;Пісоцько-Конькове;заказник;ландшафтний;204,4;Гадяцький р-н, с. Соснівка;Сарівська с/р – 27,8 га, Харківецька с/р – 103,6 га, Лютенська с/р – 73 га;Рішення облради від 04.09.95
4;Весело-Мирське;заказник;ландшафтний;65,6;Гадяцький р-н, с. Гречанівка;Гречанівська с/р;Рішення облради від 30.01.98
5;Рашівський;заказник;ландшафтний;460,9;Гадяцький р-н, с. Рашівка;Рашівська с/р – 383,9 га, Сарівська с/р – 77,0 га;Рішення облради від 23.03.05
6;Гора  Пивиха;заказник;ландшафтний;165,2;Глобинський р-н. Південна околиця селища Градизьк, Градизьке л-во, кв. 14 (без вид. 6 та вилученої дороги – 0,7 га);ДП “Кременчуцький лісгосп” – 103,3 га, Градизька сел/р – 61,9 га;Рішення облради   від 27.10.94, рішення облради від 28.08.09
;;;;145;Кременчуцький р-н, с. Максимівка, Градизьке л-во, кв. 15, 16;ДП “Кременчуцький лісгосп”;Рішення облради від 27.10.94
7;Псільський;заказник;ландшафтний;553;Глобинський р-н, Радянське  л-во,   кв. 33, 34, 36-38, 40, 42, 44, 45, 47, 59;ДП “Кременчуцький лісгосп”;Рішення облради  від 27.10.94
;;;;362;Козельщинський р-н, між  селами Нижня Мануйлівка і Піски, Радянське л-во, кв. 35, 39, 41, 43, 46  вид.1-18,  кв. 48, 49;ДП “Кременчуцький лісгосп”;Рішення облради від 27.10.94
8;Заможненський;заказник;ландшафтний;158,2;Глобинський р-н, с. Заможне;Заможненська с/р;Рішення облради від 04.09.95
9;Мужева Долина;заказник;ландшафтний;82;Зіньківський р-н, с. Лагоди,  поруч а/д Дейкалівка-Новоселівка;Дейкалівська с/р;Рішення облради від 27.10.94
10;Слиньківщина;заказник;ландшафтний;54,6;Зіньківський р-н, с. Слиньківщина;Тарасівська с/р;Рішення облради від 27.10.94
11;Батьки;заказник;ландшафтний;347,9;Зіньківський р-н, с. Батьки;Батьківська с/р;Рішення облради від 04.09.95
12;Ступківський;заказник;ландшафтний;24,3;Зіньківський р-н, с. Ступки;Проценківська с/р;Рішення облради від 23.03.05
13;Олегова Балка;заказник;ландшафтний;52,7;Карлівський р-н, с. Халтурине;Халтуринська с/р;Рішення облради від 20.12.93
