№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
1;Ботанічний сад Дніпропетровськ-кого національного університету;ботанічний сад;;33;м. Дніпропетровськ, пр. Гагаріна, 72 ;Дніпропетровський ботанічний сад Дніпропетровського національного університету Міносвіти України;Постанова Держкомприроди УРСР 26.07.72 №22 /зміни Указ Президента України від 20.08.1996 №715/96 
2;Криворізький ботанічний сад НАН України;ботанічний сад;;75;м. Кривий Ріг,  Тернівський район ;Криворізький ботанічний сад  НАН України;Постанова Президії Академії наук України  20.05. 1992  №144
;Всього ботанічних садів загальнодержавного значення;2;;108;;;
1.;Парк ім.Шевченка;парк-пам`ятка садово-паркового мистецтва;;45;м. Дніпропетровськ пл.ім. Шевченка, 1;Управління культури та мистецтв Дніпропетровської міськради;Постанова  РМ УРСР 26.07.1972. №22
;Всього парки-пам`ятки загальнодержавного значення загальнодержавного значення;1;;45;;;
;Всього територій та об`єктів  ПЗФ загальнодержавного значення;30;;30347,7;;;
Території та об`єкти місцевого значення;;;;;;;
1;«Придніпровський»;регіональний ландшафтний парк;;4917,9;Солонянського району Микільське лісництво ;Дніпропетровський держлісгосп Солонянська райдержадміністрація;Рішення обласної ради від 25.09.2008  № 443-16/V
2;«Дніпровські ліси»;регіональний ландшафтний парк;;4437,465;смт. Кіровське, с. Балівка Дніпропетровського району, м. Дніпропетровськ Кіровське лісництво ;"Дніпропетровський держлісгосп; Дніпропетровська райдержадміністрація; Дніпропетровська міська рада";Рішення обласної ради від 22.09.2010 №783-27/V
3;«Самарські плавні»;регіональний ландшафтний парк;;2800,7;біля с. Орлівщина Новомосковського району;Новомосковська районна державна адміністрація;Рішення обласної ради від 03.02.2012 №247-11/VI
4;«Балка Кобильна»;регіональний ландшафтний парк;;1844;біля сел Чапаєвка, Григоріївка, Шестерня та Ганнівка Широківського району;Широківська районна державна адміністрація;Рішення Дніпропетровської обласної ради від 05.12.2014 №597-28/VI
;Всього регіональних ландшафтних парків ;4;;14000,065;;;
1;Балка Північна Червона;заказник;ландшафтний;26;Північно-західна околиця  м. Кривого Рогу;Управління містобудування і архітектури виконкому Криворізької міськради;Рішення облвиконкому  від 09.06.1988  №231
2;Балка Кирпична;заказник;ландшафтний;2,5;с. Новоолександрівка Дніпропетровського району;Дніпропетровське заводоуправління будматеріалів;Розпорядження облдержадміністрації 28.09.1992 №473
