№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
1;“Балка Новоолександрівська”;заказник;Ландшафтний;21,8;Долинський р-н, поблизу с.Новоолександрівка;Долинська районна державна адміністрація;Рішення Кіровоградської обласної ради від 17.11.2000р. № 198
2;“Булгаківська балка”;заказник;Ландшафтний;78;Бобринецький р-н, поблизу с.Піщане;Бобринецька районна державна адміністрація;Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.
3;“Велика і мала скелі”;заказник;Ландшафтний;15;Олександрійський р-н, поблизу с.Протопопівка;Олександрійська районна державна адміністрація;Рішенням Кіровоградської обласної ради №47 від 19.05.1995р.
4;“Витоки ріки Інгул”;заказник;Ландшафтний;1;Новомиргородський р-н,          поблизу с.Бровкове;Новомиргородське лісництво ДП “Оникіївський лісгосп”;Розпорядженням представника президента №55 від 01.07.1992р.
5;“Витоки р.Малої Висі”;заказник;Ландшафтний;2,5;Маловисківський р-н,  поблизу с.Лутівка;Маловисківська районна державна адміністрація ;Рішенням Кіровоградської обласної ради №116 від 28.01.2000р.
6;“Гурівський”;заказник;Ландшафтний;18,6;Долинський р-н, Гурівське мисливське лісництво кв.14, діл. 1,2,19,20. Кв.15, діл. 1-9;ДП “Долинське лісгосп”;Рішенням Кіровоградської обласної ради №92 від 29.07.1997р.
7;“Долинівсько-Покровський”;заказник;Ландшафтний;50;Компаніївський р-н, с.Долинівка, с.Покровка;Компаніївська районна державна адміністрація;Рішенням Кіровоградської обласної ради №47 від 19.05.1995р.
8;“Золота балка”;заказник;Ландшафтний;30,6;Долинський р-н, с.Зелений гай;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
9;“Інгульські крутосхили”;заказник;Ландшафтний;15;Устинівський р-н, поблизу с.Олександрівка;Устинівська районна державна адміністрація;Рішенням Кіровоградської обласної ради №64 від 25.03.1999р.
10;“Карпенків край”;заказник;Ландшафтний;250;Новомиргородський р-н, с.Арсенівка Маловисківський р-н с.Мар’янівка ;Новомиргородська районна державна адміністрація –                 85,8 га, Маловисківська районна державна адміністрація -        164,2 га;Рішенням Кіровоградської обласної ради №31 від 13.01.1995р. та №92 від 29.07.97р. (розширення)
11;“Кінські острови”;заказник;Ландшафтний;114;Світловодський Кременчуцьке водосховище;Світловодська районна державна адміністрація;Рішенням Кіровоградської обласної ради №31 від 13.01.1995р.
12;“Краснопільська балка”;заказник;Ландшафтний;50;Маловисківський р-н, поблизу с.Краснопілка;Маловисківська районна державна адміністрація;Рішенням Кіровоградської обласної ради №71 від 11.10.1996р.
13;“Лозуватський”;заказник;Ландшафтний;70;Онуфріївський р-н, поблизу с.Лозуватка;Онуфріївська районна державна адміністрація;Рішенням Кіровоградської обласної ради №234 від 20.04.2001 р.
14;“Майгорове”;заказник;Ландшафтний;35;Онуфріївський р-н, поблизу с.Павлиш;ДП “Онуфріївський лісгосп”;Рішенням Кіровоградської обласної ради №13 від 26.08.1994р.
15;“Недогарський”;заказник;Ландшафтний;50;Онуфріївський р-н, поблизу с.Василівка;Онуфріївська районна державна адміністрація;Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.
16;“Ново-Михайлівський”;заказник;Ландшафтний;25,3;Кіровоградський р-н, поблизу с.Ново-Михайлівка;ДП “Компаніївський лісгосп”;Рішенням Кіровоградської обласної ради №92 від 29.07.1997р.
17;“Острів Лисячий”;заказник;Ландшафтний;100;Світловодський р-н, Кременчуцьке водосховище;Світловодська районна державна адміністрація;Рішенням Кіровоградської обласної ради №81 від 06.09.2002р.
18;“Панські гори”;заказник;Ландшафтний;8,1;Новомиргородський р-н, поблизу м.Новомиргород;Новомиргородська районна державна адміністрація;Рішенням Кіровоградської обласної ради №31 від 13.01.1995р.
19;“Розумівська балка”;заказник;Ландшафтний;57,4;Олександрівський р-н, поблизу с.Бовтишка;ДП “Олександрівський лісгосп”;Рішенням Кіровоградської обласної ради №47 від 19.05.1995р.
20;“Суховершок”;заказник;Ландшафтний;40;Онуфріївський р-н, поблизу с.Камбурліївка;ДП “Онуфріївський лісгосп”;Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.
21;“Там, де Ятрань круто в’ється”;заказник;Ландшафтний;10;Голованівський р-н, поблизу с.Полонисте;Голованівська районна державна адміністрація;Рішенням Кіровоградської обласної ради №13 від 26.08.1994р.
22;“Урочище сад”;заказник;Ландшафтний;16,2;Долинський, с. Василівка;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
23;“Чагар”;заказник;Ландшафтний;71,5;Олександрівський р-н,  поблизу с. Нижчі Верещаки;Олександрівська районна державна адміністрація;Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.
24;“Левади”;заказник;Ландшафтний;77,1;Новгородківський район,с. поблизу Спасове;Новгородківська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 600 від 19.12.2008 року.
25;“Балка “Глибока”;заказник;Ландшафтний;26,4;Новгородківський район,с. поблизу Спасове;Новгородківська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 600 від 19.12.2008 року.
26;“Балка “Лебедина”;заказник;Ландшафтний;84,3;Новгородківський район,с. поблизу Спасове;Новгородківська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 600 від 19.12.2008 року.
27;“Зелений сосновий масив в районі ;заказник;Ландшафтний ;30;м. Кіровоград вул. Лісопаркова”;Кіровоградська міська рада КП “Трест зеленого господарства”;Рішенням Кіровоградської обласної ради № 721 від 19.06.2009 р.
28;“Березівське гирло”;заказник;Ландшафтний;17;Устинівський район,  поблизу с. Березівка;Устинівська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 722 від 19.06.2009 р.
29;“Скалки”;заказник;Ландшафтний;30;Ульяновський район,  поблизу с. Йосипівка;Ульяновська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 722 від 19.06.2009 р.
30;“Голоче”;заказник;Ландшафтний;3717;Голованівський район,  кв. 1-55 кв. 56 вид. 1-4 Голочанського лісництва;ДП “Голованівський лісгосп”;Рішенням Кіровоградської обласної ради № 764 від 25.09.2009 р.
31;“Зелена брама”;заказник;Ландшафтний;2948;Новоархангельський район, квартали 57-155 Торговицького лісництва;ДП “Оникіївський лісгосп”;Рішенням Кіровоградської обласної ради № 764 від 25.09.2009 р.
32;“Казавчинські скелі”;заказник;Ландшафтний;55;Гайворонський район                          с. Казавчин;Гайворонська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 851 від 22.01.2010 р.
33;“Тернова балка”;заказник;Ландшафтний;57;Бобринецький район с. Олексіївка;Бобринецька районна державна адміністрація;Рішенням Кіровоградської обласної ради № 851від 22.01.2010 р.
34;“Квіти на скелях”;заказник;Ландшафтний;5;Новоукраїнський район, ;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 897 від 26.10.2010 р.
35;“Громадське”;заказник;Ландшафтний;116;Новгородківський район;Новгородківська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
36;“Чайчина балка”;заказник;Ландшафтний;45,9;Новгородківський район;Новгородківська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
37;“Косюрівський”;заказник;Ландшафтний;18;Новоукраїнський район;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
38;“Малі Байраки”;заказник;Ландшафтний;28;Новоукраїнський район;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
39;“Калинова балка”;заказник;Ландшафтний;35;Новоукраїнський район;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
40;“Бандурівський”;заказник;Ландшафтний;200;Олександрійський район;Олександрійська  районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
41;“Гренівський”;заказник;Ландшафтний;208,53;Ульяновський район;Ульяновська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
42;“Кам’яногірський”;заказник;Ландшафтний;293,13;Ульяновський район;Ульяновська районна державна адміністрація;Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183
43;“Прозорова балка”;заказник;Ландшафтний;24,6;Новгородківський район біля с. Петрокорбівка;Новгородківська районна державна адміністрація;Рішенням Кіровоградської міської ради від 27.07.2012 р. № 337
44;“Діброва нащадків”;заказник;Ландшафтний;10;Новоукраїнський район;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської міської ради від 27.07.2012 р. № 337
45;“Кошарово-Олександрівський”;заказник;Ландшафтний;228,83;Ульяновський район;Ульяновська районна державна адміністрація;Рішенням Кіровоградської міської ради від 27.07.2012 р. № 337
46;"""Велика балка""";заказник;Ландшафтний;118,8;Бобринецький район;Бобринецька районна державна адміністрація;Рішення Кіровоградської обласної ради від 15.02.2013 №443
47;"""Садове""";заказник;Ландшафтний;72,2;Бобринецький район;Бобринецька районна державна адміністрація;Рішення Кіровоградської обласної ради від 15.02.2013 №443
48;"""Новомиколаївська долина""";заказник;Ландшафтний;47,5;Новгородівський район;Новгородківська районна державна адміністрація;Рішення Кіровоградської обласної ради від 15.02.2013 №443
49;"""Гардова""";заказник;Ландшафтний;195,21;Ульяновський район;Ульяновська районна державна адміністрація;Рішення Кіровоградської обласної ради від 15.02.2013 №443
;Разом заказників ландшафтних;49;;9818,5;;;
1;“Балка Бонче”;заказник;Лісовий;62;Новомиргородський, поблизу с.Оситняжка;Новомиргородське лісництво ДП “ Оникіївський лісгосп ”;Рішенням Кіровоградської обласної ради №56 від 21.02.1991р.
2;“Коробчино”;заказник;Лісовий;48,1;Новомиргородський, поблизу с.Коробчино;Новомиргородське лісництво ДП” Оникіївський лісгосп ”;Рішенням Кіровоградської обласної ради №56 від 21.02.1991р
3;“Ліс Охотовича”;заказник;Лісовий;60;Новомиргородський,  поблизу с.Каніж;Новомиргородське лісництво ДП” Оникіївський лісгосп ”;Рішенням Кіровоградської обласної ради №56 від 21.02.1991р
4;“Луки”;заказник;Лісовий;65;Новомиргородський, поблизу  с.Оситняжка;Новомиргородське лісництво ДП” Оникіївський лісгосп ”;Рішенням Кіровоградської обласної ради №56 від 21.02.1991р
5;“Окіп”;заказник;Лісовий;95;Новомиргородський, поблизу с.Оситняжка;Новомиргородське лісництво ДП “ Оникіївський лісгосп ”;Рішенням Кіровоградської обласної ради №56 від 21.02.1991р
6;“Новомиргородське-1”;заказник;Лісовий;249;Новомиргородський район, Новомиргородське лісництво: кв. 31-33, 39-41                  ;ДП “Олександрівський лісгосп”;Рішенням Кіровоградської обласної ради № 851 від 22.01.2010 р.
7;“Новомиргородське-2”;заказник;Лісовий;523;Новомиргородський район Новомиргородське лісництво: кв. 34-37, кв. 42-46;ДП “Олександрівський лісгосп”;Рішенням Кіровоградської обласної ради № 851 від 22.01.2010 р.
;Разом заказників лісових;7;;1102,1;;;
1;“Братолюбівська балка”;заказник;Загально зоологічні;40,3;Долинський р-н, поблизу с..Братолюбівка;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
2;“Гнила балка”;заказник;Загально зоологічні;80;Компаніївський, поблизу с.Сасівка;Компаніївська районна державна адміністрація;Рішенням Кіровоградської обласної ради №158 від 28.03.2003 р.
3;“Деріївський”;заказник;Загально зоологічні;100;Онуфріївський, поблизу с.Успенка;ДП “Онуфріївський лісгосп”;Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.
;Разом заказників загальнозоологічних;3;;220,3;;;
1;“Антоновичська балка”;заказник;Ботанічний;24,5;Знам’янський р-н, поблизу с.Трепівка;Знам’яська районна державна адміністрація;Рішенням Кіровоградської обласної ради №268 від 27.02.2004 р.
